Orthogroup	pbar_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0001105	PBAR_PB18811-RA	LHUM_LH13418-RA
OG0001106	PBAR_PB16787-RA	LHUM_LH24371-RA
OG0001107	PBAR_PB21161-RA	LHUM_LH23214-RA
OG0001108	PBAR_PB21178-RA	LHUM_LH23229-RA
OG0001109	PBAR_PB21176-RA	LHUM_LH23235-RA
OG0001110	PBAR_PB16428-RA	LHUM_LH11963-RA
OG0001111	PBAR_PB23648-RA	LHUM_LH24081-RA, LHUM_LH20977-RA
OG0001112	PBAR_PB15865-RA, PBAR_PB22656-RA	LHUM_LH24573-RA
OG0001113	PBAR_PB23654-RA	LHUM_LH24084-RA, LHUM_LH24091-RA
OG0001114	PBAR_PB25593-RA, PBAR_PB16533-RA	LHUM_LH24406-RA
OG0001115	PBAR_PB16712-RA	LHUM_LH21552-RA
OG0001116	PBAR_PB16531-RB, PBAR_PB16531-RA	LHUM_LH24358-RA
OG0001117	PBAR_PB26596-RA, PBAR_PB16518-RA	LHUM_LH13482-RA
OG0001118	PBAR_PB16502-RB	LHUM_LH24410-RA, LHUM_LH24412-RA
OG0001119	PBAR_PB13775-RA	LHUM_LH13503-RB, LHUM_LH13503-RA
OG0001120	PBAR_PB13788-RA	LHUM_LH13488-RA, LHUM_LH10022-RA
OG0001121	PBAR_PB13789-RA, PBAR_PB13787-RA	LHUM_LH13489-RA
OG0001122	PBAR_PB15884-RA	LHUM_LH21527-RA
OG0001123	PBAR_PB15876-RA	LHUM_LH21536-RA
OG0001124	PBAR_PB15862-RA, PBAR_PB15862-RB	LHUM_LH24403-RA
OG0001125	PBAR_PB15856-RA	LHUM_LH21450-RA, LHUM_LH21451-RA
OG0001126	PBAR_PB15842-RA, PBAR_PB15842-RB	LHUM_LH21504-RA
OG0001127	PBAR_pbar_RpS10_a-1, PBAR_pbar_RpS10_b-1	LHUM_LH21493-RA
OG0001128	PBAR_PB16776-RA	LHUM_LH17419-RA, LHUM_LH17421-RA
OG0001129	PBAR_PB13986-RA	LHUM_LH25958-RA, LHUM_LH19939-RA
OG0001130	PBAR_PB21563-RA	LHUM_LH22528-RA
OG0001131	PBAR_PB13982-RA	LHUM_LH19931-RA
OG0001132	PBAR_PB14362-RA	LHUM_LH15777-RA
OG0001133	PBAR_PB26655-RA	LHUM_LH25942-RA
OG0001134	PBAR_PB17503-RA	LHUM_LH21488-RA
OG0001135	PBAR_PB16224-RA	LHUM_LH21591-RA
OG0001136	PBAR_Pbar_Ndufs2-1	LHUM_LH24615-RB, LHUM_LH24615-RA
OG0001137	PBAR_PB23575-RA, PBAR_PB23582-RA	LHUM_LH24622-RA
OG0001138	PBAR_PB21634-RA	LHUM_LH24599-RA
OG0001139	PBAR_PB22525-RA	LHUM_LH17734-RA
OG0001140	PBAR_PB19882-RA	LHUM_LH16116-RA, LHUM_LH16111-RA
OG0001141	PBAR_PB21766-RA	LHUM_LH13905-RA
OG0001142	PBAR_Pbar_vestigial-RB, PBAR_Pbar_vestigial-RA	LHUM_LH16103-RA
OG0001143	PBAR_PB21796-RA, PBAR_PB10023-RA	LHUM_LH20633-RA
OG0001144	PBAR_PB21801-RA	LHUM_LH20617-RA, LHUM_LH20618-RA
OG0001145	PBAR_PB25632-RA	LHUM_LH12733-RA, LHUM_LH10800-RA
OG0001146	PBAR_PB25637-RA	LHUM_LH12734-RA
OG0001147	PBAR_PB25630-RA	LHUM_LH24268-RA
OG0001148	PBAR_pbar_creb-RA	LHUM_LH12406-RA
OG0001149	PBAR_PB18347-RA	LHUM_LH20169-RA, LHUM_LH20176-RA
OG0001150	PBAR_PB18309-RA	LHUM_LH17678-RA, LHUM_LH10807-RA
OG0001151	PBAR_PB18324-RA	LHUM_LH17695-RA
OG0001152	PBAR_PB15665-RA	LHUM_LH10416-RA, LHUM_LH18327-RA
OG0001153	PBAR_PB15623-RA	LHUM_LH22159-RA
OG0001154	PBAR_PB22303-RA	LHUM_LH25133-RA
OG0001155	PBAR_CG_02545623	LHUM_lhum_cher-RA
OG0001156	PBAR_PB21606-RA, PBAR_PB21609-RA	LHUM_LH25074-RA
OG0001157	PBAR_PB21601-RA	LHUM_LH25063-RA
OG0001158	PBAR_PB21610-RA, PBAR_PB21611-RA	LHUM_LH25075-RA
OG0001159	PBAR_PB14694-RA	LHUM_LH25121-RA, LHUM_LH13111-RA
OG0001160	PBAR_PB17997-RA	LHUM_LH16971-RA
OG0001161	PBAR_PB19511-RA	LHUM_LH25762-RA, LHUM_LH16406-RA
OG0001162	PBAR_PB13530-RA	LHUM_LH13075-RA, LHUM_LH13076-RA
OG0001163	PBAR_PB13528-RA	LHUM_LH13074-RA
OG0001164	PBAR_PB14183-RA	LHUM_LH13842-RA
OG0001165	PBAR_PB21124-RA	LHUM_LH12055-RA
OG0001166	PBAR_Pbar_Atp5a1-1	LHUM_LH19336-RA
OG0001168	PBAR_Pbar_Y-x1a-1, PBAR_Pbar_Y-x1b-1	LHUM_LH11639-RA
OG0001169	PBAR_PB19646-RA	LHUM_LH22284-RA, LHUM_LH22285-RA
OG0001170	PBAR_PB19649-RA	LHUM_LH22283-RA
OG0001171	PBAR_PB19648-RA	LHUM_LH22282-RA
OG0001172	PBAR_PB12423-RA	LHUM_LH22280-RA
OG0001173	PBAR_PB21000-RA	LHUM_LH12109-RA
OG0001175	PBAR_PB12391-RA	LHUM_LH23150-RA
OG0001176	PBAR_PB12400-RA, PBAR_PB12390-RA	LHUM_LH23149-RA
OG0001177	PBAR_PB15389-RA	LHUM_LH11395-RA
OG0001178	PBAR_PB15396-RA, PBAR_PB15391-RA	LHUM_LH11397-RA
OG0001179	PBAR_PB15386-RA, PBAR_PB15397-RA	LHUM_LH11390-RA
OG0001180	PBAR_PB15400-RA	LHUM_LH18350-RA
OG0001181	PBAR_pbar_maelstrom-1, PBAR_PB15412-RA	LHUM_LH14625-RA
OG0001182	PBAR_PB15442-RA, PBAR_PB15443-RA	LHUM_LH18703-RA
OG0001183	PBAR_PB15441-RA	LHUM_LH25745-RA, LHUM_LH19856-RA
OG0001184	PBAR_PB15438-RA	LHUM_LH22184-RA
OG0001185	PBAR_PB12051-RA	LHUM_LH19738-RA
OG0001186	PBAR_PB12278-RA	LHUM_LH19910-RA, LHUM_LH22031-RA
OG0001187	PBAR_PB17282-RA, PBAR_PB17279-RA	LHUM_LH22367-RA
OG0001188	PBAR_PB20314-RA	LHUM_LH20502-RA
OG0001189	PBAR_PB20336-RA	LHUM_LH20486-RA
OG0001190	PBAR_PB20333-RA	LHUM_LH25875-RA, LHUM_LH25878-RA
OG0001191	PBAR_PB20338-RA	LHUM_LH11748-RA, LHUM_LH20480-RA
OG0001192	PBAR_PB23424-RA	LHUM_LH20471-RA
OG0001193	PBAR_PB11758-RA	LHUM_LH12608-RA
OG0001194	PBAR_PB11757-RA, PBAR_PB26813-RA	LHUM_LH12610-RA
OG0001195	PBAR_PB19014-RA	LHUM_LH24661-RA, LHUM_LH24655-RA
OG0001196	PBAR_PB19039-RA	LHUM_LH22732-RA, LHUM_LH22736-RA
OG0001197	PBAR_PB15212-RA	LHUM_LH18691-RA
OG0001198	PBAR_PB13522-RA, PBAR_PB10078-RA	LHUM_LH19011-RA
OG0001199	PBAR_PB15534-RA	LHUM_LH11691-RA
OG0001200	PBAR_PB15544-RA, PBAR_PB15546-RA	LHUM_LH12677-RA
OG0001201	PBAR_PB13886-RA, PBAR_PB13885-RA	LHUM_LH18997-RA
OG0001203	PBAR_PB21978-RA	LHUM_LH19041-RA, LHUM_LH19038-RA
OG0001204	PBAR_PB14610-RA	LHUM_LH20385-RA
OG0001205	PBAR_PB20640-RA, PBAR_PB23535-RA	LHUM_LH16934-RA
OG0001206	PBAR_PB21742-RA	LHUM_LH10922-RA
OG0001209	PBAR_PB23812-RA	LHUM_LH17056-RA
OG0001210	PBAR_PB14019-RA	LHUM_LH22643-RA
OG0001211	PBAR_PB17692-RA	LHUM_LH16521-RA, LHUM_LH22655-RA
OG0001212	PBAR_PB17724-RA	LHUM_LH18048-RA, LHUM_LH10479-RA
OG0001213	PBAR_PB17542-RA	LHUM_LH17639-RA, LHUM_LH17636-RA
OG0001214	PBAR_PB17547-RA	LHUM_LH17629-RA, LHUM_LH17627-RA
OG0001215	PBAR_PB13416-RA	LHUM_LH17672-RA, LHUM_LH17671-RA
OG0001217	PBAR_PB21445-RA	LHUM_LH24923-RA
OG0001218	PBAR_PB18960-RA	LHUM_LH15900-RA
OG0001219	PBAR_PB20519-RA, PBAR_PB20515-RA	LHUM_LH15211-RA
OG0001220	PBAR_pbar_RpS13-1	LHUM_LH20308-RA
OG0001221	PBAR_PB23268-RA	LHUM_LH20300-RA
OG0001222	PBAR_PB23273-RA	LHUM_LH12166-RA, LHUM_LH12167-RA
OG0001223	PBAR_PB23265-RA, PBAR_PB16999-RA	LHUM_LH20309-RA
OG0001224	PBAR_PB23280-RA, PBAR_PB10034-RA	LHUM_LH12171-RA
OG0001225	PBAR_PB23300-RA, PBAR_PB23299-RA	LHUM_LH14350-RA
OG0001226	PBAR_PB23327-RA	LHUM_LH20025-RA
OG0001227	PBAR_PB23331-RA	LHUM_LH12215-RA, LHUM_LH12205-RA
OG0001228	PBAR_PB23337-RA	LHUM_LH18466-RA, LHUM_LH18467-RA
OG0001229	PBAR_PB22751-RA	LHUM_LH18019-RA
OG0001230	PBAR_PB20279-RA	LHUM_LH14287-RA, LHUM_LH11132-RA
OG0001231	PBAR_PB20268-RA	LHUM_LH14311-RA, LHUM_LH14313-RA
OG0001232	PBAR_PB20265-RA, PBAR_PB20267-RA	LHUM_LH17573-RA
OG0001233	PBAR_PB20218-RA	LHUM_LH17611-RA, LHUM_LH17610-RA
OG0001234	PBAR_PB20204-RA	LHUM_LH12239-RA
OG0001235	PBAR_PB16395-RA	LHUM_LH12174-RA
OG0001236	PBAR_PB16394-RA	LHUM_LH12180-RA
OG0001237	PBAR_PB25561-RA	LHUM_LH15456-RA
OG0001238	PBAR_PB20467-RA	LHUM_LH11326-RA
OG0001239	PBAR_PB24131-RA	LHUM_LH22724-RA, LHUM_LH19297-RA
OG0001240	PBAR_PB16482-RA, PBAR_PB13248-RA	LHUM_LH21479-RA
OG0001241	PBAR_pbar_RpLP0_a-1, PBAR_pbar_RpLP0_b-1	LHUM_LH21470-RA
OG0001242	PBAR_PB18692-RA	LHUM_LH18520-RA
OG0001243	PBAR_PB22888-RA	LHUM_LH22333-RA
OG0001244	PBAR_PB20026-RA	LHUM_LH16147-RA
OG0001245	PBAR_PB12104-RA, PBAR_PB12103-RA	LHUM_LH12017-RA
OG0001246	PBAR_PB21132-RA	LHUM_LH17232-RA
OG0001247	PBAR_PB23711-RA	LHUM_LH20285-RA, LHUM_LH24624-RA
OG0001248	PBAR_PB23682-RA	LHUM_LH25750-RA, LHUM_LH20194-RA
OG0001249	PBAR_PB23674-RA	LHUM_LH20189-RA
OG0001250	PBAR_PB15490-RA	LHUM_LH10438-RA, LHUM_LH11200-RA
OG0001251	PBAR_PB19935-RA	LHUM_LH21318-RA
OG0001252	PBAR_PB15754-RA	LHUM_LH16643-RA
OG0001253	PBAR_PB26557-RA	LHUM_LH14217-RB, LHUM_LH14217-RA
OG0001254	PBAR_PB15738-RA, PBAR_PB15733-RA	LHUM_LH15992-RA
OG0001256	PBAR_PB15459-RA, PBAR_PB17023-RA	LHUM_LH16165-RA
OG0001257	PBAR_PB22768-RA, PBAR_PB22766-RA	LHUM_LH13274-RA
OG0001258	PBAR_pbar_Serpin-5-1	LHUM_LH17996-RA
OG0001259	PBAR_PB23291-RA, PBAR_PB10775-RA	LHUM_LH17999-RA
OG0001260	PBAR_CG_02549542	LHUM_LH13265-RA
OG0001262	PBAR_PB19163-RA, PBAR_PB13326-RA	LHUM_LH11345-RA
OG0001263	PBAR_PB26280-RA	LHUM_LH25781-RA
OG0001264	PBAR_PB12766-RA	LHUM_LH11766-RA
OG0001265	PBAR_PB15376-RA, PBAR_PB15377-RA	LHUM_LH11208-RA
OG0001266	PBAR_PB12848-RA	LHUM_LH21472-RA
OG0001267	PBAR_PB19255-RA	LHUM_LH15003-RA
OG0001268	PBAR_PB18157-RA	LHUM_LH15956-RA, LHUM_LH15942-RA
OG0001269	PBAR_pbar_RpL14-1	LHUM_LH16805-RA
OG0001270	PBAR_PB23620-RA	LHUM_LH16863-RA
OG0001271	PBAR_PB21479-RA, PBAR_PB21475-RA	LHUM_LH24953-RA
OG0001272	PBAR_PB14554-RA	LHUM_LH11172-RA
OG0001273	PBAR_PB16173-RA	LHUM_LH12675-RA
OG0001275	PBAR_PB13058-RA	LHUM_LH21085-RA
OG0001276	PBAR_PB14597-RA, PBAR_PB10486-RA	LHUM_LH12139-RA
OG0001277	PBAR_PB13366-RA	LHUM_LH24559-RA, LHUM_LH15239-RA
OG0001278	PBAR_PB13382-RA	LHUM_LH10070-RA
OG0001279	PBAR_PB13385-RA, PBAR_PB13385-RB	LHUM_LH23049-RA
OG0001280	PBAR_PB13394-RA	LHUM_LH23036-RA, LHUM_LH23035-RA
OG0001281	PBAR_PB13388-RA	LHUM_LH23030-RA, LHUM_LH21058-RA
OG0001282	PBAR_PB24878-RA	LHUM_LH23073-RA
OG0001283	PBAR_PB18478-RA	LHUM_LH23093-RA
OG0001285	PBAR_Pbar_PDK1-RB, PBAR_Pbar_PDK1-RA	LHUM_LH18545-RA
OG0001286	PBAR_PB21885-RA	LHUM_LH20156-RA, LHUM_LH20089-RA
OG0001287	PBAR_CG_02547645, PBAR_maker-pbar_scf7180000350228-augustus-gene-1.3-mRNA-1	LHUM_LH12025-RA
OG0001288	PBAR_PB14826-RA	LHUM_LH10112-RA
OG0001289	PBAR_PB10607-RA, PBAR_PB21125-RA	LHUM_LH12054-RA
OG0001290	PBAR_PB11428-RA	LHUM_LH12053-RA
OG0001291	PBAR_PB27116-RA, PBAR_PB25082-RA	LHUM_LH13403-RA
OG0001292	PBAR_PB25077-RA	LHUM_LH13397-RA
OG0001293	PBAR_PB25078-RA	LHUM_LH12286-RA, LHUM_LH12285-RA
OG0001294	PBAR_PB25063-RA	LHUM_LH17832-RA
OG0001295	PBAR_PB25038-RA	LHUM_LH19360-RA
OG0001297	PBAR_PB19590-RA	LHUM_LH22352-RA, LHUM_LH13934-RA
OG0001298	PBAR_PB19603-RA	LHUM_LH22322-RA
OG0001299	PBAR_PB19605-RA	LHUM_LH21503-RA, LHUM_LH22325-RA
OG0001300	PBAR_PB12445-RA	LHUM_LH15665-RA, LHUM_LH22969-RA
OG0001301	PBAR_PB24262-RA	LHUM_LH23527-RA, LHUM_LH23531-RA
OG0001302	PBAR_PB24268-RA, PBAR_PB24268-RB	LHUM_LH23524-RA
OG0001303	PBAR_PB24254-RA	LHUM_LH20195-RA
OG0001304	PBAR_PB10462-RA	LHUM_LH12330-RA
OG0001305	PBAR_PB12743-RA, PBAR_PB12742-RA	LHUM_LH15298-RA
OG0001306	PBAR_PB12746-RA	LHUM_LH15293-RA
OG0001308	PBAR_PB25233-RA	LHUM_LH17744-RA, LHUM_LH17743-RA
OG0001309	PBAR_PB25238-RA, PBAR_PB25239-RA	LHUM_LH17748-RA
OG0001310	PBAR_PB15698-RA	LHUM_LH19216-RA
OG0001311	PBAR_PB15511-RA, PBAR_PB23907-RA	LHUM_LH20954-RA
OG0001312	PBAR_PB15539-RA	LHUM_LH12661-RA, LHUM_LH12645-RA
OG0001313	PBAR_PB13919-RA	LHUM_LH21986-RA
OG0001314	PBAR_PB24700-RA, PBAR_PB12533-RA	LHUM_LH18231-RA
OG0001315	PBAR_PB25700-RA	LHUM_LH19944-RA
OG0001316	PBAR_PB12654-RA	LHUM_LH16847-RA, LHUM_LH12717-RA
OG0001317	PBAR_PB12641-RA	LHUM_LH12736-RA, LHUM_LH12735-RA
OG0001318	PBAR_PB25578-RA	LHUM_LH13749-RA
OG0001319	PBAR_PB24084-RA	LHUM_LH11809-RA, LHUM_LH10043-RA
OG0001320	PBAR_PB24083-RA	LHUM_LH11810-RA, LHUM_LH10042-RA
OG0001321	PBAR_PB20168-RA	LHUM_LH16244-RA, LHUM_LH19477-RA
OG0001322	PBAR_PB11826-RA	LHUM_LH24222-RA
OG0001323	PBAR_PB20122-RA	LHUM_LH24253-RA, LHUM_LH24257-RA
OG0001324	PBAR_PB20113-RA	LHUM_LH24240-RA, LHUM_LH24233-RA
OG0001325	PBAR_PB11831-RA	LHUM_LH18860-RA
OG0001326	PBAR_PB11843-RA, PBAR_PB11840-RA	LHUM_LH18857-RA
OG0001327	PBAR_PB11852-RA	LHUM_LH18865-RA
OG0001328	PBAR_Pbar_Cyt_b5_r_desat-1	LHUM_LH18894-RB, LHUM_LH18894-RA
OG0001329	PBAR_pbar_CLIP2-RA	LHUM_LH18904-RA
OG0001330	PBAR_PB16627-RA, PBAR_PB26600-RA	LHUM_LH25871-RA
OG0001331	PBAR_PB19722-RA	LHUM_LH11631-RA
OG0001332	PBAR_PB26886-RA	LHUM_LH25837-RA
OG0001333	PBAR_PB21607-RA, PBAR_PB21261-RA	LHUM_LH20241-RA
OG0001335	PBAR_PB26902-RA	LHUM_LH25821-RA
OG0001337	PBAR_PB26914-RA	LHUM_LH20251-RA
OG0001338	PBAR_PB26890-RA, PBAR_PB26900-RA	LHUM_LH25820-RA
OG0001339	PBAR_PB26907-RA	LHUM_LH25864-RA, LHUM_LH25825-RA
OG0001340	PBAR_PB23885-RA	LHUM_LH22886-RA
OG0001341	PBAR_PB21143-RA	LHUM_LH12929-RA
OG0001342	PBAR_PB18290-RA	LHUM_LH20392-RA
OG0001343	PBAR_PB26224-RA, PBAR_PB18351-RA	LHUM_LH19285-RA
OG0001344	PBAR_PB22853-RA, PBAR_PB22856-RA	LHUM_LH16524-RA
OG0001345	PBAR_PB21977-RA	LHUM_LH23543-RA, LHUM_LH23544-RA
OG0001346	PBAR_PB15914-RA, PBAR_PB11362-RA	LHUM_LH16958-RA
OG0001347	PBAR_PB10741-RA	LHUM_LH10665-RA, LHUM_LH13921-RA
OG0001348	PBAR_PB14496-RA	LHUM_LH23805-RA, LHUM_LH23802-RA
OG0001349	PBAR_PB24195-RA	LHUM_LH23811-RA, LHUM_LH13941-RA
OG0001350	PBAR_PB10269-RA	LHUM_LH23819-RA
OG0001351	PBAR_PB23147-RA, PBAR_Pbar_nAChRa1-RA	LHUM_LH24957-RA
OG0001352	PBAR_PB17179-RA	LHUM_LH12412-RA, LHUM_LH12409-RA
OG0001353	PBAR_PB22238-RA	LHUM_LH23205-RA, LHUM_LH23870-RA
OG0001354	PBAR_Pbar_Uqcrc2_like-1	LHUM_LH15943-RA, LHUM_LH15963-RA
OG0001355	PBAR_PB18985-RA, PBAR_PB18985-RB	LHUM_LH15972-RA
OG0001356	PBAR_PB11206-RA, PBAR_PB11206-RB	LHUM_LH24712-RA
OG0001357	PBAR_PB22455-RA	LHUM_LH17737-RA, LHUM_LH25981-RA
OG0001358	PBAR_PB23141-RA, PBAR_PB23143-RA	LHUM_LH15288-RA
OG0001360	PBAR_PB10543-RA, PBAR_PB22133-RA	LHUM_LH14167-RA
OG0001361	PBAR_PB22134-RA, PBAR_PB10864-RA	LHUM_LH14154-RA
OG0001362	PBAR_PB22142-RA	LHUM_LH14153-RB
OG0001363	PBAR_PB10585-RA, PBAR_Pbar_serrate-RA	LHUM_Lhum_serrate-RA
OG0001364	PBAR_PB12449-RA, PBAR_PB12449-RB	LHUM_LH16017-RA
OG0001365	PBAR_PB12451-RA	LHUM_LH14675-RA, LHUM_LH14798-RA
OG0001366	PBAR_PB16012-RA	LHUM_LH13224-RA
OG0001367	PBAR_PB18494-RA	LHUM_LH10018-RA
OG0001368	PBAR_PB21712-RA	LHUM_LH25016-RA
OG0001369	PBAR_PB18500-RA	LHUM_LH12759-RA, LHUM_LH11921-RA
OG0001370	PBAR_PB18509-RA	LHUM_LH10668-RA, LHUM_LH11935-RA
OG0001371	PBAR_PB18534-RA	LHUM_LH11910-RA, LHUM_LH10708-RA
OG0001372	PBAR_PB10315-RA, PBAR_PB17877-RA	LHUM_LH11901-RA
OG0001373	PBAR_PB17899-RA	LHUM_LH19558-RA, LHUM_LH19560-RA
OG0001374	PBAR_PB18986-RA, PBAR_PB24355-RA	LHUM_LH19581-RA
OG0001375	PBAR_PB24407-RA	LHUM_LH24766-RA
OG0001376	PBAR_PB24428-RA	LHUM_LH24748-RA
OG0001377	PBAR_PB24455-RA	LHUM_LH25255-RA, LHUM_LH24722-RA
OG0001378	PBAR_PB21131-RA, PBAR_PB21084-RA	LHUM_LH17193-RA
OG0001379	PBAR_PB11092-RA	LHUM_LH17260-RA
OG0001380	PBAR_PB20983-RA	LHUM_LH17266-RA
OG0001381	PBAR_PB20981-RA	LHUM_LH17197-RA, LHUM_LH17276-RA
OG0001382	PBAR_PB18697-RA	LHUM_LH18519-RA
OG0001383	PBAR_PB24152-RA	LHUM_LH25330-RA, LHUM_LH18474-RA
OG0001384	PBAR_PB21854-RA	LHUM_LH11247-RA
OG0001385	PBAR_PB17685-RA, PBAR_PB17681-RA	LHUM_LH16775-RA
OG0001386	PBAR_PB21406-RA	LHUM_LH13952-RA, LHUM_LH11411-RA
OG0001387	PBAR_PB21402-RA	LHUM_LH12538-RA
OG0001388	PBAR_pbar_RpS23-1	LHUM_LH23359-RA, LHUM_LH11401-RA
OG0001389	PBAR_PB14623-RA	LHUM_LH10190-RA, LHUM_LH10189-RA
OG0001390	PBAR_PB17145-RA, PBAR_PB13884-RA	LHUM_LH10911-RA
OG0001391	PBAR_PB21429-RA, PBAR_pbar_mol-RB	LHUM_LH20526-RA
OG0001392	PBAR_PB24810-RA	LHUM_LH13798-RA
OG0001393	PBAR_PB24287-RA	LHUM_LH18990-RA
OG0001394	PBAR_PB22456-RA, PBAR_PB10581-RA	LHUM_LH23128-RA
OG0001395	PBAR_PB22462-RA	LHUM_LH23121-RA
OG0001396	PBAR_Pbar_Hex-C-RB, PBAR_Pbar_Hex-C-1	LHUM_LH10693-RA
OG0001398	PBAR_PB19281-RA, PBAR_PB19282-RA	LHUM_LH25534-RA
OG0001399	PBAR_PB14026-RA	LHUM_LH14988-RA, LHUM_LH11334-RA
OG0001400	PBAR_PB11533-RA	LHUM_LH14458-RA, LHUM_LH14459-RA
OG0001401	PBAR_PB11534-RA	LHUM_LH14456-RA
OG0001403	PBAR_PB11588-RA, PBAR_PB11586-RA	LHUM_LH11964-RA
OG0001404	PBAR_PB11773-RA, PBAR_PB11769-RA	LHUM_LH25365-RA
OG0001405	PBAR_PB11771-RA	LHUM_LH14445-RA, LHUM_LH11353-RA
OG0001406	PBAR_PB23998-RA	LHUM_LH13065-RA, LHUM_LH13080-RA
OG0001407	PBAR_augustus_masked-pbar_scf7180000349975-abinit-gene-2.58-mRNA-1, PBAR_pbar_visgun-like-RA	LHUM_LH14525-RA
OG0001408	PBAR_PB13106-RA	LHUM_LH25168-RA
OG0001409	PBAR_PB10428-RA, PBAR_PB26221-RA	LHUM_LH25120-RA
OG0001410	PBAR_PB14290-RA, PBAR_PB14292-RA	LHUM_LH12984-RA
OG0001411	PBAR_PB14288-RA, PBAR_PB14288-RB	LHUM_LH12980-RA
OG0001412	PBAR_PB21725-RA, PBAR_PB21720-RA	LHUM_LH25008-RA
OG0001413	PBAR_PB19567-RA, PBAR_PB10260-RA	LHUM_LH14243-RA
OG0001415	PBAR_PB26297-RA	LHUM_LH15875-RA, LHUM_LH15874-RA
OG0001416	PBAR_PB13642-RA	LHUM_LH20939-RA
OG0001417	PBAR_PB15302-RA	LHUM_LH16589-RA
OG0001418	PBAR_PB18884-RA	LHUM_LH21829-RA
OG0001419	PBAR_PB24321-RA, PBAR_PB24317-RA	LHUM_LH20420-RA
OG0001420	PBAR_PB12173-RA	LHUM_LH19916-RA
OG0001421	PBAR_PB12157-RA	LHUM_LH19907-RA
OG0001422	PBAR_PB12162-RA	LHUM_LH19903-RA, LHUM_LH25811-RA
OG0001423	PBAR_PB18251-RA	LHUM_LH22606-RA
OG0001424	PBAR_PB20689-RA	LHUM_LH20662-RA
OG0001425	PBAR_PB21370-RA, PBAR_PB21369-RA	LHUM_LH17190-RA
OG0001426	PBAR_PB21334-RA, PBAR_PB21335-RA	LHUM_LH17171-RA
OG0001427	PBAR_PB21350-RA	LHUM_LH17177-RA, LHUM_LH17175-RA
OG0001428	PBAR_PB21318-RA, PBAR_PB21317-RA	LHUM_LH21801-RA
OG0001429	PBAR_PB21313-RA, PBAR_PB21311-RA	LHUM_LH21796-RA
OG0001430	PBAR_PB21298-RA	LHUM_LH10023-RA, LHUM_LH21789-RA
OG0001432	PBAR_PB12062-RA	LHUM_LH17196-RA
OG0001433	PBAR_PB24027-RA, PBAR_PB22369-RA	LHUM_LH17117-RA
OG0001434	PBAR_genemark_masked-pbar_scf7180000350332-abinit-gene-0.62-mRNA-1	LHUM_LH24549-RA, LHUM_LH17116-RA
OG0001435	PBAR_PB18929-RA, PBAR_PB25750-RA	LHUM_LH17146-RA
OG0001436	PBAR_PB12208-RA	LHUM_LH11478-RA
OG0001437	PBAR_PB14169-RA	LHUM_LH14402-RA, LHUM_LH13929-RA
OG0001438	PBAR_PB19818-RA	LHUM_LH24453-RA, LHUM_LH24455-RA
OG0001439	PBAR_PB17618-RA, PBAR_PB24976-RA	LHUM_LH24458-RA
OG0001440	PBAR_pbar_CG1441-RA	LHUM_LH16821-RA, LHUM_LH17094-RA
OG0001441	PBAR_PB23593-RA, PBAR_PB24932-RA	LHUM_LH18441-RA
OG0001442	PBAR_PB20391-RB, PBAR_PB20391-RA	LHUM_LH20777-RA
OG0001443	PBAR_PB20409-RA	LHUM_LH20799-RA
OG0001444	PBAR_PB20413-RA	LHUM_LH25342-RA, LHUM_LH20787-RA
OG0001445	PBAR_PB20435-RA	LHUM_LH23679-RA, LHUM_LH23678-RA
OG0001446	PBAR_PB20439-RA	LHUM_LH23683-RA, LHUM_LH10100-RA
OG0001447	PBAR_pbar_RpS3-1	LHUM_LH14507-RA
OG0001448	PBAR_PB16359-RA	LHUM_LH12253-RA
OG0001449	PBAR_PB26053-RA	LHUM_LH10008-RA, LHUM_LH18570-RA
OG0001450	PBAR_Pbar-sob-like-1	LHUM_LH25953-RA
OG0001451	PBAR_pbar_RpS16-1	LHUM_LH18305-RA, LHUM_LH23234-RA
OG0001452	PBAR_PB12366-RA	LHUM_LH18301-RA
OG0001453	PBAR_PB18234-RA, PBAR_PB18237-RA	LHUM_LH25983-RA
OG0001454	PBAR_PB26703-RA, PBAR_PB26702-RA	LHUM_LH25984-RA
OG0001455	PBAR_PB18248-RA	LHUM_LH22630-RA
OG0001456	PBAR_PB18256-RA	LHUM_LH22617-RA, LHUM_LH15027-RA
OG0001457	PBAR_genemark-pbar_scf7180000350188-abinit-gene-2.173-mRNA-1, PBAR_CG_02547729	LHUM_LH11671-RA
OG0001458	PBAR_PB12216-RA	LHUM_LH11483-RA
OG0001459	PBAR_PB25764-RA	LHUM_LH21189-RA
OG0001460	PBAR_PB12179-RA	LHUM_LH19164-RA
OG0001461	PBAR_PB12197-RA	LHUM_LH19156-RA, LHUM_LH19157-RA
OG0001462	PBAR_PB11027-RA	LHUM_LH19386-RA
OG0001463	PBAR_PB15847-RA, PBAR_PB11017-RA	LHUM_LH17418-RA
OG0001464	PBAR_PB13939-RA, PBAR_PB18644-RA	LHUM_LH21647-RA
OG0001465	PBAR_CG_02546606	LHUM_lhum_dpp-1, LHUM_lhum_dpp-RB
OG0001466	PBAR_PB19711-RA	LHUM_LH10803-RA, LHUM_LH10817-RA
OG0001467	PBAR_PB19734-RA	LHUM_LH10812-RA, LHUM_LH10822-RA
OG0001468	PBAR_PB19735-RB, PBAR_PB19735-RA	LHUM_LH10819-RA
