Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0000286	ACEP_ACEP_00010598-RA, ACEP_ACEP_00010599-RA, ACEP_ACEP_00010600-RA	LHUM_LH16382-RA, LHUM_LH16383-RA, LHUM_LH16388-RA	PBAR_PB14673-RA, PBAR_PB14682-RA, PBAR_PB14688-RA
OG0000287		LHUM_LH10081-RA, LHUM_LH10535-RA, LHUM_LH10561-RA, LHUM_LH13382-RA, LHUM_LH14708-RA, LHUM_LH15892-RA, LHUM_LH23735-RA	PBAR_PB18707-RA, PBAR_PB24339-RA
OG0000288		LHUM_LH18585-RA, LHUM_LH22674-RA, LHUM_LH25277-RA, LHUM_LH25334-RA, LHUM_LH25354-RA, LHUM_LH25391-RA, LHUM_LH25516-RA, LHUM_LH25996-RA	PBAR_PB10077-RA
OG0000289		LHUM_LH10463-RA, LHUM_LH13385-RA, LHUM_LH13393-RA, LHUM_LH17833-RA, LHUM_LH18388-RA, LHUM_LH18389-RA, LHUM_LH19755-RA, LHUM_LH25337-RA	PBAR_PB17936-RA
OG0000290		LHUM_LH15164-RA, LHUM_LH25294-RA, LHUM_LH25359-RA, LHUM_LH25476-RA, LHUM_LH25724-RA, LHUM_LH25743-RA, LHUM_LH26010-RA	PBAR_PB26668-RA, PBAR_PB26748-RA
OG0000291		LHUM_LH11564-RA, LHUM_LH12708-RA, LHUM_LH12743-RA, LHUM_LH13931-RA, LHUM_LH14869-RA, LHUM_LH20995-RA, LHUM_LH23239-RA, LHUM_LH25274-RA, LHUM_LH25541-RA	
OG0000292		LHUM_LH18671-RA, LHUM_LH18672-RA, LHUM_LH18673-RA, LHUM_LH19029-RA, LHUM_LH19031-RA, LHUM_LH20416-RA, LHUM_LH22780-RA, LHUM_LH24326-RA	PBAR_PB20274-RA
OG0000293		LHUM_LH10786-RA, LHUM_LH10788-RA, LHUM_LH11755-RA, LHUM_LH11760-RA, LHUM_LH12927-RA, LHUM_LH13221-RA, LHUM_LH13291-RA, LHUM_LH23979-RA	PBAR_PB17587-RA
OG0000294			PBAR_PB10002-RA, PBAR_PB10100-RA, PBAR_PB11084-RA, PBAR_PB13846-RA, PBAR_PB13850-RA, PBAR_PB19156-RA, PBAR_PB20456-RA, PBAR_PB24341-RA, PBAR_PB26198-RA
OG0000295	ACEP_ACEP_00001293-RA, ACEP_ACEP_00001294-RA, ACEP_ACEP_00001296-RA, ACEP_ACEP_00016920-RA, ACEP_ACEP_00016939-RA, ACEP_ACEP_00017018-RA, ACEP_ACEP_00017022-RA	LHUM_LH10500-RA	
OG0000296	ACEP_ACEP_00017579-RA, ACEP_ACEP_00017977-RA	LHUM_LH10179-RA, LHUM_LH11585-RA, LHUM_LH22485-RA	PBAR_PB10293-RA, PBAR_PB17182-RA, PBAR_PB24707-RA
OG0000297	ACEP_ACEP_00001578-RA, ACEP_ACEP_00006294-RA, ACEP_ACEP_00015288-RA, ACEP_ACEP_00018191-RA	LHUM_LH10258-RA, LHUM_LH10781-RA	PBAR_PB17656-RA, PBAR_PB17659-RA
OG0000298	ACEP_ACEP_00006079-RA, ACEP_ACEP_00010532-RA, ACEP_ACEP_00016650-RA	LHUM_LH20304-RA, LHUM_LH22233-RA	PBAR_PB22866-RA, PBAR_PB23728-RA, PBAR_PB26215-RA
OG0000299	ACEP_ACEP_00014020-RA, ACEP_ACEP_00014031-RA, ACEP_ACEP_00014032-RA	LHUM_LH20764-RA, LHUM_LH21936-RA, LHUM_LH21939-RA	PBAR_PB13808-RA, PBAR_pbar_diap1-1
OG0000300	ACEP_ACEP_00016617-RA, ACEP_ACEP_00016618-RA	LHUM_LH10082-RA, LHUM_LH10222-RA, LHUM_LH11581-RA, LHUM_LH25268-RA	PBAR_PB10571-RA, PBAR_PB18805-RA
OG0000301	ACEP_ACEP_00002520-RA	LHUM_LH17495-RA, LHUM_LH17497-RA, LHUM_LH17498-RA, LHUM_LH17501-RA, LHUM_LH25675-RA	PBAR_PB16965-RA, PBAR_Pbar_Yp1-1
OG0000302	ACEP_ACEP_00014823-RA, ACEP_ACEP_00017108-RA, ACEP_ACEP_00017109-RA, ACEP_ACEP_00017110-RA	LHUM_LH14592-RA, LHUM_LH17644-RA	PBAR_PB17549-RA, PBAR_pbar_CG1358-1
OG0000303	ACEP_ACEP_00002254-RA, ACEP_ACEP_00002256-RA, ACEP_ACEP_00002257-RA, ACEP_ACEP_00002258-RA, ACEP_ACEP_00018225-RA	LHUM_LH26052-RA	PBAR_PB23955-RA, PBAR_PB23956-RA
OG0000304	ACEP_ACEP_00003515-RA, ACEP_ACEP_00004988-RA, ACEP_ACEP_00010570-RA, ACEP_ACEP_00015358-RA	LHUM_LH10497-RA, LHUM_LH10594-RB, LHUM_LH12811-RA, LHUM_LH25264-RA	
OG0000305	ACEP_ACEP_00000889-RA, ACEP_ACEP_00010521-RA, ACEP_ACEP_00011818-RA, ACEP_ACEP_00014568-RA	LHUM_LH19133-RA	PBAR_PB10396-RA, PBAR_PB10400-RA, PBAR_PB17193-RA
OG0000306	ACEP_ACEP_00001651-RA, ACEP_ACEP_00008227-RA	LHUM_LH13979-RA, LHUM_LH18825-RA, LHUM_LH20552-RA	PBAR_PB17012-RA, PBAR_PB17046-RA, PBAR_PB26078-RA
OG0000307	ACEP_ACEP_00016192-RA	LHUM_LH25244-RA	PBAR_PB14311-RA, PBAR_PB18409-RA, PBAR_PB18410-RA, PBAR_PB18411-RA, PBAR_PB26234-RA, PBAR_PB26704-RA
OG0000308	ACEP_ACEP_00000507-RA, ACEP_ACEP_00000509-RA, ACEP_ACEP_00016701-RA	LHUM_LH18292-RA, LHUM_LH25713-RA	PBAR_PB25407-RA, PBAR_PB25414-RA, PBAR_PB27135-RA
OG0000309	ACEP_ACEP_00004144-RA, ACEP_ACEP_00004145-RA, ACEP_ACEP_00004335-RA, ACEP_ACEP_00008928-RA, ACEP_ACEP_00011381-RA, ACEP_ACEP_00017364-RA	LHUM_LH22253-RA	PBAR_PB23511-RA
OG0000310	ACEP_ACEP_00006783-RA, ACEP_ACEP_00006944-RA, ACEP_ACEP_00017987-RA	LHUM_LH20871-RA, LHUM_LH21297-RA	PBAR_PB15229-RA, PBAR_PB15669-RA, PBAR_PB16066-RA
OG0000311	ACEP_ACEP_00010943-RA, ACEP_ACEP_00010944-RA, ACEP_ACEP_00012718-RA	LHUM_LH22169-RA, LHUM_LH22174-RA	PBAR_PB15637-RA, PBAR_PB22890-RA, PBAR_PB22902-RA
OG0000312	ACEP_ACEP_00001525-RA, ACEP_ACEP_00017636-RA	LHUM_LH11387-RA, LHUM_LH11398-RA, LHUM_LH11399-RA, LHUM_LH17688-RA	PBAR_PB12389-RA, PBAR_PB18305-RA
OG0000313	ACEP_ACEP_00001179-RA, ACEP_ACEP_00001190-RA, ACEP_ACEP_00001195-RA, ACEP_ACEP_00012219-RA, ACEP_ACEP_00017035-RA, ACEP_ACEP_00017036-RA, ACEP_ACEP_00017037-RA, ACEP_ACEP_00017038-RA		
OG0000314	ACEP_ACEP_00001005-RA, ACEP_ACEP_00005952-RA, ACEP_ACEP_00009627-RA, ACEP_ACEP_00009662-RA, ACEP_ACEP_00011573-RA	LHUM_LH14534-RA, LHUM_LH23248-RA	PBAR_PB10047-RA
OG0000315	ACEP_ACEP_00017043-RA	LHUM_LH10483-RA, LHUM_LH10738-RA, LHUM_LH13198-RA, LHUM_LH13359-RA, LHUM_LH13361-RA, LHUM_LH14524-RA	PBAR_PB13814-RA
OG0000316	ACEP_ACEP_00003696-RA, ACEP_ACEP_00003697-RA, ACEP_ACEP_00005339-RA, ACEP_ACEP_00005340-RA, ACEP_ACEP_00005343-RA, ACEP_ACEP_00005344-RA, ACEP_ACEP_00016053-RA, ACEP_ACEP_00017451-RA		
OG0000317	ACEP_ACEP_00003413-RA, ACEP_ACEP_00014828-RA, ACEP_ACEP_00014830-RA	LHUM_LH17630-RA, LHUM_LH21083-RA	PBAR_PB17550-RA, PBAR_PB17552-RA, PBAR_PB25853-RA
OG0000318	ACEP_ACEP_00010792-RA, ACEP_ACEP_00012985-RA	LHUM_LH14339-RA, LHUM_LH15144-RA, LHUM_LH22981-RA	PBAR_PB13626-RA, PBAR_Pbar_GP93-1, PBAR_pbar_hsp90-1
OG0000319	ACEP_ACEP_00006942-RA, ACEP_ACEP_00009480-RA	LHUM_LH20098-RA, LHUM_LH20099-RA, LHUM_LH21976-RA	PBAR_PB16061-RA, PBAR_PB16063-RA, PBAR_PB21001-RA
OG0000320	ACEP_ACEP_00005095-RA, ACEP_ACEP_00009413-RA, ACEP_ACEP_00011629-RA	LHUM_LH14489-RA	PBAR_PB11118-RA, PBAR_PB18794-RA, PBAR_PB22316-RA, PBAR_PB24705-RA
OG0000321	ACEP_ACEP_00002997-RA, ACEP_ACEP_00011927-RA, ACEP_ACEP_00011933-RA	LHUM_LH10116-RA, LHUM_LH10117-RA, LHUM_LH10227-RA, LHUM_LH10242-RA	PBAR_PB18685-RA
OG0000322	ACEP_ACEP_00013193-RA, ACEP_ACEP_00013194-RA	LHUM_LH14615-RA, LHUM_LH15339-RA, LHUM_LH16582-RA, LHUM_LH16584-RA	PBAR_PB12791-RA, PBAR_PB12792-RA
OG0000323	ACEP_ACEP_00011659-RA, ACEP_ACEP_00012598-RA, ACEP_ACEP_00016130-RA	LHUM_LH11965-RA, LHUM_LH11966-RA, LHUM_LH19337-RA	PBAR_PB16316-RA, PBAR_PB20734-RA
OG0000324	ACEP_ACEP_00009802-RA, ACEP_ACEP_00015988-RA	LHUM_LH11668-RA, LHUM_LH12024-RA	PBAR_CG_02547637, PBAR_CG_02547721, PBAR_maker-pbar_scf7180000350188-augustus-gene-1.13-mRNA-1, PBAR_maker-pbar_scf7180000350228-augustus-gene-1.2-mRNA-1
OG0000325	ACEP_ACEP_00012453-RA, ACEP_ACEP_00012454-RA	LHUM_LH19374-RA, LHUM_LH21587-RA, LHUM_LH21589-RA	PBAR_PB14795-RA, PBAR_PB25043-RA, PBAR_PB25045-RA
OG0000326	ACEP_ACEP_00017939-RA, ACEP_ACEP_00018028-RA, ACEP_ACEP_00018029-RA	LHUM_LH14082-RA, LHUM_LH19379-RA	PBAR_PB26934-RA, PBAR_PB27113-RA, PBAR_PB27114-RA
OG0000327	ACEP_ACEP_00000568-RA, ACEP_ACEP_00013054-RA, ACEP_ACEP_00016749-RA	LHUM_LH13147-RA, LHUM_LH13266-RA, LHUM_LH19055-RA	PBAR_Pbar5HT7-RA, PBAR_Pbar_Tyr2-1
OG0000328	ACEP_ACEP_00007758-RA, ACEP_ACEP_00007759-RA, ACEP_ACEP_00007760-RA	LHUM_LH18883-RA	PBAR_PB11861-RA, PBAR_PB11863-RA, PBAR_PB11864-RA, PBAR_PB26737-RA
OG0000329	ACEP_ACEP_00002988-RA, ACEP_ACEP_00016289-RA	LHUM_LH11960-RA, LHUM_LH11961-RA, LHUM_LH25368-RA	PBAR_PB19241-RA, PBAR_PB19242-RA, PBAR_PB19243-RA
OG0000330	ACEP_ACEP_00003978-RA, ACEP_ACEP_00003979-RA, ACEP_ACEP_00003980-RA, ACEP_ACEP_00012007-RA, ACEP_ACEP_00017211-RA	LHUM_LH12081-RA	PBAR_PB18835-RA, PBAR_PB26316-RA
OG0000331	ACEP_ACEP_00015653-RA	LHUM_LH16355-RA, LHUM_LH16367-RA, LHUM_LH16368-RA, LHUM_LH25598-RA, LHUM_LH25603-RA	PBAR_PB10430-RA, PBAR_PB26471-RA
OG0000332	ACEP_ACEP_00005216-RA	LHUM_LH18354-RA, LHUM_LH18356-RA	PBAR_PB18627-RA, PBAR_PB21312-RA, PBAR_PB21314-RA, PBAR_PB24794-RA, PBAR_PB24795-RA
OG0000333	ACEP_ACEP_00004990-RA		PBAR_PB11211-RA, PBAR_PB11359-RA, PBAR_PB11963-RA, PBAR_PB14726-RA, PBAR_PB14756-RA, PBAR_PB14760-RA, PBAR_PB23543-RA
OG0000334	ACEP_ACEP_00000692-RA	LHUM_LH10540-RA, LHUM_LH10541-RA, LHUM_LH18212-RA, LHUM_LH18214-RA, LHUM_LH18216-RA, LHUM_LH18218-RA	PBAR_PB24679-RA
OG0000335	ACEP_ACEP_00000663-RA, ACEP_ACEP_00000664-RA, ACEP_ACEP_00000665-RA, ACEP_ACEP_00000669-RA	LHUM_LH18068-RA, LHUM_LH25720-RA	PBAR_PB25246-RA, PBAR_PB25252-RA
OG0000336	ACEP_ACEP_00000506-RA, ACEP_ACEP_00000508-RA, ACEP_ACEP_00016959-RA, ACEP_ACEP_00016966-RA	LHUM_LH25716-RA	PBAR_PB25409-RA, PBAR_PB27139-RA, PBAR_PB27142-RA
OG0000337	ACEP_ACEP_00000423-RA, ACEP_ACEP_00016986-RA	LHUM_LH12958-RA, LHUM_LH19059-RA	PBAR_PB10138-RA, PBAR_PB15349-RA, PBAR_PB16250-RA, PBAR_PB16251-RA
OG0000338	ACEP_ACEP_00002080-RA, ACEP_ACEP_00008347-RA, ACEP_ACEP_00010574-RA, ACEP_ACEP_00010575-RA	LHUM_LH10248-RA, LHUM_LH14384-RA	PBAR_PB12906-RA, PBAR_PB22669-RA
OG0000339	ACEP_ACEP_00002047-RA, ACEP_ACEP_00002048-RA, ACEP_ACEP_00006964-RA	LHUM_LH14757-RA, LHUM_LH16481-RA, LHUM_LH19017-RA	PBAR_PB16081-RA, PBAR_PB18426-RA
OG0000340	ACEP_ACEP_00001992-RA, ACEP_ACEP_00006539-RA, ACEP_ACEP_00016933-RA, ACEP_ACEP_00017621-RA	LHUM_LH21354-RA, LHUM_LH25918-RA	PBAR_PB15041-RA, PBAR_PB15042-RA
OG0000341	ACEP_ACEP_00001837-RA, ACEP_ACEP_00010634-RA, ACEP_ACEP_00017066-RA	LHUM_LH12999-RA, LHUM_LH15515-RA	PBAR_PB23384-RA, PBAR_PB25507-RA, PBAR_PB27150-RA
OG0000342	ACEP_ACEP_00001761-RA, ACEP_ACEP_00005325-RA	LHUM_LH11455-RA, LHUM_LH15455-RA	PBAR_PB10726-RA, PBAR_PB22065-RA, PBAR_PB25565-RA, PBAR_PB25574-RA
OG0000343	ACEP_ACEP_00008320-RA, ACEP_ACEP_00008321-RA	LHUM_LH16300-RA, LHUM_LH16300-RB	PBAR_PB20810-RA, PBAR_PB20813-RA, PBAR_PB20814-RA, PBAR_PB20816-RA
OG0000344	ACEP_ACEP_00004754-RA	LHUM_LH23310-RA, LHUM_LH26022-RA, LHUM_LH26023-RA, LHUM_LH26028-RA, LHUM_LH26029-RA	PBAR_PB16852-RA, PBAR_PB16853-RA
OG0000345	ACEP_ACEP_00003324-RA, ACEP_ACEP_00017566-RA	LHUM_lhum_NimC-RA	PBAR_PB19948-RA, PBAR_PB26791-RA, PBAR_PB26792-RA, PBAR_pbar_NimC1-1, PBAR_pbar_NimC2-1
OG0000346		LHUM_LH10074-RA, LHUM_LH10149-RA, LHUM_LH10348-RA, LHUM_LH10516-RA, LHUM_LH11586-RA, LHUM_LH11738-RA, LHUM_LH11744-RA, LHUM_LH15797-RA	
OG0000347		LHUM_LH10167-RA, LHUM_LH10207-RA, LHUM_LH10212-RA, LHUM_LH10213-RA, LHUM_LH10468-RA, LHUM_LH10571-RA, LHUM_LH11592-RA	PBAR_PB10659-RA
OG0000348		LHUM_LH10498-RA, LHUM_LH10499-RA, LHUM_LH10829-RA, LHUM_LH25394-RA, LHUM_LH25406-RA, LHUM_LH25758-RA, LHUM_LH26071-RA, LHUM_LH26103-RA	
OG0000349		LHUM_LH10428-RA, LHUM_LH10554-RA, LHUM_LH11507-RA, LHUM_LH13932-RA, LHUM_LH14803-RA, LHUM_LH15426-RA, LHUM_LH15823-RA, LHUM_LH23237-RA	
OG0000350		LHUM_LH10255-RA, LHUM_LH10415-RA, LHUM_LH11872-RA, LHUM_LH13890-RA, LHUM_LH13906-RA, LHUM_LH14805-RA, LHUM_LH15165-RA, LHUM_LH24073-RA	
OG0000351		LHUM_LH10034-RA, LHUM_LH10203-RA, LHUM_LH10771-RA, LHUM_LH10772-RA, LHUM_LH12521-RA, LHUM_LH13321-RA, LHUM_LH18586-RA, LHUM_LH20016-RA	
OG0000352		LHUM_LH14606-RA, LHUM_LH14610-RA, LHUM_LH15277-RA, LHUM_LH16789-RA	PBAR_PB19305-RA, PBAR_PB19306-RA, PBAR_PB19307-RA, PBAR_PB23110-RA
OG0000353		LHUM_LH18148-RA, LHUM_LH20184-RA, LHUM_LH20185-RA, LHUM_LH20186-RA, LHUM_LH22028-RA, LHUM_LH22029-RA	PBAR_PB10109-RA, PBAR_PB10169-RA
OG0000354			PBAR_Pbar_CG8630_a-1, PBAR_Pbar_CG8630_b-RA, PBAR_Pbar_CG8630_c-1, PBAR_Pbar_CG9743-RB, PBAR_Pbar_CG9747_a-RA, PBAR_Pbar_CG9747_b-1, PBAR_Pbar_CG9747_d-RA, PBAR_Pbar_desat1-1
OG0000355			PBAR_PB24168-RA, PBAR_PB26247-RA, PBAR_PB26251-RA, PBAR_PB26259-RA, PBAR_PB26495-RA, PBAR_PB26519-RA, PBAR_PB26662-RA, PBAR_PB26985-RA
OG0000356			PBAR_PB13989-RA, PBAR_PB22067-RA, PBAR_PB26959-RA, PBAR_PB26960-RA, PBAR_PB26961-RA, PBAR_PB26962-RA, PBAR_PB26963-RA, PBAR_PB26964-RA
OG0000357			PBAR_PB10305-RA, PBAR_PB10314-RA, PBAR_PB10361-RA, PBAR_PB10378-RA, PBAR_PB10662-RA, PBAR_PB10683-RA, PBAR_PB10685-RA, PBAR_PB26236-RA
OG0000358	ACEP_ACEP_00015611-RA, ACEP_ACEP_00015612-RA, ACEP_ACEP_00016081-RA	LHUM_LH21438-RA, LHUM_LH21455-RA	PBAR_PB13017-RA, PBAR_PB16199-RA
OG0000359	ACEP_ACEP_00017234-RA, ACEP_ACEP_00017235-RA, ACEP_ACEP_00017236-RA, ACEP_ACEP_00017237-RA, ACEP_ACEP_00017238-RA	LHUM_LH19887-RA	PBAR_PB13741-RA
OG0000360	ACEP_ACEP_00004614-RA, ACEP_ACEP_00004616-RA, ACEP_ACEP_00006073-RA	LHUM_LH21117-RA, LHUM_LH22244-RA	PBAR_PB22874-RA, PBAR_PB24071-RA
OG0000361	ACEP_ACEP_00006027-RA	LHUM_LH22249-RA, LHUM_LH22250-RA, LHUM_LH22251-RA	PBAR_PB22783-RA, PBAR_PB22786-RA, PBAR_Pbar_Hex70a-RA
OG0000362	ACEP_ACEP_00007396-RA, ACEP_ACEP_00014001-RA, ACEP_ACEP_00016872-RA	LHUM_LH21928-RA, LHUM_LH24762-RA	PBAR_PB19876-RA, PBAR_PB24405-RA
OG0000363	ACEP_ACEP_00013992-RA, ACEP_ACEP_00015149-RA, ACEP_ACEP_00016384-RA	LHUM_LH11698-RA	PBAR_PB15525-RA, PBAR_PB15527-RA, PBAR_pbar_-small-bristles-1
OG0000364	ACEP_ACEP_00008019-RA, ACEP_ACEP_00014176-RA, ACEP_ACEP_00016471-RA	LHUM_LH16206-RA, LHUM_LH24597-RA	PBAR_PB12664-RA, PBAR_PB21637-RA
OG0000365	ACEP_ACEP_00002555-RA, ACEP_ACEP_00011565-RA, ACEP_ACEP_00011612-RA, ACEP_ACEP_00011618-RA	LHUM_LH15939-RA, LHUM_LH16393-RA	PBAR_PB11907-RA
OG0000366	ACEP_ACEP_00002340-RA		PBAR_PB13819-RA, PBAR_PB15934-RA, PBAR_PB19181-RA, PBAR_PB22323-RA, PBAR_PB22324-RA, PBAR_PB22889-RA
OG0000367	ACEP_ACEP_00002311-RA, ACEP_ACEP_00002315-RA, ACEP_ACEP_00003643-RA, ACEP_ACEP_00016902-RA	LHUM_LH24899-RA, LHUM_LH24902-RA	PBAR_PB18908-RA
OG0000368	ACEP_ACEP_00002282-RA, ACEP_ACEP_00002284-RA, ACEP_ACEP_00002286-RA	LHUM_LH14660-RA, LHUM_LH14662-RA	PBAR_PB19418-RA, PBAR_PB19425-RA
OG0000369	ACEP_ACEP_00000854-RA, ACEP_ACEP_00016546-RA, ACEP_ACEP_00017132-RA, ACEP_ACEP_00017502-RA, ACEP_ACEP_00017503-RA, ACEP_ACEP_00017504-RA, ACEP_ACEP_00017505-RA		
OG0000370	ACEP_ACEP_00003503-RA, ACEP_ACEP_00009704-RA, ACEP_ACEP_00009749-RA, ACEP_ACEP_00010480-RA, ACEP_ACEP_00011644-RA, ACEP_ACEP_00014238-RA, ACEP_ACEP_00014251-RA		
OG0000371	ACEP_ACEP_00005502-RA, ACEP_ACEP_00005924-RA, ACEP_ACEP_00010447-RA, ACEP_ACEP_00010465-RA, ACEP_ACEP_00011575-RA, ACEP_ACEP_00011596-RA, ACEP_ACEP_00013414-RA		
OG0000372	ACEP_ACEP_00009468-RA, ACEP_ACEP_00009494-RA, ACEP_ACEP_00009504-RA, ACEP_ACEP_00009504-RB, ACEP_ACEP_00016804-RA	LHUM_LH17227-RA	PBAR_PB21136-RA
OG0000373	ACEP_ACEP_00001007-RA, ACEP_ACEP_00005920-RA, ACEP_ACEP_00014045-RA	LHUM_LH20989-RA, LHUM_LH23542-RA	PBAR_PB11513-RA, PBAR_PB15156-RA
OG0000374	ACEP_ACEP_00000551-RA, ACEP_ACEP_00007110-RA, ACEP_ACEP_00015221-RA	LHUM_LH11855-RA, LHUM_LH18256-RA	PBAR_PB25361-RA, PBAR_PB26030-RA
OG0000375	ACEP_ACEP_00005294-RA, ACEP_ACEP_00005295-RA, ACEP_ACEP_00013160-RA, ACEP_ACEP_00015177-RA, ACEP_ACEP_00015178-RA, ACEP_ACEP_00017953-RA, ACEP_ACEP_00018229-RA		
OG0000376	ACEP_ACEP_00009155-RA, ACEP_ACEP_00016361-RA, ACEP_ACEP_00016824-RA	LHUM_LH15418-RA, LHUM_lhum_AGO2-RA	PBAR_CG_02549856, PBAR_pbar_AGO1-1
OG0000377	ACEP_ACEP_00008835-RA, ACEP_ACEP_04572954-RA	LHUM_Lhum_Sdha_A-RA, LHUM_Lhum_Sdha_like_B-RA	PBAR_PB16233-RA, PBAR_Pbar_Sdha_like_A-1, PBAR_Pbar_Sdha_like_B_middle-1
OG0000378	ACEP_ACEP_00008813-RA, ACEP_ACEP_00008816-RA, ACEP_ACEP_00008817-RA	LHUM_LH21590-RA, LHUM_LH25941-RA, LHUM_LH25945-RA	PBAR_PB16209-RA
OG0000379	ACEP_ACEP_00008470-RA, ACEP_ACEP_00014700-RA	LHUM_LH17692-RA, LHUM_LH23915-RA	PBAR_PB15000-RA, PBAR_PB18322-RA, PBAR_PB18326-RA
OG0000380	ACEP_ACEP_00013743-RA, ACEP_ACEP_00015112-RA	LHUM_LH15444-RA, LHUM_LH16605-RA, LHUM_LH25088-RA	PBAR_PB13148-RA, PBAR_PB15288-RA
OG0000381	ACEP_ACEP_00012945-RA, ACEP_ACEP_00012946-RA, ACEP_ACEP_00013713-RA	LHUM_LH15036-RA, LHUM_LH25114-RA	PBAR_pbar_14-3-3epsilon-RA, PBAR_pbar_14-3-3zeta-1
OG0000382	ACEP_ACEP_00005789-RA, ACEP_ACEP_00005898-RA, ACEP_ACEP_00009702-RA, ACEP_ACEP_00011795-RA, ACEP_ACEP_00013695-RA, ACEP_ACEP_00014889-RA		PBAR_PB13124-RA
OG0000383	ACEP_ACEP_00001498-RA	LHUM_LH18341-RA	PBAR_PB13545-RB, PBAR_PB15390-RA, PBAR_PB15395-RA, PBAR_PB21692-RA, PBAR_PB26421-RA
OG0000384	ACEP_ACEP_00001430-RA, ACEP_ACEP_00001431-RA, ACEP_ACEP_00001432-RA, ACEP_ACEP_00001436-RA	LHUM_LH22187-RA, LHUM_LH22193-RA	PBAR_PB19587-RA
OG0000385	ACEP_ACEP_00001391-RA, ACEP_ACEP_00003883-RA, ACEP_ACEP_00003884-RA, ACEP_ACEP_00003885-RA, ACEP_ACEP_00003886-RA	LHUM_LH19762-RA	PBAR_PB23016-RA
OG0000386	ACEP_ACEP_00001295-RA, ACEP_ACEP_00013380-RA, ACEP_ACEP_00013381-RA, ACEP_ACEP_00014601-RA, ACEP_ACEP_00017019-RA		PBAR_PB10377-RA, PBAR_PB27175-RA
OG0000387	ACEP_ACEP_00001104-RA, ACEP_ACEP_00006684-RA		PBAR_PB10073-RA, PBAR_PB10495-RA, PBAR_PB11424-RA, PBAR_PB13812-RA, PBAR_PB20458-RA
OG0000388	ACEP_ACEP_00001094-RA, ACEP_ACEP_00002973-RA	LHUM_LH11232-RA, LHUM_LH22723-RA	PBAR_PB11221-RA, PBAR_PB11780-RA, PBAR_PB11781-RA
OG0000389	ACEP_ACEP_00001047-RA	LHUM_LH10656-RA, LHUM_LH18451-RA	PBAR_PB10437-RA, PBAR_PB13818-RA, PBAR_PB19182-RA, PBAR_PB22322-RA
OG0000390	ACEP_ACEP_00000932-RA, ACEP_ACEP_00000933-RA, ACEP_ACEP_00009196-RA, ACEP_ACEP_00014591-RA, ACEP_ACEP_00014592-RA	LHUM_LH13947-RA	PBAR_PB10900-RA
OG0000391	ACEP_ACEP_00000884-RA	LHUM_LH11556-RA, LHUM_LH11607-RA, LHUM_LH18959-RA	PBAR_PB13710-RA, PBAR_PB13712-RA, PBAR_PB20760-RA
OG0000392	ACEP_ACEP_00000855-RA, ACEP_ACEP_00000857-RA, ACEP_ACEP_00010883-RA	LHUM_LH14857-RA, LHUM_LH17565-RA	PBAR_PB20270-RA, PBAR_PB23845-RA
OG0000393	ACEP_ACEP_00000839-RA, ACEP_ACEP_00003050-RA, ACEP_ACEP_00004952-RA, ACEP_ACEP_00005137-RA, ACEP_ACEP_00015361-RA, ACEP_ACEP_00015904-RA	LHUM_LH24941-RA	
OG0000394	ACEP_ACEP_00000317-RA, ACEP_ACEP_00011828-RA	LHUM_LH14069-RA, LHUM_LH17751-RA, LHUM_LH22631-RA	PBAR_PB18229-RA, PBAR_PB26181-RA
OG0000395	ACEP_ACEP_00011744-RA, ACEP_ACEP_00011775-RA, ACEP_ACEP_00014270-RA	LHUM_LH10645-RA, LHUM_LH16047-RA, LHUM_LH20976-RA, LHUM_LH21032-RA	
OG0000396	ACEP_ACEP_00011735-RA, ACEP_ACEP_00011855-RA	LHUM_LH19531-RA, LHUM_LH20582-RA	PBAR_PB14958-RA, PBAR_PB15163-RA, PBAR_PB17720-RA
OG0000397	ACEP_ACEP_00006890-RA, ACEP_ACEP_00011710-RA	LHUM_LH18043-RA, LHUM_LH19875-RA	PBAR_PB17723-RA, PBAR_PB19853-RA, PBAR_PB23922-RA
OG0000398	ACEP_ACEP_00013839-RA, ACEP_ACEP_00015353-RA		PBAR_PB11324-RA, PBAR_PB13133-RA, PBAR_PB18638-RA, PBAR_PB18905-RA, PBAR_PB22033-RA
OG0000399	ACEP_ACEP_00010948-RA, ACEP_ACEP_00010949-RA	LHUM_LH14372-RA, LHUM_LH17567-RA, LHUM_LH17568-RA	PBAR_PB10236-RA, PBAR_PB23321-RA
OG0000400	ACEP_ACEP_00007960-RA, ACEP_ACEP_00007961-RA, ACEP_ACEP_00007962-RA, ACEP_ACEP_00007963-RA, ACEP_ACEP_00010884-RA	LHUM_LH18936-RA	PBAR_PB11674-RA
OG0000401	ACEP_ACEP_00006623-RA, ACEP_ACEP_00007012-RA, ACEP_ACEP_00010851-RA, ACEP_ACEP_00013435-RA, ACEP_ACEP_00016104-RA	LHUM_LH21731-RA	PBAR_PB12567-RA
OG0000402	ACEP_ACEP_00006922-RA, ACEP_ACEP_00010729-RA	LHUM_LH11256-RA, LHUM_LH11265-RA, LHUM_LH11333-RA	PBAR_PB20465-RA, PBAR_PB21859-RA
