Orthogroup	acep_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0001024	ACEP_ACEP_00017967-RA, ACEP_ACEP_00014798-RA	PBAR_PB13408-RA
OG0001025	ACEP_ACEP_00012869-RA	PBAR_PB16850-RA, PBAR_PB24478-RA
OG0001026	ACEP_ACEP_00006770-RA	PBAR_PB15238-RA
OG0001026	ACEP_ACEP_00012829-RA	PBAR_PB24525-RA
OG0001027	ACEP_ACEP_00012805-RA	PBAR_PB20927-RA
OG0001028	ACEP_ACEP_00012798-RA	PBAR_PB20954-RA, PBAR_PB20945-RA
OG0001029	ACEP_ACEP_00008343-RA, ACEP_ACEP_00012784-RA	PBAR_PB18789-RA
OG0001030	ACEP_ACEP_00006362-RA	PBAR_PB13759-RA
OG0001031	ACEP_ACEP_00016211-RA, ACEP_ACEP_00006327-RA	PBAR_PB14728-RA
OG0001032	ACEP_ACEP_00006329-RA	PBAR_PB24024-RA
OG0001033	ACEP_ACEP_00006281-RA	PBAR_PB11154-RA, PBAR_PB10544-RA
OG0001034	ACEP_ACEP_00006271-RA	PBAR_PB10093-RA
OG0001035	ACEP_ACEP_00000946-RA, ACEP_ACEP_00006264-RA	PBAR_PB22913-RA
OG0001036	ACEP_ACEP_00006243-RA, ACEP_ACEP_00000313-RA	PBAR_PB26167-RA
OG0001037	ACEP_ACEP_00006205-RA	PBAR_PB20541-RA
OG0001038	ACEP_ACEP_00006186-RA, ACEP_ACEP_00006185-RA	PBAR_PB20576-RA
OG0001039	ACEP_ACEP_00006181-RA	PBAR_PB20572-RA
OG0001040	ACEP_ACEP_00006179-RA	PBAR_PB20573-RA
OG0001041	ACEP_ACEP_04566590-RA, ACEP_ACEP_04566590-RB	PBAR_Pbar-Abd-B-like-RA
OG0001042	ACEP_ACEP_00006141-RA	PBAR_PB20615-RB, PBAR_PB20615-RA
OG0001043	ACEP_ACEP_00006116-RA, ACEP_ACEP_00006115-RA	PBAR_PB22847-RA
OG0001044	ACEP_ACEP_00007977-RA, ACEP_ACEP_00006118-RA	PBAR_PB12623-RA
OG0001045	ACEP_ACEP_00000456-RA, ACEP_ACEP_00006068-RA	PBAR_PB16614-RA
OG0001046	ACEP_ACEP_00006063-RA	PBAR_PB22877-RA
OG0001047	ACEP_ACEP_00006046-RA	PBAR_PB22982-RA, PBAR_PB22829-RA
OG0001048	ACEP_ACEP_00006051-RA	PBAR_PB22833-RA, PBAR_PB22832-RA
OG0001050	ACEP_ACEP_00006019-RA	PBAR_PB22798-RA
OG0001051	ACEP_ACEP_00005990-RA	PBAR_PB15899-RA
OG0001052	ACEP_ACEP_00005966-RB, ACEP_ACEP_00005966-RA	PBAR_PB22976-RA
OG0001053	ACEP_ACEP_00014034-RA	PBAR_PB15505-RA
OG0001054	ACEP_ACEP_00004937-RA, ACEP_ACEP_00013994-RA	PBAR_pbar_shibire-1
OG0001055	ACEP_ACEP_00013991-RA, ACEP_ACEP_00016505-RA	PBAR_PB15996-RA
OG0001056	ACEP_ACEP_00017880-RA, ACEP_ACEP_00016574-RA	PBAR_PB26786-RA
OG0001057	ACEP_ACEP_00017879-RA, ACEP_ACEP_00002312-RA	PBAR_PB26787-RA
OG0001058	ACEP_ACEP_00013950-RA, ACEP_ACEP_00004918-RA	PBAR_PB19123-RA
OG0001059	ACEP_ACEP_00001580-RA, ACEP_ACEP_00016772-RA	PBAR_PB14713-RA
OG0001060	ACEP_ACEP_00011507-RA	PBAR_PB10143-RA, PBAR_PB12706-RA
OG0001061	ACEP_ACEP_00011488-RA	PBAR_PB12687-RA
OG0001062	ACEP_ACEP_00011468-RA	PBAR_PB15966-RA
OG0001063	ACEP_ACEP_00002709-RA	PBAR_PB11698-RA
OG0001064	ACEP_ACEP_00002677-RA, ACEP_ACEP_00002228-RA	PBAR_PB11691-RA
OG0001065	ACEP_ACEP_00016828-RA, ACEP_ACEP_00002671-RA	PBAR_PB11710-RA
OG0001066	ACEP_ACEP_00017349-RA, ACEP_ACEP_00002660-RA	PBAR_pbar_CaMKII-RA
OG0001067	ACEP_ACEP_00002639-RA	PBAR_PB24206-RA
OG0001067	ACEP_ACEP_00002638-RA	PBAR_PB24207-RA
OG0001068	ACEP_ACEP_00002652-RA	PBAR_PB24280-RA
OG0001069	ACEP_ACEP_00002631-RA	PBAR_pbar_RpS24-1
OG0001070	ACEP_ACEP_00002590-RA	PBAR_PB23978-RA, PBAR_PB23980-RA
OG0001071	ACEP_ACEP_00002588-RA	PBAR_PB23982-RA, PBAR_PB23983-RA
OG0001072	ACEP_ACEP_00002578-RA, ACEP_ACEP_00002236-RA	PBAR_PB23964-RA
OG0001073	ACEP_ACEP_00002585-RA	PBAR_PB23974-RA, PBAR_PB23976-RA
OG0001074	ACEP_ACEP_00002569-RA, ACEP_ACEP_00002742-RA	PBAR_PB18021-RA
OG0001075	ACEP_ACEP_00002523-RA, ACEP_ACEP_00002522-RA	PBAR_PB16963-RA
OG0001076	ACEP_ACEP_00002514-RA	PBAR_pbar_RpS14-1, PBAR_PB10031-RA
OG0001077	ACEP_ACEP_00002515-RA	PBAR_PB24671-RA, PBAR_PB10616-RA
OG0001078	ACEP_ACEP_00017092-RA	PBAR_PB26619-RA
OG0001079	ACEP_ACEP_00002499-RA	PBAR_PB16986-RA, PBAR_PB16985-RA
OG0001080	ACEP_ACEP_00002477-RA, ACEP_ACEP_00002464-RA, ACEP_ACEP_00002463-RA	PBAR_PB19084-RA
OG0001081	ACEP_ACEP_00002437-RA, ACEP_ACEP_00002436-RA	PBAR_PB16600-RA
OG0001083	ACEP_ACEP_00017119-RA	PBAR_PB19345-RA
OG0001084	ACEP_ACEP_00002251-RA	PBAR_PB23951-RA
OG0001085	ACEP_ACEP_00002252-RA	PBAR_PB23958-RA
OG0001086	ACEP_ACEP_00002234-RA	PBAR_PB24672-RA
OG0001087	ACEP_ACEP_00002226-RA	PBAR_PB14367-RA, PBAR_PB10627-RA
OG0001088	ACEP_ACEP_00004676-RA, ACEP_ACEP_00010546-RA	PBAR_PB17980-RA
OG0001090	ACEP_ACEP_00010525-RA	PBAR_maker-pbar_scf7180000350332-snap-gene-1.12-mRNA-1
OG0001091	ACEP_ACEP_00010478-RA, ACEP_ACEP_00010474-RA	PBAR_PB22396-RA
OG0001092	ACEP_ACEP_00011669-RA, ACEP_ACEP_00010406-RA	PBAR_PB22386-RA
OG0001093	ACEP_ACEP_00016716-RA, ACEP_ACEP_00008079-RA	PBAR_PB20102-RA
OG0001094	ACEP_ACEP_00008233-RA	PBAR_PB26091-RA
OG0001095	ACEP_ACEP_00008231-RA	PBAR_PB26086-RA, PBAR_PB26090-RA
OG0001096	ACEP_ACEP_00008201-RA	PBAR_PB25011-RA
OG0001097	ACEP_ACEP_00008203-RA	PBAR_PB25017-RA
OG0001098	ACEP_ACEP_00008168-RA	PBAR_PB10979-RA, PBAR_PB19200-RA
OG0001099	ACEP_ACEP_00008128-RA, ACEP_ACEP_00008125-RA	PBAR_PB15099-RA
OG0001100	ACEP_ACEP_00014338-RA, ACEP_ACEP_00008103-RA	PBAR_PB20076-RA
OG0001101	ACEP_ACEP_00007770-RA, ACEP_ACEP_00008092-RA	PBAR_PB11855-RA
OG0001102	ACEP_ACEP_00016187-RA	PBAR_PB18406-RA
OG0001103	ACEP_ACEP_00016397-RA	PBAR_PB14098-RA
OG0001104	ACEP_ACEP_00016044-RA	PBAR_PB11169-RA, PBAR_PB10715-RA
OG0001105	ACEP_ACEP_00015583-RA, ACEP_ACEP_00015582-RA	PBAR_PB18811-RA
OG0001106	ACEP_ACEP_00016784-RA, ACEP_ACEP_00008951-RA	PBAR_PB16787-RA
OG0001107	ACEP_ACEP_00015951-RA, ACEP_ACEP_00015943-RA	PBAR_PB21161-RA
OG0001108	ACEP_ACEP_00017475-RA, ACEP_ACEP_00015931-RA	PBAR_PB21178-RA
OG0001109	ACEP_ACEP_00015930-RA, ACEP_ACEP_00015929-RA	PBAR_PB21176-RA
OG0001110	ACEP_ACEP_00016601-RA, ACEP_ACEP_00014061-RA	PBAR_PB16428-RA
OG0001111	ACEP_ACEP_00015259-RA	PBAR_PB23648-RA
OG0001112	ACEP_ACEP_00015231-RA	PBAR_PB15865-RA, PBAR_PB22656-RA
OG0001113	ACEP_ACEP_00015202-RA	PBAR_PB23654-RA
OG0001114	ACEP_ACEP_00009159-RA	PBAR_PB25593-RA, PBAR_PB16533-RA
OG0001115	ACEP_ACEP_00008603-RA, ACEP_ACEP_00009163-RA	PBAR_PB16712-RA
OG0001116	ACEP_ACEP_00009144-RA	PBAR_PB16531-RB, PBAR_PB16531-RA
OG0001117	ACEP_ACEP_00009123-RA	PBAR_PB26596-RA, PBAR_PB16518-RA
OG0001118	ACEP_ACEP_00009120-RA	PBAR_PB16502-RB
OG0001119	ACEP_ACEP_00009090-RA	PBAR_PB13775-RA
OG0001120	ACEP_ACEP_00009072-RA	PBAR_PB13788-RA
OG0001121	ACEP_ACEP_00009069-RA	PBAR_PB13789-RA, PBAR_PB13787-RA
OG0001122	ACEP_ACEP_00009022-RA, ACEP_ACEP_00009022-RB	PBAR_PB15884-RA
OG0001123	ACEP_ACEP_00009016-RA, ACEP_ACEP_00009015-RA	PBAR_PB15876-RA
OG0001124	ACEP_ACEP_00009003-RA	PBAR_PB15862-RA, PBAR_PB15862-RB
OG0001125	ACEP_ACEP_00008994-RA	PBAR_PB15856-RA
OG0001126	ACEP_ACEP_00008985-RA	PBAR_PB15842-RA, PBAR_PB15842-RB
OG0001127	ACEP_ACEP_00008984-RA	PBAR_pbar_RpS10_a-1, PBAR_pbar_RpS10_b-1
OG0001128	ACEP_ACEP_00008960-RA	PBAR_PB16776-RA
OG0001129	ACEP_ACEP_00008923-RA	PBAR_PB13986-RA
OG0001130	ACEP_ACEP_00008912-RA, ACEP_ACEP_00014629-RA	PBAR_PB21563-RA
OG0001131	ACEP_ACEP_00008926-RA, ACEP_ACEP_00008925-RA	PBAR_PB13982-RA
OG0001132	ACEP_ACEP_00008881-RA, ACEP_ACEP_00008882-RA	PBAR_PB14362-RA
OG0001133	ACEP_ACEP_00008861-RA, ACEP_ACEP_00017373-RA	PBAR_PB26655-RA
OG0001134	ACEP_ACEP_00008851-RA, ACEP_ACEP_00008864-RA	PBAR_PB17503-RA
OG0001135	ACEP_ACEP_00017377-RA, ACEP_ACEP_00008815-RA	PBAR_PB16224-RA
OG0001136	ACEP_ACEP_00014194-RA	PBAR_Pbar_Ndufs2-1
OG0001137	ACEP_ACEP_00014198-RA	PBAR_PB23575-RA, PBAR_PB23582-RA
OG0001138	ACEP_ACEP_00014177-RA, ACEP_ACEP_00014178-RA	PBAR_PB21634-RA
OG0001139	ACEP_ACEP_00018212-RA, ACEP_ACEP_00003198-RA	PBAR_PB22525-RA
OG0001140	ACEP_ACEP_00010391-RA	PBAR_PB19882-RA
OG0001141	ACEP_ACEP_00010380-RA, ACEP_ACEP_00010381-RA	PBAR_PB21766-RA
OG0001142	ACEP_ACEP_00010360-RA	PBAR_Pbar_vestigial-RB, PBAR_Pbar_vestigial-RA
OG0001143	ACEP_ACEP_00010343-RA	PBAR_PB21796-RA, PBAR_PB10023-RA
OG0001144	ACEP_ACEP_00010323-RA	PBAR_PB21801-RA
OG0001145	ACEP_ACEP_00015435-RA	PBAR_PB25632-RA
OG0001146	ACEP_ACEP_00001614-RA, ACEP_ACEP_00015434-RA	PBAR_PB25637-RA
OG0001147	ACEP_ACEP_00015432-RA, ACEP_ACEP_00005707-RA	PBAR_PB25630-RA
OG0001148	ACEP_ACEP_00005683-RA, ACEP_ACEP_00016842-RA	PBAR_pbar_creb-RA
OG0001149	ACEP_ACEP_00014720-RA	PBAR_PB18347-RA
OG0001150	ACEP_ACEP_00014698-RA	PBAR_PB18309-RA
OG0001151	ACEP_ACEP_00014702-RA, ACEP_ACEP_00014701-RA	PBAR_PB18324-RA
OG0001152	ACEP_ACEP_00012748-RA	PBAR_PB15665-RA
OG0001153	ACEP_ACEP_00012707-RA, ACEP_ACEP_00012706-RA	PBAR_PB15623-RA
OG0001154	ACEP_ACEP_00013816-RA, ACEP_ACEP_00013504-RA	PBAR_PB22303-RA
OG0001155	ACEP_ACEP_00016695-RA, ACEP_ACEP_00013808-RA	PBAR_CG_02545623
OG0001156	ACEP_ACEP_00013755-RA	PBAR_PB21606-RA, PBAR_PB21609-RA
OG0001157	ACEP_ACEP_00017867-RA, ACEP_ACEP_00013766-RA	PBAR_PB21601-RA
OG0001158	ACEP_ACEP_00017869-RA	PBAR_PB21610-RA, PBAR_PB21611-RA
OG0001159	ACEP_ACEP_00013718-RA	PBAR_PB14694-RA
OG0001160	ACEP_ACEP_00012180-RA, ACEP_ACEP_00013704-RA	PBAR_PB17997-RA
OG0001161	ACEP_ACEP_00013701-RA	PBAR_PB19511-RA
OG0001162	ACEP_ACEP_00013688-RA	PBAR_PB13530-RA
OG0001163	ACEP_ACEP_00013686-RA, ACEP_ACEP_00013687-RA	PBAR_PB13528-RA
OG0001164	ACEP_ACEP_00005403-RA, ACEP_ACEP_00016402-RA	PBAR_PB14183-RA
OG0001165	ACEP_ACEP_00016614-RA, ACEP_ACEP_00014901-RA	PBAR_PB21124-RA
OG0001166	ACEP_ACEP_00016720-RA, ACEP_ACEP_00016028-RA	PBAR_Pbar_Atp5a1-1
OG0001168	ACEP_ACEP_00016011-RA	PBAR_Pbar_Y-x1a-1, PBAR_Pbar_Y-x1b-1
OG0001169	ACEP_ACEP_00001575-RA	PBAR_PB19646-RA
OG0001170	ACEP_ACEP_00001574-RA, ACEP_ACEP_00017010-RA	PBAR_PB19649-RA
OG0001171	ACEP_ACEP_00017009-RA, ACEP_ACEP_00001354-RA	PBAR_PB19648-RA
OG0001172	ACEP_ACEP_00001568-RA, ACEP_ACEP_00000949-RA	PBAR_PB12423-RA
OG0001173	ACEP_ACEP_00009465-RA, ACEP_ACEP_00001560-RA	PBAR_PB21000-RA
OG0001174	ACEP_ACEP_00001564-RA, ACEP_ACEP_00004322-RA, ACEP_ACEP_00016573-RA	PBAR_PB12410-RA
OG0001175	ACEP_ACEP_00001539-RA, ACEP_ACEP_00006920-RA	PBAR_PB12391-RA
OG0001176	ACEP_ACEP_00001540-RA	PBAR_PB12400-RA, PBAR_PB12390-RA
OG0001177	ACEP_ACEP_00001518-RA, ACEP_ACEP_00001519-RA	PBAR_PB15389-RA
OG0001178	ACEP_ACEP_00001512-RA	PBAR_PB15396-RA, PBAR_PB15391-RA
OG0001179	ACEP_ACEP_00001510-RA	PBAR_PB15386-RA, PBAR_PB15397-RA
OG0001180	ACEP_ACEP_00001493-RA, ACEP_ACEP_00001492-RA	PBAR_PB15400-RA
OG0001181	ACEP_ACEP_00001483-RA	PBAR_pbar_maelstrom-1, PBAR_PB15412-RA
OG0001182	ACEP_ACEP_00001450-RA	PBAR_PB15442-RA, PBAR_PB15443-RA
OG0001183	ACEP_ACEP_00001447-RA	PBAR_PB15441-RA
OG0001184	ACEP_ACEP_00001445-RA, ACEP_ACEP_00003772-RA	PBAR_PB15438-RA
OG0001185	ACEP_ACEP_00001412-RA, ACEP_ACEP_00001413-RA	PBAR_PB12051-RA
OG0001186	ACEP_ACEP_00001318-RA	PBAR_PB12278-RA
OG0001187	ACEP_ACEP_00001267-RA	PBAR_PB17282-RA, PBAR_PB17279-RA
OG0001188	ACEP_ACEP_00001234-RA, ACEP_ACEP_00001235-RA	PBAR_PB20314-RA
OG0001189	ACEP_ACEP_00001218-RA, ACEP_ACEP_00017032-RA	PBAR_PB20336-RA
OG0001190	ACEP_ACEP_00001216-RA	PBAR_PB20333-RA
OG0001191	ACEP_ACEP_00001205-RA	PBAR_PB20338-RA
OG0001192	ACEP_ACEP_00000221-RA, ACEP_ACEP_00001194-RA	PBAR_PB23424-RA
OG0001193	ACEP_ACEP_00001197-RA, ACEP_ACEP_00000217-RA	PBAR_PB11758-RA
OG0001194	ACEP_ACEP_00001198-RA	PBAR_PB11757-RA, PBAR_PB26813-RA
OG0001195	ACEP_ACEP_00001173-RA	PBAR_PB19014-RA
OG0001196	ACEP_ACEP_00001108-RA	PBAR_PB19039-RA
OG0001197	ACEP_ACEP_00006916-RA, ACEP_ACEP_00001076-RA	PBAR_PB15212-RA
OG0001198	ACEP_ACEP_00001039-RA	PBAR_PB13522-RA, PBAR_PB10078-RA
OG0001199	ACEP_ACEP_00001032-RA, ACEP_ACEP_00001031-RA	PBAR_PB15534-RA
OG0001200	ACEP_ACEP_00001027-RA	PBAR_PB15544-RA, PBAR_PB15546-RA
OG0001201	ACEP_ACEP_00001014-RA	PBAR_PB13886-RA, PBAR_PB13885-RA
OG0001203	ACEP_ACEP_00000988-RA	PBAR_PB21978-RA
OG0001204	ACEP_ACEP_00000944-RA, ACEP_ACEP_00014583-RA	PBAR_PB14610-RA
OG0001205	ACEP_ACEP_00000903-RA	PBAR_PB20640-RA, PBAR_PB23535-RA
OG0001206	ACEP_ACEP_00000872-RA, ACEP_ACEP_00000871-RA	PBAR_PB21742-RA
OG0001209	ACEP_ACEP_00000816-RA, ACEP_ACEP_00012380-RA	PBAR_PB23812-RA
OG0001210	ACEP_ACEP_00001579-RA, ACEP_ACEP_00011785-RA	PBAR_PB14019-RA
OG0001211	ACEP_ACEP_00011767-RA	PBAR_PB17692-RA
OG0001212	ACEP_ACEP_00011707-RA	PBAR_PB17724-RA
OG0001213	ACEP_ACEP_00014829-RA	PBAR_PB17542-RA
OG0001214	ACEP_ACEP_00014832-RA	PBAR_PB17547-RA
OG0001215	ACEP_ACEP_00014788-RA	PBAR_PB13416-RA
OG0001217	ACEP_ACEP_00018202-RA, ACEP_ACEP_00003678-RA	PBAR_PB21445-RA
OG0001218	ACEP_ACEP_00013878-RA, ACEP_ACEP_00016457-RA	PBAR_PB18960-RA
OG0001219	ACEP_ACEP_00011025-RA	PBAR_PB20519-RA, PBAR_PB20515-RA
OG0001220	ACEP_ACEP_00010983-RA, ACEP_ACEP_00010992-RA	PBAR_pbar_RpS13-1
OG0001221	ACEP_ACEP_00000633-RA, ACEP_ACEP_00010984-RA	PBAR_PB23268-RA
OG0001222	ACEP_ACEP_00010978-RA	PBAR_PB23273-RA
OG0001223	ACEP_ACEP_00010986-RA	PBAR_PB23265-RA, PBAR_PB16999-RA
OG0001224	ACEP_ACEP_00010973-RA	PBAR_PB23280-RA, PBAR_PB10034-RA
OG0001225	ACEP_ACEP_00010956-RA	PBAR_PB23300-RA, PBAR_PB23299-RA
OG0001226	ACEP_ACEP_00010927-RA, ACEP_ACEP_00010926-RA	PBAR_PB23327-RA
OG0001227	ACEP_ACEP_00010932-RA	PBAR_PB23331-RA
OG0001228	ACEP_ACEP_00010916-RA	PBAR_PB23337-RA
OG0001229	ACEP_ACEP_00017839-RA, ACEP_ACEP_00010925-RA	PBAR_PB22751-RA
OG0001230	ACEP_ACEP_00010900-RA	PBAR_PB20279-RA
OG0001231	ACEP_ACEP_00010886-RA	PBAR_PB20268-RA
OG0001232	ACEP_ACEP_00010880-RA	PBAR_PB20265-RA, PBAR_PB20267-RA
OG0001233	ACEP_ACEP_00010845-RA	PBAR_PB20218-RA
OG0001234	ACEP_ACEP_00010822-RA, ACEP_ACEP_00011850-RA	PBAR_PB20204-RA
OG0001235	ACEP_ACEP_00010780-RA, ACEP_ACEP_00010782-RA	PBAR_PB16395-RA
OG0001236	ACEP_ACEP_00012170-RA, ACEP_ACEP_00010771-RA	PBAR_PB16394-RA
OG0001237	ACEP_ACEP_00001772-RA, ACEP_ACEP_00017512-RA	PBAR_PB25561-RA
OG0001238	ACEP_ACEP_00010723-RA, ACEP_ACEP_00010722-RA	PBAR_PB20467-RA
OG0001239	ACEP_ACEP_00010714-RA	PBAR_PB24131-RA
OG0001240	ACEP_ACEP_00010712-RA	PBAR_PB16482-RA, PBAR_PB13248-RA
OG0001241	ACEP_ACEP_00010713-RA	PBAR_pbar_RpLP0_a-1, PBAR_pbar_RpLP0_b-1
OG0001242	ACEP_ACEP_00011143-RA, ACEP_ACEP_00016658-RA	PBAR_PB18692-RA
OG0001243	ACEP_ACEP_00009609-RA, ACEP_ACEP_00009623-RA	PBAR_PB22888-RA
OG0001244	ACEP_ACEP_00009561-RA, ACEP_ACEP_00009562-RA	PBAR_PB20026-RA
OG0001245	ACEP_ACEP_00009509-RA	PBAR_PB12104-RA, PBAR_PB12103-RA
OG0001246	ACEP_ACEP_00001941-RA, ACEP_ACEP_00009490-RA	PBAR_PB21132-RA
OG0001247	ACEP_ACEP_00009438-RA	PBAR_PB23711-RA
OG0001248	ACEP_ACEP_00009401-RA	PBAR_PB23682-RA
OG0001249	ACEP_ACEP_00009397-RA, ACEP_ACEP_00003458-RA	PBAR_PB23674-RA
OG0001250	ACEP_ACEP_00009391-RA	PBAR_PB15490-RA
OG0001251	ACEP_ACEP_00003334-RA, ACEP_ACEP_00009382-RA	PBAR_PB19935-RA
OG0001252	ACEP_ACEP_00015710-RA, ACEP_ACEP_00012407-RA	PBAR_PB15754-RA
OG0001253	ACEP_ACEP_00018146-RA	PBAR_PB26557-RA
OG0001254	ACEP_ACEP_00015696-RA	PBAR_PB15738-RA, PBAR_PB15733-RA
OG0001256	ACEP_ACEP_00011978-RA	PBAR_PB15459-RA, PBAR_PB17023-RA
OG0001257	ACEP_ACEP_00011944-RA	PBAR_PB22768-RA, PBAR_PB22766-RA
OG0001258	ACEP_ACEP_00011909-RA, ACEP_ACEP_00011908-RA	PBAR_pbar_Serpin-5-1
OG0001259	ACEP_ACEP_00011911-RA	PBAR_PB23291-RA, PBAR_PB10775-RA
OG0001260	ACEP_ACEP_00011892-RA, ACEP_ACEP_00011893-RA	PBAR_CG_02549542
OG0001261	ACEP_ACEP_00011849-RA	PBAR_PB18806-RA, PBAR_PB26200-RA, PBAR_PB13845-RA
OG0001262	ACEP_ACEP_00013243-RA	PBAR_PB19163-RA, PBAR_PB13326-RA
OG0001263	ACEP_ACEP_00017945-RA, ACEP_ACEP_00018059-RA	PBAR_PB26280-RA
OG0001264	ACEP_ACEP_00016386-RA, ACEP_ACEP_00013175-RA	PBAR_PB12766-RA
OG0001265	ACEP_ACEP_00013154-RA	PBAR_PB15376-RA, PBAR_PB15377-RA
OG0001266	ACEP_ACEP_00016571-RA, ACEP_ACEP_00016572-RA	PBAR_PB12848-RA
OG0001267	ACEP_ACEP_00016569-RA, ACEP_ACEP_00003151-RA	PBAR_PB19255-RA
OG0001268	ACEP_ACEP_00003750-RA	PBAR_PB18157-RA
OG0001269	ACEP_ACEP_00009687-RA, ACEP_ACEP_00003717-RA	PBAR_pbar_RpL14-1
OG0001270	ACEP_ACEP_00003654-RA, ACEP_ACEP_00000013-RA	PBAR_PB23620-RA
OG0001271	ACEP_ACEP_00003635-RA	PBAR_PB21479-RA, PBAR_PB21475-RA
OG0001272	ACEP_ACEP_00003558-RA, ACEP_ACEP_00016328-RA	PBAR_PB14554-RA
OG0001273	ACEP_ACEP_00003531-RA, ACEP_ACEP_00015975-RA	PBAR_PB16173-RA
OG0001275	ACEP_ACEP_00011555-RA, ACEP_ACEP_00006399-RA	PBAR_PB13058-RA
OG0001276	ACEP_ACEP_00010027-RA	PBAR_PB14597-RA, PBAR_PB10486-RA
OG0001277	ACEP_ACEP_00010000-RA	PBAR_PB13366-RA
OG0001278	ACEP_ACEP_00009995-RA, ACEP_ACEP_00009996-RA	PBAR_PB13382-RA
OG0001279	ACEP_ACEP_00009987-RA	PBAR_PB13385-RA, PBAR_PB13385-RB
OG0001280	ACEP_ACEP_00009970-RA	PBAR_PB13394-RA
OG0001281	ACEP_ACEP_00009968-RA	PBAR_PB13388-RA
OG0001282	ACEP_ACEP_00009912-RA, ACEP_ACEP_00009913-RA	PBAR_PB24878-RA
OG0001283	ACEP_ACEP_00009899-RA, ACEP_ACEP_00009904-RA	PBAR_PB18478-RA
OG0001285	ACEP_ACEP_00009857-RA	PBAR_Pbar_PDK1-RB, PBAR_Pbar_PDK1-RA
OG0001286	ACEP_ACEP_00009835-RA	PBAR_PB21885-RA
OG0001287	ACEP_ACEP_00009804-RA	PBAR_CG_02547645, PBAR_maker-pbar_scf7180000350228-augustus-gene-1.3-mRNA-1
OG0001288	ACEP_ACEP_00016151-RA, ACEP_ACEP_00016150-RA	PBAR_PB14826-RA
OG0001289	ACEP_ACEP_00016128-RA	PBAR_PB10607-RA, PBAR_PB21125-RA
OG0001290	ACEP_ACEP_00016129-RA, ACEP_ACEP_00016733-RA	PBAR_PB11428-RA
OG0001291	ACEP_ACEP_00018025-RA	PBAR_PB27116-RA, PBAR_PB25082-RA
OG0001292	ACEP_ACEP_00012482-RA, ACEP_ACEP_00012480-RA	PBAR_PB25077-RA
OG0001293	ACEP_ACEP_00012479-RA	PBAR_PB25078-RA
OG0001294	ACEP_ACEP_00012469-RA, ACEP_ACEP_00012470-RA	PBAR_PB25063-RA
OG0001295	ACEP_ACEP_00012444-RA, ACEP_ACEP_00014155-RA	PBAR_PB25038-RA
OG0001297	ACEP_ACEP_00014870-RA	PBAR_PB19590-RA
OG0001298	ACEP_ACEP_00014858-RA, ACEP_ACEP_00005836-RA	PBAR_PB19603-RA
OG0001299	ACEP_ACEP_00014855-RA	PBAR_PB19605-RA
OG0001300	ACEP_ACEP_00016705-RA	PBAR_PB12445-RA
OG0001301	ACEP_ACEP_00014490-RA	PBAR_PB24262-RA
OG0001302	ACEP_ACEP_00014484-RA	PBAR_PB24268-RA, PBAR_PB24268-RB
OG0001303	ACEP_ACEP_00014478-RA, ACEP_ACEP_00014482-RA	PBAR_PB24254-RA
OG0001304	ACEP_ACEP_00010128-RA, ACEP_ACEP_00016696-RA	PBAR_PB10462-RA
OG0001305	ACEP_ACEP_00014653-RA	PBAR_PB12743-RA, PBAR_PB12742-RA
OG0001306	ACEP_ACEP_00014656-RA, ACEP_ACEP_00014655-RA	PBAR_PB12746-RA
OG0001308	ACEP_ACEP_00015861-RA	PBAR_PB25233-RA
OG0001309	ACEP_ACEP_00015855-RA	PBAR_PB25238-RA, PBAR_PB25239-RA
OG0001310	ACEP_ACEP_00001983-RA, ACEP_ACEP_00015892-RA	PBAR_PB15698-RA
OG0001311	ACEP_ACEP_00015889-RA	PBAR_PB15511-RA, PBAR_PB23907-RA
OG0001312	ACEP_ACEP_00015885-RA	PBAR_PB15539-RA
OG0001313	ACEP_ACEP_00003889-RA, ACEP_ACEP_00015866-RA	PBAR_PB13919-RA
OG0001314	ACEP_ACEP_00015870-RA	PBAR_PB24700-RA, PBAR_PB12533-RA
OG0001315	ACEP_ACEP_00000810-RA, ACEP_ACEP_00008031-RA	PBAR_PB25700-RA
OG0001316	ACEP_ACEP_00008009-RA	PBAR_PB12654-RA
OG0001317	ACEP_ACEP_00007998-RA	PBAR_PB12641-RA
OG0001318	ACEP_ACEP_00007908-RA, ACEP_ACEP_00012259-RA	PBAR_PB25578-RA
OG0001319	ACEP_ACEP_00007903-RA	PBAR_PB24084-RA
OG0001320	ACEP_ACEP_00007905-RA	PBAR_PB24083-RA
OG0001321	ACEP_ACEP_00007861-RA	PBAR_PB20168-RA
OG0001322	ACEP_ACEP_00007802-RA, ACEP_ACEP_00007833-RA	PBAR_PB11826-RA
OG0001323	ACEP_ACEP_00007825-RA	PBAR_PB20122-RA
OG0001324	ACEP_ACEP_00007813-RA	PBAR_PB20113-RA
OG0001325	ACEP_ACEP_00007781-RA, ACEP_ACEP_00012384-RA	PBAR_PB11831-RA
OG0001326	ACEP_ACEP_00007783-RA	PBAR_PB11843-RA, PBAR_PB11840-RA
OG0001327	ACEP_ACEP_00007752-RA, ACEP_ACEP_00007773-RA	PBAR_PB11852-RA
OG0001328	ACEP_ACEP_00007734-RA	PBAR_Pbar_Cyt_b5_r_desat-1
