Orthogroup	acep_genome.OGS.1.2.maker.proteins	lhum_genome.OGS.1.2.maker.proteins
OG0002394	ACEP_ACEP_00002353-RA	LHUM_LH17774-RA
OG0002395	ACEP_ACEP_00002354-RA	LHUM_LH17775-RA
OG0002396	ACEP_ACEP_00002347-RA	LHUM_LH17780-RA
OG0002397	ACEP_ACEP_00002346-RA	LHUM_LH17781-RA
OG0002398	ACEP_ACEP_00002343-RA	LHUM_LH17779-RA
OG0002399	ACEP_ACEP_00002342-RA	LHUM_LH17788-RA
OG0002400	ACEP_ACEP_00002344-RA	LHUM_LH17782-RA
OG0002401	ACEP_ACEP_00002337-RA	LHUM_LH17787-RA
OG0002402	ACEP_ACEP_00002331-RA	LHUM_LH17790-RA
OG0002403	ACEP_ACEP_00002328-RA	LHUM_LH17789-RA
OG0002404	ACEP_ACEP_00002339-RA	LHUM_lhum_SCR-B6-RA
OG0002405	ACEP_ACEP_00002324-RA	LHUM_LH17795-RA
OG0002406	ACEP_ACEP_04566564-RA	LHUM_lhum_RpL40-RA
OG0002407	ACEP_ACEP_00002326-RA	LHUM_LH17797-RA
OG0002408	ACEP_ACEP_00002319-RA	LHUM_LH17801-RA
OG0002409	ACEP_ACEP_00002322-RA	LHUM_LH17798-RA
OG0002410	ACEP_ACEP_00002323-RA	LHUM_LH17796-RA
OG0002411	ACEP_ACEP_00002313-RA	LHUM_LH17803-RA
OG0002412	ACEP_ACEP_00002310-RA	LHUM_LH17802-RA
OG0002413	ACEP_ACEP_00002318-RA	LHUM_LH17800-RA
OG0002414	ACEP_ACEP_00002302-RA	LHUM_LH25693-RA
OG0002415	ACEP_ACEP_00002299-RA	LHUM_LH17812-RA
OG0002416	ACEP_ACEP_00002300-RA	LHUM_LH17813-RA
OG0002417	ACEP_ACEP_00002292-RA	LHUM_LH17825-RA
OG0002418	ACEP_ACEP_00002293-RA	LHUM_LH17818-RA
OG0002419	ACEP_ACEP_00002296-RA	LHUM_LH17811-RA
OG0002420	ACEP_ACEP_00002285-RA, ACEP_ACEP_00002283-RA	LHUM_LH14663-RA
OG0002421	ACEP_ACEP_00002287-RA	LHUM_LH14655-RA
OG0002422	ACEP_ACEP_00002288-RA	LHUM_LH14664-RA
OG0002423	ACEP_ACEP_00002290-RA	LHUM_LH14666-RA
OG0002424	ACEP_ACEP_00002289-RA	LHUM_LH14667-RA
OG0002425	ACEP_ACEP_00002278-RA	LHUM_LH17858-RA
OG0002426	ACEP_ACEP_00002277-RA	LHUM_LH17850-RA
OG0002427	ACEP_ACEP_00002280-RA	LHUM_LH17845-RA
OG0002428	ACEP_ACEP_00002272-RA	LHUM_LH14579-RA
OG0002429	ACEP_ACEP_00002273-RA	LHUM_LH14572-RA
OG0002430	ACEP_ACEP_00002279-RA	LHUM_LH21059-RA
OG0002431	ACEP_ACEP_00002269-RA	LHUM_LH14585-RA
OG0002432	ACEP_ACEP_00002281-RA	LHUM_LH14659-RA
OG0002433	ACEP_ACEP_00002270-RA	LHUM_LH14574-RA
OG0002434	ACEP_ACEP_00002271-RA	LHUM_LH14575-RA
OG0002435	ACEP_ACEP_00002264-RA	LHUM_LH23501-RA
OG0002436	ACEP_ACEP_00002263-RA	LHUM_LH23491-RA
OG0002437	ACEP_ACEP_00002261-RA	LHUM_LH23492-RA
OG0002438	ACEP_ACEP_00002262-RA	LHUM_LH23500-RA
OG0002439	ACEP_ACEP_00002265-RA	LHUM_LH14584-RA
OG0002440	ACEP_ACEP_00002266-RA	LHUM_LH14581-RA
OG0002441	ACEP_ACEP_00002253-RA	LHUM_LH23509-RA
OG0002442	ACEP_ACEP_00002250-RA	LHUM_LH23504-RA
OG0002443	ACEP_ACEP_00002242-RA	LHUM_LH23513-RA
OG0002444	ACEP_ACEP_00002243-RA	LHUM_LH11670-RA
OG0002446	ACEP_ACEP_00002246-RA	LHUM_LH23512-RA
OG0002447	ACEP_ACEP_00002233-RA	LHUM_LH17485-RA
OG0002448	ACEP_ACEP_00002238-RA	LHUM_LH14645-RA
OG0002449	ACEP_ACEP_00002240-RA	LHUM_LH14634-RA
OG0002450	ACEP_ACEP_00002239-RA	LHUM_LH14632-RA
OG0002451	ACEP_ACEP_00002241-RA	LHUM_LH23515-RA
OG0002452	ACEP_ACEP_00002231-RA	LHUM_LH17484-RA
OG0002453	ACEP_ACEP_00002222-RA	LHUM_LH17477-RA
OG0002454	ACEP_ACEP_00002223-RA	LHUM_LH17473-RA
OG0002455	ACEP_ACEP_00002227-RA	LHUM_LH17475-RA
OG0002456	ACEP_ACEP_00002224-RA	LHUM_LH17479-RA
OG0002457	ACEP_ACEP_00017136-RA	LHUM_LH25682-RA
OG0002458	ACEP_ACEP_00002229-RA	LHUM_LH17476-RA
OG0002459	ACEP_ACEP_00002211-RA	LHUM_LH17469-RA
OG0002460	ACEP_ACEP_00002206-RA	LHUM_LH17468-RA
OG0002461	ACEP_ACEP_00002207-RA	LHUM_LH17463-RA
OG0002462	ACEP_ACEP_00002203-RA	LHUM_LH17466-RA
OG0002463	ACEP_ACEP_00002204-RA	LHUM_LH17464-RA
OG0002464	ACEP_ACEP_00002208-RA	LHUM_LH17465-RA
OG0002465	ACEP_ACEP_00002200-RA	LHUM_LH17467-RA
OG0002466	ACEP_ACEP_00002192-RA	LHUM_LH23476-RA
OG0002467	ACEP_ACEP_00002195-RA	LHUM_LH25674-RA
OG0002468	ACEP_ACEP_00002194-RA	LHUM_LH23474-RA
OG0002469	ACEP_ACEP_00002197-RA	LHUM_LH17461-RA
OG0002470	ACEP_ACEP_00016603-RA	LHUM_LH11688-RA
OG0002471	ACEP_ACEP_00010573-RA	LHUM_LH20756-RA
OG0002472	ACEP_ACEP_00010571-RA	LHUM_LH20487-RA
OG0002473	ACEP_ACEP_00010566-RA	LHUM_LH20758-RA
OG0002474	ACEP_ACEP_00010567-RA	LHUM_LH20760-RA
OG0002475	ACEP_ACEP_00010559-RA	LHUM_LH16786-RA
OG0002476	ACEP_ACEP_00010549-RA	LHUM_LH16784-RA
OG0002477	ACEP_ACEP_00010544-RA	LHUM_LH12876-RA
OG0002478	ACEP_ACEP_00010534-RA	LHUM_LH20310-RA
OG0002479	ACEP_ACEP_00010533-RA	LHUM_LH20292-RA
OG0002480	ACEP_ACEP_00010535-RA	LHUM_LH20303-RA
OG0002481	ACEP_ACEP_00010536-RA	LHUM_LH20294-RA
OG0002482	ACEP_ACEP_00010528-RA	LHUM_LH22513-RA
OG0002483	ACEP_ACEP_00010529-RA	LHUM_LH20286-RA
OG0002484	ACEP_ACEP_00010527-RA	LHUM_LH22516-RA
OG0002485	ACEP_ACEP_00010531-RA	LHUM_LH20297-RA
OG0002486	ACEP_ACEP_00010512-RB	LHUM_LH22499-RA
OG0002487	ACEP_ACEP_00010515-RA	LHUM_LH22498-RA
OG0002488	ACEP_ACEP_00010526-RA	LHUM_LH22511-RA
OG0002489	ACEP_ACEP_00010491-RA, ACEP_ACEP_00007720-RA	LHUM_LH18907-RA
OG0002490	ACEP_ACEP_00010494-RA	LHUM_LH23647-RA
OG0002491	ACEP_ACEP_00010485-RA	LHUM_LH14476-RA
OG0002493	ACEP_ACEP_00010459-RA	LHUM_LH14480-RA
OG0002494	ACEP_ACEP_00010452-RA	LHUM_LH22501-RA
OG0002495	ACEP_ACEP_00010440-RA	LHUM_LH22494-RA
OG0002496	ACEP_ACEP_00010441-RA	LHUM_LH22502-RA
OG0002497	ACEP_ACEP_00010439-RA	LHUM_LH15986-RA
OG0002498	ACEP_ACEP_00010437-RA	LHUM_LH15981-RA
OG0002500	ACEP_ACEP_00010433-RA	LHUM_LH15980-RA
OG0002501	ACEP_ACEP_00010428-RA	LHUM_LH15222-RA
OG0002502	ACEP_ACEP_00010430-RA	LHUM_LH15984-RA
OG0002503	ACEP_ACEP_00010423-RA	LHUM_LH15226-RA
OG0002504	ACEP_ACEP_00010421-RA	LHUM_LH15217-RA
OG0002505	ACEP_ACEP_00010419-RA	LHUM_LH15231-RA
OG0002506	ACEP_ACEP_00016567-RA	LHUM_LH21765-RA
OG0002507	ACEP_ACEP_00016468-RA	LHUM_LH23959-RA
OG0002508	ACEP_ACEP_00016580-RA	LHUM_LH11672-RA
OG0002509	ACEP_ACEP_00016581-RA	LHUM_LH11666-RA
OG0002510	ACEP_ACEP_00008253-RA	LHUM_LH15700-RA
OG0002511	ACEP_ACEP_00008255-RA	LHUM_LH10387-RA
OG0002512	ACEP_ACEP_00008252-RA	LHUM_LH15702-RA
OG0002513	ACEP_ACEP_00008254-RA	LHUM_LH15693-RA
OG0002514	ACEP_ACEP_00008260-RA	LHUM_LH25189-RA
OG0002515	ACEP_ACEP_00008256-RA	LHUM_LH10395-RA
OG0002516	ACEP_ACEP_00008257-RA	LHUM_LH25183-RA
OG0002517	ACEP_ACEP_00008246-RA	LHUM_LH16235-RA
OG0002518	ACEP_ACEP_00008244-RA	LHUM_LH23885-RA
OG0002519	ACEP_ACEP_00008245-RA	LHUM_LH23882-RA
OG0002520	ACEP_ACEP_00008251-RA	LHUM_LH15696-RA
OG0002521	ACEP_ACEP_00017729-RA	LHUM_LH19900-RA
OG0002522	ACEP_ACEP_00008239-RA	LHUM_LH18853-RA
OG0002523	ACEP_ACEP_00008242-RA	LHUM_LH18848-RA
OG0002524	ACEP_ACEP_00008240-RA	LHUM_LH18847-RA
OG0002525	ACEP_ACEP_00008241-RA	LHUM_LH18852-RA
OG0002526	ACEP_ACEP_00008243-RA	LHUM_LH23880-RA
OG0002527	ACEP_ACEP_00008228-RA	LHUM_LH18842-RA
OG0002528	ACEP_ACEP_00008230-RA	LHUM_LH18841-RA
OG0002529	ACEP_ACEP_00008235-RA	LHUM_LH18839-RA
OG0002530	ACEP_ACEP_00008236-RA	LHUM_LH18850-RA
OG0002531	ACEP_ACEP_00008221-RA	LHUM_LH22948-RA
OG0002532	ACEP_ACEP_00008226-RA	LHUM_LH18831-RA
OG0002533	ACEP_ACEP_00008224-RA	LHUM_LH22959-RA
OG0002534	ACEP_ACEP_00008225-RA	LHUM_LH18826-RA
OG0002535	ACEP_ACEP_00008223-RA	LHUM_LH22958-RA
OG0002536	ACEP_ACEP_00008215-RA	LHUM_LH10399-RA
OG0002537	ACEP_ACEP_00008213-RA	LHUM_LH10400-RA
OG0002538	ACEP_ACEP_00008216-RA	LHUM_LH10402-RA
OG0002539	ACEP_ACEP_00008214-RA	LHUM_LH10406-RA
OG0002540	ACEP_ACEP_00008212-RA	LHUM_LH10405-RA
OG0002541	ACEP_ACEP_00008208-RA	LHUM_LH10384-RA
OG0002542	ACEP_ACEP_00008206-RA	LHUM_LH18725-RA
OG0002543	ACEP_ACEP_00008209-RA	LHUM_LH10393-RA
OG0002544	ACEP_ACEP_00008211-RA	LHUM_LH10386-RA
OG0002545	ACEP_ACEP_00008200-RA	LHUM_LH18741-RA
OG0002546	ACEP_ACEP_00008199-RA	LHUM_LH18737-RA
OG0002547	ACEP_ACEP_00008198-RA	LHUM_LH18740-RA
OG0002548	ACEP_ACEP_00008195-RA	LHUM_LH22926-RA
OG0002549	ACEP_ACEP_00008196-RA	LHUM_LH22928-RA
OG0002550	ACEP_ACEP_00008193-RA	LHUM_LH22927-RA
OG0002551	ACEP_ACEP_00008192-RA	LHUM_LH22925-RA
OG0002552	ACEP_ACEP_00008189-RA	LHUM_LH22923-RA
OG0002553	ACEP_ACEP_00008188-RA	LHUM_LH22922-RA
OG0002554	ACEP_ACEP_00008183-RA	LHUM_LH22920-RA
OG0002555	ACEP_ACEP_00008181-RA	LHUM_LH22918-RA
OG0002556	ACEP_ACEP_00008174-RA	LHUM_LH22914-RA
OG0002557	ACEP_ACEP_00008175-RA	LHUM_LH22915-RA
OG0002558	ACEP_ACEP_00008177-RA	LHUM_LH22916-RA
OG0002559	ACEP_ACEP_00008170-RA	LHUM_LH22909-RA
OG0002560	ACEP_ACEP_00008169-RA	LHUM_LH22905-RA
OG0002561	ACEP_ACEP_00008166-RA	LHUM_LH22908-RA
OG0002562	ACEP_ACEP_00008165-RA	LHUM_LH22910-RA
OG0002563	ACEP_ACEP_00008171-RA	LHUM_LH22906-RA
OG0002564	ACEP_ACEP_00008164-RA	LHUM_LH22912-RA
OG0002565	ACEP_ACEP_00008163-RA	LHUM_LH22903-RA
OG0002566	ACEP_ACEP_00008155-RA	LHUM_LH24269-RA
OG0002567	ACEP_ACEP_00008159-RA	LHUM_LH24278-RA
OG0002568	ACEP_ACEP_00008142-RA	LHUM_LH24202-RA
OG0002569	ACEP_ACEP_00008150-RA	LHUM_LH24267-RA
OG0002570	ACEP_ACEP_00008144-RA	LHUM_LH24198-RA
OG0002571	ACEP_ACEP_00008143-RA	LHUM_LH24192-RA
OG0002572	ACEP_ACEP_00008141-RA	LHUM_LH24193-RA
OG0002573	ACEP_ACEP_00008151-RA	LHUM_LH24281-RA
OG0002574	ACEP_ACEP_00008148-RA	LHUM_LH24190-RA
OG0002575	ACEP_ACEP_00008149-RA	LHUM_LH24201-RA
OG0002576	ACEP_ACEP_00008139-RA	LHUM_LH24182-RA
OG0002577	ACEP_ACEP_00008134-RA	LHUM_LH24181-RA
OG0002578	ACEP_ACEP_00008104-RA	LHUM_LH24164-RA
OG0002579	ACEP_ACEP_00008105-RA	LHUM_LH24169-RA
OG0002580	ACEP_ACEP_00008112-RA	LHUM_LH24165-RA
OG0002581	ACEP_ACEP_00008114-RA	LHUM_LH24174-RA
OG0002582	ACEP_ACEP_00008097-RA	LHUM_LH24162-RA
OG0002583	ACEP_ACEP_00008102-RA	LHUM_LH24161-RA
OG0002584	ACEP_ACEP_00008093-RA	LHUM_LH24159-RA
OG0002585	ACEP_ACEP_00008088-RA	LHUM_LH24157-RA
OG0002586	ACEP_ACEP_00008090-RA	LHUM_LH24154-RA
OG0002587	ACEP_ACEP_00008089-RA	LHUM_LH24153-RA
OG0002588	ACEP_ACEP_00008091-RA	LHUM_LH24156-RA
OG0002589	ACEP_ACEP_00008083-RA	LHUM_LH24152-RA
OG0002590	ACEP_ACEP_00008081-RA	LHUM_LH24149-RA
OG0002591	ACEP_ACEP_00008080-RA	LHUM_LH24150-RA
OG0002592	ACEP_ACEP_00008073-RA	LHUM_LH24147-RA
OG0002593	ACEP_ACEP_00008067-RA	LHUM_LH24144-RA
OG0002594	ACEP_ACEP_00008059-RA	LHUM_LH24136-RA
OG0002595	ACEP_ACEP_00008055-RA	LHUM_LH24135-RA
OG0002596	ACEP_ACEP_00016210-RA	LHUM_LH13825-RA
OG0002597	ACEP_ACEP_00016209-RA	LHUM_LH13826-RA
OG0002598	ACEP_ACEP_00016202-RA	LHUM_LH19189-RA
OG0002599	ACEP_ACEP_00016199-RA	LHUM_LH19254-RA
OG0002600	ACEP_ACEP_00016200-RA	LHUM_LH12784-RA
OG0002601	ACEP_ACEP_00016205-RA	LHUM_LH13827-RA
OG0002602	ACEP_ACEP_00016201-RA	LHUM_LH19179-RA
OG0002603	ACEP_ACEP_00016204-RA	LHUM_LH13822-RA
OG0002604	ACEP_ACEP_00016195-RA	LHUM_LH19969-RA
OG0002605	ACEP_ACEP_00016193-RA	LHUM_LH19978-RA
OG0002606	ACEP_ACEP_00016194-RA	LHUM_LH19981-RA
OG0002607	ACEP_ACEP_00016191-RA	LHUM_LH25227-RA
OG0002608	ACEP_ACEP_00016198-RA	LHUM_LH19276-RA
OG0002609	ACEP_ACEP_00016197-RA	LHUM_LH19186-RA
OG0002610	ACEP_ACEP_00016196-RA	LHUM_LH19180-RA
OG0002611	ACEP_ACEP_00016188-RA	LHUM_LH10612-RA
OG0002612	ACEP_ACEP_00016189-RA	LHUM_LH10607-RA
OG0002613	ACEP_Acep_Pros45_partial_-like-RA	LHUM_LH10815-RA
OG0002614	ACEP_ACEP_00016757-RA	LHUM_LH12873-RA
OG0002615	ACEP_ACEP_00016640-RA	LHUM_LH18915-RA
OG0002616	ACEP_ACEP_00016043-RA	LHUM_LH19003-RA
OG0002617	ACEP_ACEP_00016045-RA	LHUM_LH23122-RA
OG0002618	ACEP_ACEP_00016034-RA	LHUM_LH17740-RA
OG0002619	ACEP_ACEP_00016036-RA	LHUM_LH17738-RA
OG0002620	ACEP_ACEP_00016033-RA	LHUM_LH17739-RA
OG0002621	ACEP_ACEP_00016029-RA	LHUM_LH17742-RA
OG0002622	ACEP_ACEP_00016031-RA	LHUM_LH17735-RA
OG0002623	ACEP_ACEP_00016543-RA	LHUM_LH11021-RA
OG0002625	ACEP_ACEP_00016717-RA	LHUM_LH13863-RA
OG0002626	ACEP_ACEP_00015946-RA	LHUM_LH23209-RA
OG0002627	ACEP_ACEP_00015952-RA	LHUM_LH23211-RA
OG0002628	ACEP_ACEP_00015953-RA	LHUM_LH23208-RA
OG0002629	ACEP_ACEP_00015944-RA	LHUM_LH23216-RA
OG0002630	ACEP_ACEP_00015942-RA	LHUM_LH23221-RA
OG0002631	ACEP_ACEP_00015935-RA	LHUM_LH23228-RA
OG0002632	ACEP_ACEP_00015936-RA	LHUM_LH23223-RA
OG0002633	ACEP_ACEP_00015940-RA	LHUM_LH23227-RA
OG0002634	ACEP_ACEP_00015937-RA	LHUM_LH23225-RA
OG0002635	ACEP_ACEP_00015941-RA	LHUM_LH23217-RA
OG0002636	ACEP_ACEP_00015932-RA	LHUM_LH23224-RA
OG0002637	ACEP_ACEP_00015925-RA	LHUM_LH20531-RA
OG0002638	ACEP_ACEP_00015928-RA	LHUM_LH20527-RA
OG0002639	ACEP_ACEP_00015926-RA	LHUM_LH20537-RA
OG0002640	ACEP_ACEP_00015927-RA	LHUM_LH20541-RA
OG0002641	ACEP_ACEP_00016561-RA	LHUM_LH24011-RA
OG0002642	ACEP_ACEP_00014100-RA	LHUM_LH20348-RA
OG0002643	ACEP_ACEP_00014096-RA	LHUM_LH20351-RA
OG0002644	ACEP_ACEP_00014095-RA	LHUM_LH20347-RA
OG0002645	ACEP_ACEP_00018110-RA	LHUM_LH25870-RA
OG0002646	ACEP_ACEP_00014094-RA	LHUM_LH20344-RA
OG0002647	ACEP_ACEP_00014092-RA	LHUM_LH20342-RA
OG0002648	ACEP_ACEP_00014090-RA	LHUM_LH20340-RA
OG0002649	ACEP_ACEP_00018113-RA	LHUM_LH25842-RA
OG0002650	ACEP_ACEP_00014086-RA	LHUM_LH20341-RA
OG0002651	ACEP_ACEP_00014084-RA	LHUM_LH20334-RA
OG0002652	ACEP_ACEP_00014082-RA	LHUM_LH20338-RA
OG0002653	ACEP_ACEP_00014075-RA	LHUM_LH20332-RA
OG0002654	ACEP_ACEP_00014080-RA	LHUM_LH20336-RA
OG0002655	ACEP_ACEP_00014081-RA	LHUM_LH20335-RA
OG0002656	ACEP_ACEP_00014071-RA	LHUM_LH20331-RA
OG0002657	ACEP_ACEP_00014073-RA	LHUM_LH20328-RA
OG0002658	ACEP_ACEP_00014074-RA	LHUM_LH20330-RA
OG0002659	ACEP_ACEP_00014070-RA	LHUM_LH20325-RA
OG0002660	ACEP_ACEP_00014068-RA	LHUM_LH20327-RA
OG0002661	ACEP_ACEP_00014066-RA	LHUM_LH20323-RA
OG0002662	ACEP_ACEP_00014063-RA	LHUM_LH11971-RA
OG0002663	ACEP_ACEP_00014069-RA	LHUM_LH20326-RA
OG0002664	ACEP_ACEP_00014056-RA	LHUM_LH13994-RA
OG0002665	ACEP_ACEP_00014057-RA	LHUM_LH13992-RA
OG0002666	ACEP_ACEP_00014058-RA	LHUM_LH14309-RA
OG0002667	ACEP_ACEP_00014059-RA	LHUM_LH14317-RA
OG0002668	ACEP_ACEP_00014062-RA	LHUM_LH11970-RA
OG0002669	ACEP_ACEP_00014050-RA	LHUM_LH15122-RA
OG0002670	ACEP_ACEP_00014051-RA	LHUM_LH15123-RA
OG0002671	ACEP_ACEP_00014046-RA	LHUM_LH11844-RA
OG0002672	ACEP_ACEP_00014042-RA	LHUM_LH14682-RA
OG0002673	ACEP_ACEP_00014040-RA	LHUM_LH22984-RA
OG0002674	ACEP_ACEP_00014041-RA	LHUM_LH22982-RA
OG0002675	ACEP_ACEP_00014037-RA	LHUM_LH11316-RA
OG0002676	ACEP_ACEP_00016566-RA	LHUM_LH12090-RA
OG0002678	ACEP_ACEP_00015265-RA	LHUM_LH24064-RA
OG0002679	ACEP_ACEP_00015255-RA	LHUM_LH10900-RA
OG0002680	ACEP_ACEP_00015261-RA	LHUM_LH24086-RA
OG0002681	ACEP_ACEP_00018038-RA	LHUM_LH25990-RA
OG0002682	ACEP_ACEP_00015263-RA	LHUM_LH24082-RA
OG0002683	ACEP_ACEP_00015257-RA	LHUM_LH10889-RA
OG0002684	ACEP_ACEP_00015250-RA	LHUM_LH22694-RA
OG0002685	ACEP_ACEP_00015262-RA	LHUM_LH24077-RA
OG0002686	ACEP_ACEP_00015251-RA	LHUM_LH22691-RA
OG0002687	ACEP_ACEP_00015264-RA	LHUM_LH24080-RA
OG0002688	ACEP_ACEP_00015243-RA	LHUM_LH24116-RA
OG0002689	ACEP_ACEP_00015242-RA	LHUM_LH24121-RA
OG0002690	ACEP_ACEP_00015248-RA	LHUM_LH24120-RA
OG0002691	ACEP_ACEP_00015246-RA	LHUM_LH24122-RA
OG0002692	ACEP_ACEP_00015239-RA	LHUM_LH24117-RA
OG0002693	ACEP_ACEP_00015249-RA	LHUM_LH24118-RA
OG0002694	ACEP_ACEP_00015238-RA	LHUM_LH24123-RA
OG0002695	ACEP_ACEP_00015240-RA	LHUM_LH24126-RA
OG0002696	ACEP_ACEP_00015233-RA	LHUM_LH24578-RA
OG0002697	ACEP_ACEP_00015237-RA	LHUM_LH24125-RA
OG0002698	ACEP_ACEP_00015230-RA	LHUM_LH18386-RA
OG0002699	ACEP_ACEP_00015235-RA	LHUM_LH11774-RA
OG0002700	ACEP_ACEP_00015228-RA	LHUM_LH24576-RA
OG0002701	ACEP_ACEP_00015229-RA	LHUM_LH18387-RA
OG0002702	ACEP_ACEP_00015234-RA	LHUM_LH11758-RA
OG0002703	ACEP_ACEP_00015232-RA	LHUM_LH24577-RA
OG0002704	ACEP_ACEP_00015227-RA	LHUM_LH24572-RA
OG0002705	ACEP_ACEP_00015236-RA	LHUM_LH24124-RA
OG0002706	ACEP_ACEP_00015219-RA	LHUM_LH16762-RA
OG0002707	ACEP_ACEP_00015214-RA	LHUM_LH16766-RA
OG0002708	ACEP_ACEP_00015223-RA	LHUM_LH24579-RA
OG0002709	ACEP_ACEP_00015213-RA	LHUM_LH16764-RA
OG0002710	ACEP_ACEP_00015225-RA	LHUM_LH24569-RA
OG0002711	ACEP_ACEP_00015210-RA	LHUM_LH21614-RA
OG0002712	ACEP_ACEP_00015212-RA	LHUM_LH21619-RA
OG0002713	ACEP_ACEP_00015211-RA	LHUM_LH21618-RA
OG0002714	ACEP_ACEP_00015205-RA	LHUM_LH24083-RA
OG0002715	ACEP_ACEP_00015206-RA	LHUM_LH24076-RA
OG0002716	ACEP_ACEP_00015201-RA	LHUM_LH24078-RA
OG0002717	ACEP_ACEP_00015203-RA	LHUM_LH24079-RA
OG0002718	ACEP_ACEP_00015204-RA	LHUM_LH24087-RA
OG0002719	ACEP_ACEP_00015208-RA	LHUM_LH21609-RA
OG0002720	ACEP_ACEP_00015188-RA	LHUM_LH14538-RA
OG0002721	ACEP_ACEP_00015181-RA	LHUM_LH24100-RA
OG0002722	ACEP_ACEP_00015182-RA	LHUM_LH24098-RA
OG0002723	ACEP_ACEP_00015185-RA	LHUM_LH24104-RA
OG0002724	ACEP_ACEP_00015176-RA	LHUM_LH12925-RA
OG0002725	ACEP_ACEP_00015179-RA	LHUM_LH24102-RA
OG0002726	ACEP_ACEP_00015186-RA	LHUM_LH24095-RA
OG0002727	ACEP_ACEP_00015180-RA	LHUM_LH24094-RA
OG0002728	ACEP_ACEP_00015183-RA	LHUM_LH24093-RA
OG0002729	ACEP_ACEP_00015192-RA	LHUM_LH24103-RA
OG0002730	ACEP_ACEP_00015193-RA	LHUM_LH24096-RA
OG0002731	ACEP_ACEP_00009165-RA	LHUM_LH15752-RA
OG0002732	ACEP_ACEP_00009151-RA	LHUM_LH24361-RA
OG0002733	ACEP_ACEP_00009158-RA	LHUM_LH24420-RA
OG0002734	ACEP_ACEP_00009156-RA	LHUM_LH24409-RA
OG0002735	ACEP_ACEP_00009157-RA	LHUM_LH24426-RA
OG0002736	ACEP_ACEP_00009150-RA	LHUM_LH24360-RA
OG0002737	ACEP_ACEP_00009141-RA	LHUM_LH20698-RA
OG0002738	ACEP_ACEP_00009136-RA	LHUM_LH20702-RA
OG0002739	ACEP_ACEP_00009140-RA	LHUM_LH20701-RA
OG0002740	ACEP_ACEP_00009134-RA	LHUM_LH20692-RA
OG0002741	ACEP_ACEP_00017347-RA	LHUM_LH24355-RA
OG0002742	ACEP_ACEP_00009143-RA	LHUM_LH24356-RA
OG0002743	ACEP_ACEP_00009142-RA	LHUM_LH20700-RA
OG0002744	ACEP_ACEP_00009147-RA	LHUM_LH23019-RA
OG0002745	ACEP_ACEP_00009133-RA	LHUM_LH20699-RA
OG0002746	ACEP_ACEP_00009138-RA	LHUM_LH20695-RA
OG0002747	ACEP_ACEP_00009148-RA	LHUM_LH24364-RA
OG0002748	ACEP_ACEP_00009124-RA	LHUM_LH13479-RA
OG0002749	ACEP_ACEP_00009126-RA	LHUM_LH24405-RA
OG0002750	ACEP_ACEP_00009121-RA	LHUM_LH12908-RA
OG0002751	ACEP_ACEP_00009122-RA	LHUM_LH12910-RA
OG0002752	ACEP_ACEP_00009127-RA	LHUM_LH24396-RA
OG0002753	ACEP_ACEP_00009114-RA	LHUM_LH13525-RA
OG0002754	ACEP_ACEP_00009111-RA	LHUM_LH13531-RA
OG0002755	ACEP_ACEP_00009112-RA	LHUM_LH13518-RA
OG0002756	ACEP_ACEP_00009110-RA	LHUM_LH13519-RA
OG0002757	ACEP_ACEP_00009105-RA	LHUM_LH13536-RA
OG0002758	ACEP_ACEP_00009104-RA	LHUM_LH13534-RA
OG0002759	ACEP_ACEP_00009103-RA	LHUM_LH13523-RA
OG0002760	ACEP_ACEP_00009108-RA	LHUM_LH13520-RA
OG0002761	ACEP_ACEP_00009107-RA	LHUM_LH13522-RA
OG0002762	ACEP_ACEP_00009115-RA	LHUM_LH13529-RA
OG0002763	ACEP_ACEP_00009113-RA	LHUM_LH13532-RA
OG0002764	ACEP_ACEP_00009109-RA	LHUM_LH13533-RA
OG0002765	ACEP_ACEP_00009116-RA	LHUM_LH13517-RA
OG0002766	ACEP_ACEP_00009117-RA	LHUM_LH13530-RA
OG0002767	ACEP_ACEP_00009118-RA	LHUM_LH24423-RA
OG0002768	ACEP_ACEP_00009097-RA	LHUM_LH13514-RA
OG0002769	ACEP_ACEP_00009093-RA	LHUM_LH13511-RA
OG0002770	ACEP_ACEP_00009095-RA	LHUM_LH13513-RA
OG0002771	ACEP_ACEP_00009091-RA	LHUM_LH13509-RA
OG0002772	ACEP_ACEP_00009096-RA	LHUM_LH13507-RA
OG0002773	ACEP_ACEP_00009100-RA	LHUM_LH13506-RA
OG0002774	ACEP_ACEP_00009098-RA	LHUM_LH13508-RA
OG0002775	ACEP_ACEP_00009099-RA	LHUM_LH13512-RA
OG0002776	ACEP_ACEP_00009102-RA	LHUM_LH13516-RA
OG0002777	ACEP_ACEP_00009085-RA	LHUM_LH13495-RA
OG0002778	ACEP_ACEP_00009075-RA	LHUM_LH13487-RA
OG0002779	ACEP_ACEP_00009082-RA	LHUM_LH13497-RA
OG0002780	ACEP_ACEP_00009076-RA	LHUM_LH13493-RA
OG0002781	ACEP_ACEP_00009073-RA	LHUM_LH13492-RA
OG0002782	ACEP_ACEP_00009078-RA	LHUM_LH13498-RA
OG0002783	ACEP_ACEP_00009074-RA	LHUM_LH13494-RA
OG0002784	ACEP_ACEP_00009066-RA	LHUM_LH13486-RA
