Orthogroup	lhum_genome.OGS.1.2.maker.proteins	pbar_genome.OGS.1.2.maker.proteins
OG0001672	LHUM_LH18061-RA, LHUM_LH16757-RA	PBAR_CG_02546929
OG0001673	LHUM_LH18979-RA	PBAR_PB12024-RA, PBAR_PB12025-RA
OG0001674	LHUM_LH23132-RA	PBAR_PB24297-RA
OG0001675	LHUM_LH13439-RA, LHUM_LH13441-RA	PBAR_PB17231-RA
OG0001676	LHUM_LH13428-RA, LHUM_LH13430-RA	PBAR_PB17236-RA
OG0001677	LHUM_LH11851-RA, LHUM_LH13422-RA	PBAR_PB18823-RA
OG0001678	LHUM_LH12388-RA	PBAR_PB21225-RA, PBAR_PB18711-RA
OG0001679	LHUM_LH12378-RA	PBAR_PB23556-RA
OG0001680	LHUM_LH11889-RA, LHUM_LH12804-RA	PBAR_PB10628-RA
OG0001681	LHUM_LH23300-RA	PBAR_PB16838-RA
OG0001682	LHUM_LH23286-RA	PBAR_PB11895-RA
OG0001683	LHUM_LH23292-RA, LHUM_LH23291-RA	PBAR_pbar_MyD88-1
OG0001684	LHUM_LH23266-RA, LHUM_LH23265-RA	PBAR_PB10042-RA
OG0001685	LHUM_LH15158-RA, LHUM_LH24872-RA	PBAR_PB18725-RA
OG0001686	LHUM_LH15138-RA, LHUM_LH22986-RA	PBAR_PB17599-RA
OG0001687	LHUM_LH14920-RA, LHUM_LH20727-RA	PBAR_PB17612-RA
OG0001688	LHUM_LH14921-RA, LHUM_LH20726-RA	PBAR_PB17622-RA
OG0001689	LHUM_LH15024-RA	PBAR_PB26701-RA, PBAR_PB22299-RA
OG0001690	LHUM_CG_02184151, LHUM_LH11878-RA	PBAR_CG_02546123
OG0001691	LHUM_LH20015-RA, LHUM_LH13123-RA	PBAR_PB17407-RA
OG0001692	LHUM_LH13137-RA, LHUM_LH13138-RA	PBAR_PB17419-RA
OG0001693	LHUM_LH14706-RA	PBAR_PB14376-RA, PBAR_PB23397-RA
OG0001694	LHUM_LH10241-RA, LHUM_LH12994-RA	PBAR_PB23395-RA
OG0001696	LHUM_LH16387-RA	PBAR_PB14680-RA, PBAR_PB14681-RA
OG0001697	LHUM_LH12954-RA	PBAR_PB18405-RA, PBAR_PB19159-RA
OG0001698	LHUM_LH21887-RA	PBAR_PB21942-RA, PBAR_PB21938-RA
OG0001699	LHUM_LH21896-RA, LHUM_LH21886-RA	PBAR_PB21950-RA
OG0001700	LHUM_LH21926-RA	PBAR_Pbar_Elp1-like-1, PBAR_PB10228-RA
OG0001701	LHUM_LH14722-RA	PBAR_PB10270-RA, PBAR_PB18459-RA
OG0001702	LHUM_LH14720-RA	PBAR_PB21871-RA
OG0001703	LHUM_LH11281-RA	PBAR_PB21869-RA
OG0001704	LHUM_LH11280-RA	PBAR_PB21870-RA
OG0001705	LHUM_LH11275-RA, LHUM_LH11261-RA	PBAR_PB15270-RA
OG0001706	LHUM_LH13048-RA, LHUM_LH11268-RA	PBAR_PB15264-RA
OG0001707	LHUM_LH18336-RA	PBAR_PB16592-RA, PBAR_PB21693-RA
OG0001708	LHUM_LH21203-RA, LHUM_LH21206-RA	PBAR_PB25851-RA
OG0001709	LHUM_LH21238-RA	PBAR_PB25890-RA, PBAR_PB13165-RA
OG0001710	LHUM_LH21114-RA, LHUM_LH11561-RA	PBAR_PB25899-RA
OG0001711	LHUM_LH21107-RA	PBAR_PB25889-RA, PBAR_PB25894-RA
OG0001712	LHUM_LH21305-RA	PBAR_PB19964-RA
OG0001713	LHUM_LH21370-RA	PBAR_pbar_Lys-1-1
OG0001714	LHUM_LH15199-RA, LHUM_LH15195-RA	PBAR_PB11266-RA
OG0001715	LHUM_LH16295-RA	PBAR_PB15913-RA
OG0001716	LHUM_LH16632-RA	PBAR_PB15906-RA, PBAR_PB10101-RA
OG0001717	LHUM_LH15134-RA, LHUM_LH15134-RB	PBAR_PB22175-RA
OG0001718	LHUM_LH15062-RA, LHUM_LH15896-RA	PBAR_PB22169-RA
OG0001719	LHUM_LH16629-RA	PBAR_PB22157-RA, PBAR_PB18920-RA
OG0001720	LHUM_LH16633-RA	PBAR_PB22158-RA, PBAR_PB18910-RA
OG0001721	LHUM_LH14215-RA, LHUM_LH10417-RA, LHUM_LH10710-RA	PBAR_PB26363-RA
OG0001722	LHUM_LH19377-RA, LHUM_LH11843-RB, LHUM_LH11843-RA	PBAR_PB25215-RA
OG0001723	LHUM_LH25803-RA, LHUM_LH25804-RA, LHUM_LH25446-RA	PBAR_PB26303-RA
OG0001724	LHUM_LH15112-RA, LHUM_LH10715-RA, LHUM_LH11527-RA	PBAR_PB11958-RA
OG0001730	LHUM_LH23532-RA, LHUM_LH23537-RA, LHUM_LH23540-RA	PBAR_PB24275-RA
OG0001731	LHUM_LH21749-RA	PBAR_PB21097-RA
OG0001731	LHUM_LH21748-RA	PBAR_PB26862-RA
OG0001734	LHUM_LH10719-RA	PBAR_PB24421-RA, PBAR_PB20798-RA, PBAR_PB20793-RA
OG0001737	LHUM_LH16748-RA	PBAR_PB10005-RA, PBAR_PB10840-RA, PBAR_PB10844-RA
OG0001739	LHUM_LH15188-RA, LHUM_LH15190-RA	PBAR_PB11256-RA, PBAR_PB11263-RA
OG0001741	LHUM_LH17815-RA	PBAR_PB11709-RA
OG0001741	LHUM_LH17820-RA	PBAR_PB11707-RA
OG0001744	LHUM_LH14191-RA	PBAR_PB20953-RA, PBAR_PB26848-RA, PBAR_PB20951-RA
OG0001745	LHUM_LH12617-RA	PBAR_PB18636-RA, PBAR_PB15142-RA, PBAR_PB22037-RA
OG0001746	LHUM_LH22448-RA, LHUM_LH22448-RB	PBAR_PB23042-RB, PBAR_PB23042-RA
OG0001758	LHUM_LH21426-RA	PBAR_PB13007-RA
OG0001759	LHUM_LH21428-RA	PBAR_PB13009-RA
OG0001760	LHUM_LH21439-RA	PBAR_CG_02548548
OG0001761	LHUM_LH21432-RA	PBAR_pbar_IKKg-1
OG0001762	LHUM_LH21431-RA	PBAR_PB13010-RA
OG0001763	LHUM_LH10587-RA	PBAR_PB18743-RA
OG0001764	LHUM_LH21430-RA	PBAR_PB18745-RA
OG0001765	LHUM_LH21429-RA	PBAR_PB13008-RA
OG0001766	LHUM_LH10583-RA	PBAR_PB18748-RA
OG0001767	LHUM_LH10588-RA	PBAR_PB18740-RA
OG0001768	LHUM_LH10585-RA	PBAR_PB18742-RA
OG0001769	LHUM_LH10586-RA	PBAR_PB18744-RA
OG0001770	LHUM_LH10580-RA	PBAR_PB18746-RA
OG0001771	LHUM_LH14444-RA	PBAR_PB18736-RA
OG0001772	LHUM_LH15109-RA	PBAR_PB18734-RA
OG0001773	LHUM_LH15101-RA	PBAR_PB18726-RA
OG0001774	LHUM_LH17043-RA	PBAR_PB23528-RA
OG0001775	LHUM_LH18200-RA	PBAR_PB26127-RA
OG0001776	LHUM_LH23461-RA	PBAR_PB25759-RA
OG0001777	LHUM_LH10890-RA	PBAR_PB20891-RA
OG0001778	LHUM_LH20027-RA	PBAR_Pbar-FOXL2-like-RA
OG0001779	LHUM_LH19425-RA	PBAR_PB12510-RA
OG0001780	LHUM_LH19398-RA	PBAR_PB13096-RA
OG0001781	LHUM_LH14072-RA	PBAR_PB24480-RA
OG0001782	LHUM_LH14070-RA	PBAR_PB24477-RA
OG0001783	LHUM_LH14063-RA	PBAR_PB24483-RA
OG0001784	LHUM_LH14062-RA	PBAR_PB24482-RA
OG0001785	LHUM_LH14065-RA	PBAR_PB24484-RA
OG0001786	LHUM_LH14059-RA	PBAR_PB10310-RA
OG0001787	LHUM_LH14054-RA	PBAR_pbar_naickin-1-1
OG0001788	LHUM_LH14047-RA	PBAR_PB24489-RA
OG0001789	LHUM_LH25484-RA	PBAR_PB24495-RA
OG0001790	LHUM_LH14044-RA	PBAR_PB24496-RA
OG0001791	LHUM_LH14045-RA	PBAR_PB24494-RA
OG0001792	LHUM_LH25487-RA	PBAR_PB27082-RA
OG0001793	LHUM_LH14936-RA	PBAR_PB24500-RA
OG0001794	LHUM_LH14038-RA	PBAR_PB24503-RA
OG0001795	LHUM_LH14040-RA	PBAR_PB24502-RA
OG0001796	LHUM_LH14039-RA	PBAR_PB27083-RA
OG0001797	LHUM_lhum_EIF5b-1	PBAR_CG_02546982
OG0001798	LHUM_LH14933-RA	PBAR_PB24521-RA
OG0001799	LHUM_LH14929-RA	PBAR_PB24504-RA
OG0001800	LHUM_LH20808-RA	PBAR_PB24515-RA
OG0001801	LHUM_LH15924-RA	PBAR_PB24527-RA
OG0001802	LHUM_LH14021-RA	PBAR_PB24526-RA
OG0001803	LHUM_LH12800-RA	PBAR_PB24516-RA
OG0001804	LHUM_LH15927-RA	PBAR_PB24524-RA
OG0001805	LHUM_lhum_SPH55-RA	PBAR_PB24519-RA
OG0001806	LHUM_LH20804-RA	PBAR_PB24512-RA
OG0001807	LHUM_LH10549-RA	PBAR_PB24513-RA
OG0001808	LHUM_LH15922-RA	PBAR_PB24528-RA
OG0001809	LHUM_LH10548-RA	PBAR_PB24517-RA
OG0001810	LHUM_LH15916-RA	PBAR_PB24530-RA
OG0001811	LHUM_LH15906-RA	PBAR_PB24551-RA
OG0001812	LHUM_LH15905-RA	PBAR_PB24548-RA
OG0001813	LHUM_LH15911-RA	PBAR_PB24535-RA
OG0001814	LHUM_LH15912-RA	PBAR_PB24529-RA
OG0001815	LHUM_LH15908-RA	PBAR_PB24531-RA
OG0001816	LHUM_LH15918-RA	PBAR_PB24532-RA
OG0001817	LHUM_LH14207-RA	PBAR_PB24540-RA
OG0001818	LHUM_LH14201-RA	PBAR_PB20937-RA
OG0001819	LHUM_LH14204-RA	PBAR_pbar_Rel-1
OG0001820	LHUM_LH14206-RA	PBAR_PB20925-RA
OG0001821	LHUM_LH14199-RA	PBAR_Pbar_Ndufb9_like-1
OG0001822	LHUM_LH14203-RA	PBAR_PB20952-RA
OG0001823	LHUM_LH14200-RA	PBAR_pbar_RpL24-1
OG0001824	LHUM_LH14208-RA	PBAR_PB24536-RA
OG0001825	LHUM_LH14211-RA	PBAR_PB20938-RA
OG0001826	LHUM_LH14209-RA	PBAR_PB24539-RA
OG0001827	LHUM_LH14210-RA	PBAR_PB24537-RA
OG0001828	LHUM_LH14161-RA	PBAR_PB24547-RA
OG0001829	LHUM_LH14193-RA	PBAR_PB20944-RA
OG0001830	LHUM_LH14156-RA	PBAR_PB24534-RA
OG0001831	LHUM_LH14197-RA	PBAR_PB20943-RA
OG0001832	LHUM_LH14189-RA	PBAR_PB20948-RA
OG0001833	LHUM_LH14188-RA	PBAR_PB20949-RA
OG0001834	LHUM_LH19368-RA	PBAR_PB18792-RA
OG0001835	LHUM_LH19370-RA	PBAR_PB18788-RA
OG0001836	LHUM_LH14172-RA	PBAR_PB24564-RA
OG0001837	LHUM_LH14179-RA	PBAR_PB18800-RA
OG0001838	LHUM_LH14160-RA	PBAR_PB10569-RA
OG0001839	LHUM_LH14159-RA	PBAR_PB10568-RA
OG0001840	LHUM_LH14195-RA	PBAR_PB20942-RA
OG0001841	LHUM_LH14196-RA	PBAR_PB20946-RA
OG0001842	LHUM_LH19350-RA	PBAR_PB18798-RA
OG0001843	LHUM_LH14187-RA	PBAR_PB20958-RA
OG0001844	LHUM_LH14186-RA	PBAR_pbar_no-ocelli-like-1
OG0001845	LHUM_LH20622-RA	PBAR_PB21809-RA
OG0001846	LHUM_LH22388-RA	PBAR_PB13719-RA
OG0001847	LHUM_LH22393-RA	PBAR_PB13723-RA
OG0001848	LHUM_LH22398-RA	PBAR_PB13730-RA
OG0001849	LHUM_LH22399-RA	PBAR_PB13731-RA
OG0001850	LHUM_LH22402-RA	PBAR_PB13732-RA
OG0001851	LHUM_LH19884-RA	PBAR_PB13733-RA
OG0001852	LHUM_LH19885-RA	PBAR_PB13744-RA
OG0001853	LHUM_LH19882-RA	PBAR_pbar_RpL35-1
OG0001854	LHUM_LH22416-RA	PBAR_PB13740-RA
OG0001855	LHUM_LH19889-RA	PBAR_PB13743-RA
OG0001856	LHUM_LH19888-RA	PBAR_PB13745-RA
OG0001857	LHUM_LH10110-RA	PBAR_PB13734-RA
OG0001858	LHUM_LH22405-RA	PBAR_PB13737-RA
OG0001859	LHUM_LH19883-RA	PBAR_PB13738-RA
OG0001860	LHUM_LH22408-RA	PBAR_PB13736-RA
OG0001861	LHUM_LH17855-RA	PBAR_PB13755-RA
OG0001862	LHUM_LH19892-RA	PBAR_Pbar_CG7565-1
OG0001863	LHUM_LH17849-RA	PBAR_PB13746-RA
OG0001864	LHUM_LH16515-RA	PBAR_PB17653-RA
OG0001865	LHUM_LH19891-RA	PBAR_PB13735-RA
OG0001866	LHUM_LH16512-RA	PBAR_PB17654-RA
OG0001867	LHUM_LH16501-RA	PBAR_PB17648-RA
OG0001868	LHUM_LH17846-RA	PBAR_PB13748-RA
OG0001869	LHUM_LH19886-RA	PBAR_PB13742-RA
OG0001870	LHUM_LH14614-RA	PBAR_PB17664-RA
OG0001871	LHUM_LH16500-RA	PBAR_PB17647-RA
OG0001872	LHUM_LH14607-RA	PBAR_PB17668-RA
OG0001873	LHUM_LH14618-RA	PBAR_PB17658-RA
OG0001874	LHUM_LH14616-RA	PBAR_PB17660-RA
OG0001875	LHUM_LH14609-RA	PBAR_PB17670-RA
OG0001876	LHUM_LH14611-RA	PBAR_PB17665-RA
OG0001877	LHUM_LH14580-RA	PBAR_PB22966-RA
OG0001878	LHUM_LH14570-RA	PBAR_PB22968-RA
OG0001879	LHUM_LH14619-RA	PBAR_pbar_keren-1
OG0001880	LHUM_LH14571-RA	PBAR_PB22961-RA
OG0001881	LHUM_LH12798-RA	PBAR_PB22973-RA
OG0001882	LHUM_LH14577-RA	PBAR_pbar_RpS15-1
OG0001883	LHUM_LH14568-RA	PBAR_PB22957-RA
OG0001884	LHUM_LH14573-RA	PBAR_PB22970-RA
OG0001885	LHUM_LH14622-RA	PBAR_PB22983-RA
OG0001886	LHUM_LH14621-RA	PBAR_PB22980-RA
OG0001887	LHUM_LH12799-RA	PBAR_PB15457-RA
OG0001888	LHUM_LH20713-RA	PBAR_PB15458-RA
OG0001889	LHUM_LH12802-RA	PBAR_PB15446-RA
OG0001890	LHUM_LH20709-RA	PBAR_PB15454-RA
OG0001891	LHUM_LH12803-RA	PBAR_PB22967-RA
OG0001892	LHUM_LH23152-RA	PBAR_PB22959-RA
OG0001893	LHUM_LH18759-RA	PBAR_PB11230-RA
OG0001894	LHUM_LH14628-RA	PBAR_PB22979-RA
OG0001895	LHUM_LH11057-RA	PBAR_PB10092-RA
OG0001896	LHUM_LH11058-RA	PBAR_PB12269-RA
OG0001897	LHUM_LH11056-RA	PBAR_PB12265-RA
OG0001898	LHUM_LH20711-RA	PBAR_PB15450-RA
OG0001899	LHUM_LH24284-RA	PBAR_PB17657-RA
OG0001900	LHUM_LH11052-RA	PBAR_PB22986-RA
OG0001901	LHUM_LH11049-RA	PBAR_PB22960-RA
OG0001902	LHUM_LH10794-RA	PBAR_PB17667-RA
OG0001903	LHUM_LH11053-RA	PBAR_PB12263-RA
OG0001904	LHUM_LH11045-RA	PBAR_PB14944-RA
OG0001905	LHUM_LH24285-RA	PBAR_PB22985-RA
OG0001906	LHUM_LH24286-RA	PBAR_PB22984-RA
OG0001907	LHUM_LH11046-RA	PBAR_PB12271-RA
OG0001908	LHUM_LH11048-RA	PBAR_PB12274-RA
OG0001909	LHUM_LH10790-RA	PBAR_PB17646-RA
OG0001910	LHUM_LH22455-RA	PBAR_PB17649-RA
OG0001911	LHUM_LH23727-RA	PBAR_PB11158-RA
OG0001912	LHUM_LH23728-RA	PBAR_PB11151-RA
OG0001913	LHUM_LH10792-RA	PBAR_PB17661-RA
OG0001914	LHUM_LH10782-RA	PBAR_PB17652-RA
OG0001915	LHUM_LH10793-RA	PBAR_PB17663-RA
OG0001916	LHUM_LH10785-RA	PBAR_PB17669-RA
OG0001917	LHUM_LH15431-RA	PBAR_PB10087-RA
OG0001918	LHUM_LH11204-RA	PBAR_PB11159-RA
OG0001919	LHUM_LH11205-RA	PBAR_PB11161-RA
OG0001920	LHUM_LH11202-RA	PBAR_PB11150-RA
OG0001921	LHUM_LH20432-RA	PBAR_PB11148-RA
OG0001922	LHUM_LH15440-RA	PBAR_PB10088-RA
OG0001923	LHUM_LH15439-RA	PBAR_PB10090-RA
OG0001924	LHUM_LH22403-RA	PBAR_PB22908-RA
OG0001925	LHUM_LH22419-RA	PBAR_PB22926-RA
OG0001926	LHUM_LH22420-RA	PBAR_pbar_radish-like-1
OG0001927	LHUM_LH22427-RA	PBAR_PB22935-RA
OG0001928	LHUM_LH22426-RA	PBAR_PB22932-RA
OG0001929	LHUM_LH22439-RA	PBAR_PB22941-RA
OG0001930	LHUM_LH22438-RA	PBAR_PB22937-RA
OG0001931	LHUM_LH22435-RA	PBAR_PB22931-RA
OG0001932	LHUM_LH22434-RA	PBAR_PB22933-RA
OG0001933	LHUM_LH22436-RA	PBAR_PB22940-RA
OG0001934	LHUM_LH22442-RA	PBAR_PB22947-RA
OG0001935	LHUM_LH22445-RA	PBAR_PB22946-RA
OG0001936	LHUM_LH22446-RA	PBAR_PB22953-RA
OG0001937	LHUM_LH22441-RA	PBAR_pbar_Fas2_2-RA
OG0001938	LHUM_LH22459-RA	PBAR_PB27055-RA
OG0001939	LHUM_LH22452-RA	PBAR_PB22971-RA
OG0001940	LHUM_LH22451-RA	PBAR_PB24021-RA
OG0001941	LHUM_LH22447-RA	PBAR_PB22958-RA
OG0001942	LHUM_LH22449-RA	PBAR_PB24017-RA
OG0001943	LHUM_LH22456-RA	PBAR_pbar_SCR-C-1
OG0001944	LHUM_LH10791-RA	PBAR_PB24022-RA
OG0001945	LHUM_LH14871-RA	PBAR_PB24018-RA
OG0001946	LHUM_LH23753-RA	PBAR_CG_02549526
OG0001947	LHUM_LH23760-RA	PBAR_PB24025-RA
OG0001948	LHUM_LH10780-RA	PBAR_PB24014-RA
OG0001949	LHUM_LH22458-RA	PBAR_PB24023-RA
OG0001950	LHUM_LH21684-RA	PBAR_pbar_CG10470-1
OG0001951	LHUM_LH14880-RA	PBAR_PB14921-RA
OG0001952	LHUM_LH14882-RA	PBAR_PB14920-RA
OG0001953	LHUM_LH14885-RA	PBAR_PB14924-RA
OG0001954	LHUM_LH14879-RA	PBAR_pbar_pigeon-RA
OG0001955	LHUM_LH11044-RA	PBAR_PB14915-RA
OG0001956	LHUM_LH14883-RA	PBAR_PB14908-RA
OG0001957	LHUM_LH11047-RA	PBAR_PB20553-RA
OG0001958	LHUM_LH21685-RA	PBAR_PB20554-RA
OG0001959	LHUM_LH21683-RA	PBAR_PB14913-RA
OG0001960	LHUM_LH22473-RA	PBAR_PB14914-RA
OG0001961	LHUM_LH21689-RA	PBAR_PB20563-RA
OG0001962	LHUM_LH21690-RA	PBAR_PB14916-RA
OG0001963	LHUM_LH21694-RA	PBAR_PB20542-RA
OG0001965	LHUM_LH21688-RA	PBAR_PB20551-RA
OG0001966	LHUM_LH21693-RA	PBAR_PB14927-RA
OG0001967	LHUM_LH21697-RA	PBAR_PB14918-RA
OG0001968	LHUM_LH21687-RA	PBAR_PB20550-RA
OG0001969	LHUM_LH22480-RA	PBAR_PB14947-RA
OG0001970	LHUM_LH24287-RA	PBAR_PB20548-RA
OG0001971	LHUM_LH21677-RA	PBAR_PB20565-RA
OG0001972	LHUM_LH21680-RA	PBAR_PB20560-RA
OG0001973	LHUM_LH25954-RA	PBAR_PB26827-RA
OG0001974	LHUM_LH21691-RA	PBAR_PB20562-RA
OG0001975	LHUM_LH21681-RA	PBAR_PB20558-RA
OG0001976	LHUM_LH21686-RA	PBAR_PB20564-RA
OG0001977	LHUM_LH21673-RA	PBAR_PB20575-RA
OG0001978	LHUM_LH21675-RA	PBAR_PB20571-RA
OG0001979	LHUM_LH21679-RA	PBAR_PB20561-RA
OG0001980	LHUM_LH21682-RA	PBAR_PB20559-RA
OG0001981	LHUM_LH11080-RA	PBAR_PB20579-RA
OG0001982	LHUM_LH11084-RA	PBAR_PB26828-RA
OG0001983	LHUM_LH11076-RA	PBAR_PB20585-RA
OG0001984	LHUM_LH11074-RA	PBAR_Pbar_Ndufb2_like-RA
OG0001985	LHUM_LH11077-RA	PBAR_PB20583-RA
OG0001986	LHUM_LH11075-RA	PBAR_PB20587-RA
OG0001987	LHUM_LH11081-RA	PBAR_PB20584-RA
OG0001988	LHUM_Lhum-Abd-A-like-RA	PBAR_Pbar-Abd-A-RA
OG0001989	LHUM_Lhum-Ubx-like-RA	PBAR_Pbar-Ubx-like-RA
OG0001990	LHUM_LH11064-RA	PBAR_Pbar-Antp-like-RA
OG0001991	LHUM_Lhum-Scr-like-RA	PBAR_Pbar-Scr-like-RA
OG0001992	LHUM_LH19812-RA	PBAR_Pbar-Dfd-like-1
OG0001993	LHUM_Lhum-lab-like-RA	PBAR_Pbar-Lab-like-1
OG0001994	LHUM_Lhum-pb-like-RA	PBAR_Pbar-Pb-like-RA
OG0001995	LHUM_LH19805-RA	PBAR_PB20616-RA
OG0001996	LHUM_LH19790-RA	PBAR_PB13750-RA
OG0001997	LHUM_LH16510-RA	PBAR_PB22857-RA
OG0001998	LHUM_LH16514-RA	PBAR_PB22850-RA
OG0001999	LHUM_LH19798-RA	PBAR_PB13756-RA
OG0002000	LHUM_LH19793-RA	PBAR_PB13752-RA
OG0002001	LHUM_LH19797-RA	PBAR_PB13758-RA
OG0002002	LHUM_LH19799-RA	PBAR_PB13757-RA
OG0002003	LHUM_LH23178-RA	PBAR_PB22837-RA
OG0002004	LHUM_LH23179-RA	PBAR_PB22854-RA
OG0002005	LHUM_LH26013-RA	PBAR_PB22851-RA
OG0002006	LHUM_LH23167-RA	PBAR_Pbar_Atp5j2_like-1
OG0002007	LHUM_LH23171-RA	PBAR_PB22844-RA
OG0002008	LHUM_LH23168-RA	PBAR_PB22845-RA
OG0002009	LHUM_LH23162-RA	PBAR_PB22836-RA
OG0002010	LHUM_LH23166-RA	PBAR_PB22839-RA
OG0002011	LHUM_LH23165-RA	PBAR_PB22843-RA
OG0002012	LHUM_LH22222-RA	PBAR_PB11146-RA
OG0002013	LHUM_LH23155-RA	PBAR_PB22835-RA
OG0002014	LHUM_LH16504-RA	PBAR_PB22879-RA
OG0002015	LHUM_LH16506-RA	PBAR_pbar_RpL30-1
OG0002016	LHUM_LH22211-RA	PBAR_Pbar_Cht11-1
OG0002017	LHUM_LH22217-RA	PBAR_PB11144-RA
OG0002018	LHUM_LH22226-RA	PBAR_PB11137-RA
OG0002019	LHUM_LH22218-RA	PBAR_PB11136-RA
OG0002020	LHUM_LH22216-RA	PBAR_PB11140-RA
OG0002021	LHUM_LH22214-RA	PBAR_PB11138-RA
OG0002022	LHUM_LH22201-RA	PBAR_PB11134-RA
OG0002023	LHUM_LH22204-RA	PBAR_PB11133-RA
OG0002024	LHUM_LH22207-RA	PBAR_PB11131-RA
OG0002025	LHUM_LH23169-RA	PBAR_PB22841-RA
OG0002026	LHUM_LH22203-RA	PBAR_PB11153-RA
OG0002027	LHUM_LH22210-RA	PBAR_PB11152-RA
OG0002028	LHUM_LH22220-RA	PBAR_PB11142-RA
OG0002029	LHUM_LH22213-RA	PBAR_PB11147-RA
OG0002030	LHUM_LH22228-RA	PBAR_PB22862-RA
OG0002031	LHUM_LH22206-RA	PBAR_PB11149-RA
OG0002032	LHUM_LH22215-RA	PBAR_PB11141-RA
OG0002033	LHUM_LH22236-RA	PBAR_PB22860-RA
OG0002034	LHUM_LH22232-RA	PBAR_PB22864-RA
OG0002035	LHUM_LH23177-RA	PBAR_PB22871-RA
OG0002036	LHUM_LH23176-RA	PBAR_PB22870-RA
OG0002037	LHUM_LH23180-RA	PBAR_PB22876-RA
OG0002038	LHUM_LH23183-RA	PBAR_PB22873-RA
OG0002039	LHUM_LH16513-RA	PBAR_PB22893-RA
OG0002041	LHUM_LH17867-RA	PBAR_PB22825-RA
OG0002042	LHUM_LH16505-RA	PBAR_PB22881-RA
OG0002043	LHUM_LH17868-RA	PBAR_PB22823-RA
OG0002044	LHUM_LH10764-RA	PBAR_PB22824-RA
OG0002045	LHUM_LH17864-RA	PBAR_PB22818-RA
OG0002046	LHUM_LH17854-RA	PBAR_PB22827-RA
OG0002047	LHUM_LH17862-RA	PBAR_PB22815-RA
OG0002048	LHUM_LH16522-RA	PBAR_PB22896-RA
OG0002049	LHUM_LH23182-RA	PBAR_PB22872-RA
OG0002050	LHUM_LH16511-RA	PBAR_PB22831-RA
OG0002051	LHUM_LH15615-RA	PBAR_PB22817-RA
OG0002052	LHUM_LH16509-RA	PBAR_PB22834-RA
OG0002053	LHUM_LH11621-RA	PBAR_PB22826-RA
OG0002054	LHUM_LH22245-RA	PBAR_PB22801-RA
OG0002055	LHUM_LH22240-RA	PBAR_PB22800-RA
OG0002056	LHUM_LH16525-RA	PBAR_PB22804-RA
OG0002057	LHUM_LH16523-RA	PBAR_pbar_SP14-RA
OG0002058	LHUM_LH22241-RA	PBAR_PB22814-RA
OG0002059	LHUM_LH22238-RA	PBAR_PB22812-RA
OG0002060	LHUM_LH22242-RA	PBAR_PB22803-RA
OG0002061	LHUM_LH22237-RA	PBAR_PB22811-RA
OG0002062	LHUM_LH23725-RA	PBAR_PB22795-RA
OG0002063	LHUM_LH20429-RA	PBAR_PB22784-RA
OG0002064	LHUM_LH23730-RA	PBAR_PB22788-RA
OG0002065	LHUM_LH11573-RA	PBAR_PB22787-RA
OG0002066	LHUM_LH22261-RA	PBAR_PB22796-RA
OG0002067	LHUM_LH22252-RA	PBAR_PB22790-RA
OG0002068	LHUM_LH23724-RA	PBAR_PB22794-RA
OG0002069	LHUM_LH14561-RA	PBAR_PB22797-RA
OG0002070	LHUM_LH22239-RA	PBAR_PB22793-RA
OG0002071	LHUM_LH22254-RA	PBAR_pbar_spz6-1
OG0002072	LHUM_LH22262-RA	PBAR_PB22782-RA
OG0002073	LHUM_LH22259-RA	PBAR_PB22789-RA
OG0002074	LHUM_LH22334-RA	PBAR_PB22909-RA
OG0002075	LHUM_LH23761-RA	PBAR_PB21842-RA
OG0002076	LHUM_LH22335-RA	PBAR_PB22912-RA
OG0002077	LHUM_LH22330-RA	PBAR_PB22882-RA
OG0002078	LHUM_LH22348-RA	PBAR_PB22920-RA
OG0002079	LHUM_LH22346-RA	PBAR_PB22915-RA
OG0002080	LHUM_LH22340-RA	PBAR_PB22906-RA
OG0002081	LHUM_LH22342-RA	PBAR_PB22897-RA
OG0002082	LHUM_LH22359-RA	PBAR_PB22918-RA
OG0002083	LHUM_LH15438-RA	PBAR_PB10089-RA
OG0002084	LHUM_LH22360-RA	PBAR_PB22916-RA
OG0002085	LHUM_LH22356-RA	PBAR_PB22907-RA
OG0002086	LHUM_LH20716-RA	PBAR_PB22987-RA
OG0002087	LHUM_LH14540-RA	PBAR_PB20856-RA
OG0002088	LHUM_LH18379-RA	PBAR_PB20833-RA
OG0002089	LHUM_LH20710-RA	PBAR_PB22978-RA
OG0002090	LHUM_LH18384-RA	PBAR_PB20841-RA
OG0002091	LHUM_LH15437-RA	PBAR_PB10086-RA
OG0002092	LHUM_LH23158-RA	PBAR_PB22994-RA
OG0002093	LHUM_LH23161-RA	PBAR_PB22992-RA
OG0002094	LHUM_LH23153-RA	PBAR_PB22998-RA
OG0002095	LHUM_LH23164-RA	PBAR_PB22997-RA
OG0002096	LHUM_LH12786-RA	PBAR_PB22585-RA
OG0002097	LHUM_LH23157-RA	PBAR_PB22991-RA
OG0002098	LHUM_LH23163-RA	PBAR_PB17639-RA
OG0002099	LHUM_LH23151-RA	PBAR_PB22996-RA
OG0002100	LHUM_LH17863-RA	PBAR_PB17637-RA
OG0002101	LHUM_LH20718-RA	PBAR_PB22988-RA
