Orthogroup	pbar_annotation	acep_annotation
OG0002092	PBAR_22994-RA	ACEP_00005980-RA
OG0002093	PBAR_22992-RA	ACEP_00005978-RA
OG0002094	PBAR_22998-RA	ACEP_00005979-RA
OG0002095	PBAR_22997-RA	ACEP_00005981-RA
OG0002096	PBAR_22585-RA	ACEP_00005982-RA
OG0002097	PBAR_22991-RA	ACEP_00005971-RA
OG0002098	PBAR_17639-RA	ACEP_00005974-RA
OG0002099	PBAR_22996-RA	ACEP_00005967-RA
OG0002100	PBAR_17637-RA	ACEP_00005970-RA
OG0002101	PBAR_22988-RA	ACEP_00005965-RA
OG0002102	PBAR_15513-RA	ACEP_00014036-RA
OG0002103	PBAR_14800-RA	ACEP_00014027-RA
OG0002104	PBAR_14801-RA	ACEP_00014029-RA
OG0002105	PBAR_ar_Iap2-RA	ACEP_00014030-RA
OG0002106	PBAR_ar-dynein_heavy_chain-1	ACEP_00014033-RA
OG0002107	PBAR_21729-RA	ACEP_00014018-RA
OG0002108	PBAR_21726-RA	ACEP_00014024-RA
OG0002109	PBAR_14797-RA	ACEP_00014025-RA
OG0002110	PBAR_21733-RA	ACEP_00014023-RA
OG0002111	PBAR_21728-RA	ACEP_00014019-RA
OG0002112	PBAR_21727-RA	ACEP_00014022-RA
OG0002113	PBAR_21731-RA	ACEP_00014021-RA
OG0002114	PBAR_19888-RA	ACEP_00014014-RA
OG0002115	PBAR_19883-RA	ACEP_00014013-RA
OG0002116	PBAR_ar_dome-1	ACEP_00014009-RA
OG0002117	PBAR_19892-RA	ACEP_00014012-RA
OG0002118	PBAR_19890-RA	ACEP_00014011-RA
OG0002119	PBAR_19889-RA	ACEP_00014010-RA
OG0002120	PBAR_21739-RA	ACEP_00014016-RA
OG0002121	PBAR_21741-RA	ACEP_00014015-RA
OG0002122	PBAR_19871-RA	ACEP_00013997-RA
OG0002123	PBAR_19873-RA	ACEP_00013995-RA
OG0002124	PBAR_ar_Rho1-1	ACEP_00014004-RA
OG0002125	PBAR_19878-RA	ACEP_00013998-RA
OG0002126	PBAR_19874-RA	ACEP_00014002-RA
OG0002127	PBAR_19875-RA	ACEP_00013996-RA
OG0002128	PBAR_19872-RA	ACEP_00014003-RA
OG0002129	PBAR_19870-RA	ACEP_00014000-RA
OG0002130	PBAR_19887-RA	ACEP_00014006-RA
OG0002131	PBAR_26789-RA	ACEP_00017878-RA
OG0002132	PBAR_19877-RA	ACEP_00013990-RA
OG0002133	PBAR_19866-RA	ACEP_00013986-RA
OG0002134	PBAR_26788-RA	ACEP_00017881-RA
OG0002135	PBAR_11497-RA	ACEP_00013984-RA
OG0002136	PBAR_26785-RA	ACEP_00013987-RA
OG0002137	PBAR_11499-RA	ACEP_00013977-RA, ACEP_04573023-RA
OG0002138	PBAR_ar_Uqcrfs1_like_B-1	ACEP_04573030-RA
OG0002139	PBAR_11492-RA	ACEP_00013983-RA
OG0002140	PBAR_11493-RA	ACEP_00013980-RA
OG0002141	PBAR_11496-RA	ACEP_00013981-RA
OG0002142	PBAR_11491-RA	ACEP_00013982-RA
OG0002143	PBAR_11495-RA	ACEP_00013978-RA
OG0002144	PBAR_11501-RA	ACEP_00013974-RA
OG0002145	PBAR_10827-RA	ACEP_00013971-RA
OG0002146	PBAR_10829-RA	ACEP_00013967-RA
OG0002147	PBAR_ar_oskar-RB	ACEP_00013959-RA
OG0002148	PBAR_10833-RA	ACEP_00013961-RA
OG0002149	PBAR_10841-RA	ACEP_00013955-RA
OG0002150	PBAR_10839-RA	ACEP_00013953-RA
OG0002151	PBAR_10836-RA	ACEP_00013956-RA
OG0002152	PBAR_11387-RA	ACEP_00013949-RA
OG0002153	PBAR_ar_Mbt-1	ACEP_00013942-RA
OG0002154	PBAR_11384-RA	ACEP_00013946-RA
OG0002155	PBAR_16796-RA	ACEP_00016794-RA
OG0002156	PBAR_16389-RA	ACEP_00016639-RA
OG0002157	PBAR_23552-RA	ACEP_00016304-RA
OG0002158	PBAR_19886-RA	ACEP_00016481-RA
OG0002159	PBAR_12834-RA	ACEP_00016467-RA
OG0002160	PBAR_10620-RA	ACEP_00016652-RA
OG0002161	PBAR_12945-RA	ACEP_00016458-RA
OG0002162	PBAR_20850-RA	ACEP_00016755-RA
OG0002163	PBAR_13751-RA	ACEP_00016476-RA
OG0002165	PBAR_22342-RA	ACEP_00011549-RA
OG0002166	PBAR_10709-RA	ACEP_00011551-RA
OG0002167	PBAR_22339-RA	ACEP_00011548-RA
OG0002168	PBAR_22344-RA	ACEP_00011544-RA
OG0002169	PBAR_22333-RA	ACEP_00011529-RA
OG0002170	PBAR_22343-RA	ACEP_00011542-RA
OG0002171	PBAR_22347-RA	ACEP_00011543-RA
OG0002172	PBAR_22341-RA	ACEP_00011545-RA
OG0002173	PBAR_22340-RA	ACEP_00011541-RA
OG0002174	PBAR_22335-RA	ACEP_00011537-RA
OG0002175	PBAR_ar_K06A9.1b-RA	ACEP_00011547-RA
OG0002176	PBAR_22330-RA	ACEP_00011524-RA
OG0002177	PBAR_22331-RA	ACEP_00011527-RA
OG0002178	PBAR_22320-RA	ACEP_00011520-RA
OG0002179	PBAR_14571-RA	ACEP_00011519-RA
OG0002180	PBAR_12709-RA	ACEP_00011513-RA
OG0002181	PBAR_16492-RA	ACEP_00011518-RA
OG0002182	PBAR_ar_egr-1	ACEP_00011509-RA
OG0002183	PBAR_ar_apterous-RA	ACEP_00011502-RA
OG0002184	PBAR_12699-RA	ACEP_00011499-RA
OG0002185	PBAR_12696-RA	ACEP_00011496-RA
OG0002186	PBAR_12682-RA	ACEP_00011492-RA
OG0002187	PBAR_12693-RA	ACEP_00011493-RA
OG0002188	PBAR_12502-RA	ACEP_00011482-RA, ACEP_00011486-RA
OG0002189	PBAR_12685-RA	ACEP_00011489-RA
OG0002190	PBAR_12686-RA	ACEP_00011490-RA
OG0002191	PBAR_12506-RA	ACEP_00011485-RA
OG0002192	PBAR_12505-RA	ACEP_00011483-RA
OG0002193	PBAR_12508-RA	ACEP_00011484-RA
OG0002194	PBAR_12511-RA	ACEP_00011481-RA
OG0002195	PBAR_12516-RA	ACEP_00011474-RA
OG0002196	PBAR_12515-RA	ACEP_00011477-RA
OG0002197	PBAR_12518-RA	ACEP_00011473-RA
OG0002198	PBAR_12512-RA	ACEP_00011478-RA
OG0002199	PBAR_12517-RA	ACEP_00011476-RA
OG0002200	PBAR_12513-RA	ACEP_00011480-RA
OG0002201	PBAR_15970-RA	ACEP_00011469-RA
OG0002202	PBAR_26571-RA	ACEP_00011466-RA
OG0002203	PBAR_15971-RA	ACEP_00011465-RA
OG0002204	PBAR_10624-RA	ACEP_00011463-RA
OG0002205	PBAR_15962-RA	ACEP_00011462-RA
OG0002206	PBAR_18179-RA	ACEP_00011461-RA
OG0002207	PBAR_18187-RA	ACEP_00011451-RA
OG0002209	PBAR_18189-RA	ACEP_00011440-RA
OG0002210	PBAR_15476-RA	ACEP_00011439-RA
OG0002211	PBAR_15475-RA	ACEP_00011437-RA
OG0002212	PBAR_15473-RA	ACEP_00011434-RA
OG0002213	PBAR_15468-RA	ACEP_00011435-RA
OG0002214	PBAR_15467-RA	ACEP_00011430-RA
OG0002215	PBAR_15469-RA	ACEP_00011433-RA
OG0002216	PBAR_15464-RA	ACEP_00011423-RA
OG0002217	PBAR_15465-RA	ACEP_00011424-RA
OG0002218	PBAR_10320-RA	ACEP_00011418-RA
OG0002219	PBAR_24624-RA	ACEP_00011413-RA
OG0002220	PBAR_24623-RA	ACEP_00011414-RA
OG0002221	PBAR_10321-RA	ACEP_00011417-RA
OG0002222	PBAR_10325-RA	ACEP_00011416-RA
OG0002223	PBAR_11703-RA	ACEP_00002710-RA
OG0002224	PBAR_24030-RA	ACEP_00002706-RA
OG0002225	PBAR_24042-RA	ACEP_00002699-RA
OG0002226	PBAR_24041-RA	ACEP_00002704-RA
OG0002227	PBAR_24029-RA	ACEP_00002702-RA
OG0002228	PBAR_11694-RA	ACEP_00002707-RA
OG0002229	PBAR_24028-RA	ACEP_00002703-RA
OG0002230	PBAR_24239-RA	ACEP_00002700-RA
OG0002231	PBAR_24039-RA	ACEP_00002705-RA
OG0002232	PBAR_24044-RA	ACEP_00002701-RA
OG0002233	PBAR_24034-RA	ACEP_00002695-RA
OG0002234	PBAR_24036-RA	ACEP_00002694-RA
OG0002235	PBAR_24263-RA	ACEP_00002685-RA
OG0002236	PBAR_24231-RA	ACEP_00002691-RA
OG0002237	PBAR_24264-RA	ACEP_00002683-RA
OG0002238	PBAR_24032-RA	ACEP_00002693-RA
OG0002239	PBAR_24237-RA	ACEP_00002690-RA
OG0002240	PBAR_24641-RA	ACEP_00002686-RA
OG0002241	PBAR_24273-RA	ACEP_00002684-RA
OG0002242	PBAR_24646-RA	ACEP_00002687-RA
OG0002243	PBAR_24040-RA	ACEP_00002697-RA
OG0002244	PBAR_11695-RA	ACEP_00002674-RA
OG0002245	PBAR_ar_dgs-RA	ACEP_00002681-RA
OG0002246	PBAR_11699-RA	ACEP_00002676-RA
OG0002247	PBAR_11702-RA	ACEP_00002675-RA
OG0002248	PBAR_24284-RA	ACEP_00002680-RA
OG0002249	PBAR_11700-RA	ACEP_00002673-RA
OG0002250	PBAR_11713-RA	ACEP_00002666-RA
OG0002251	PBAR_11706-RA	ACEP_00002663-RA
OG0002252	PBAR_11705-RA	ACEP_00002665-RA
OG0002253	PBAR_11715-RA	ACEP_00002669-RA
OG0002254	PBAR_24281-RA	ACEP_00002655-RA
OG0002255	PBAR_24285-RA	ACEP_00002653-RA
OG0002256	PBAR_24282-RA	ACEP_00002650-RA
OG0002257	PBAR_11704-RA	ACEP_00002646-RA
OG0002258	PBAR_24204-RA	ACEP_00002643-RA
OG0002259	PBAR_24037-RA	ACEP_00002644-RA
OG0002260	PBAR_24202-RA	ACEP_00002640-RA
OG0002261	PBAR_24200-RA	ACEP_00002642-RA
OG0002262	PBAR_24279-RA	ACEP_00002648-RA
OG0002263	PBAR_24211-RA	ACEP_00002633-RA
OG0002264	PBAR_24209-RA	ACEP_00002630-RA
OG0002265	PBAR_24203-RA	ACEP_00002634-RA
OG0002266	PBAR_24208-RA	ACEP_00002629-RA
OG0002267	PBAR_27065-RA	ACEP_00002635-RA
OG0002268	PBAR_24215-RA	ACEP_00002623-RA
OG0002269	PBAR_24216-RA	ACEP_00002620-RA
OG0002270	PBAR_24218-RA	ACEP_00002621-RA
OG0002271	PBAR_24223-RA	ACEP_00002617-RA
OG0002272	PBAR_ar_timeless-1	ACEP_00002618-RA
OG0002273	PBAR_24229-RA	ACEP_00002614-RA
OG0002274	PBAR_27067-RA	ACEP_00017080-RA
OG0002275	PBAR_24227-RA	ACEP_00002616-RA
OG0002276	PBAR_24238-RA	ACEP_00002611-RA
OG0002277	PBAR_24234-RA	ACEP_00002612-RA
OG0002278	PBAR_24050-RA	ACEP_00002608-RA
OG0002279	PBAR_24033-RA	ACEP_00002609-RA
OG0002280	PBAR_24031-RA	ACEP_00002610-RA
OG0002281	PBAR_14221-RA	ACEP_00002601-RA
OG0002282	PBAR_14218-RA	ACEP_00002604-RA
OG0002283	PBAR_14222-RA	ACEP_00002602-RA
OG0002284	PBAR_14220-RA	ACEP_00002603-RA
OG0002285	PBAR_23990-RA	ACEP_00002592-RA
OG0002286	PBAR_23986-RA	ACEP_00002598-RA
OG0002287	PBAR_23989-RA	ACEP_00002593-RA
OG0002288	PBAR_23991-RA	ACEP_00002595-RA
OG0002289	PBAR_23985-RA	ACEP_00002600-RA
OG0002290	PBAR_23988-RA	ACEP_00002591-RA
OG0002291	PBAR_23979-RA	ACEP_00002587-RA
OG0002292	PBAR_23984-RA	ACEP_00002586-RA
OG0002293	PBAR_24644-RA	ACEP_00002577-RA
OG0002294	PBAR_24645-RA	ACEP_00002576-RA
OG0002295	PBAR_23973-RA	ACEP_00002582-RA
OG0002296	PBAR_23971-RA	ACEP_00002584-RA
OG0002297	PBAR_23969-RA	ACEP_00002579-RA
OG0002298	PBAR_23970-RA	ACEP_00002580-RA
OG0002299	PBAR_23972-RA	ACEP_00002581-RA
OG0002300	PBAR_24642-RA	ACEP_00002575-RA
OG0002301	PBAR_24647-RA	ACEP_00002572-RA
OG0002302	PBAR_18022-RA	ACEP_00002571-RA
OG0002303	PBAR_18023-RA	ACEP_00002570-RA
OG0002304	PBAR_18031-RA	ACEP_00002567-RA
OG0002305	PBAR_18024-RA	ACEP_00002568-RA
OG0002306	PBAR_18032-RA	ACEP_00002560-RA
OG0002307	PBAR_18029-RA	ACEP_00002562-RA
OG0002308	PBAR_18033-RA	ACEP_00002558-RA
OG0002309	PBAR_26682-RA	ACEP_00017083-RA
OG0002310	PBAR_18058-RA	ACEP_00002551-RA
OG0002311	PBAR_18059-RA	ACEP_00002557-RA
OG0002312	PBAR_ar_capu-1	ACEP_00002549-RA
OG0002313	PBAR_18055-RA	ACEP_00002552-RA
OG0002314	PBAR_ar_echinoid-like-1	ACEP_00002546-RA
OG0002315	PBAR_12527-RA	ACEP_00002536-RA
OG0002316	PBAR_12522-RA	ACEP_00002539-RA
OG0002317	PBAR_12519-RA	ACEP_00002533-RA
OG0002318	PBAR_12524-RA	ACEP_00002532-RA
OG0002319	PBAR_ar_FKBP6_like-RC	ACEP_00002535-RA
OG0002320	PBAR_13298-RA	ACEP_00002542-RA
OG0002321	PBAR_12537-RA	ACEP_00002528-RA
OG0002322	PBAR_12529-RA	ACEP_00002530-RA
OG0002323	PBAR_12526-RA	ACEP_00002531-RA
OG0002324	PBAR_12536-RA	ACEP_00002526-RA
OG0002325	PBAR_16974-RA	ACEP_00002519-RA
OG0002326	PBAR_16973-RA	ACEP_00002517-RA
OG0002327	PBAR_16969-RA	ACEP_00002518-RA
OG0002328	PBAR_16991-RA	ACEP_00002496-RA
OG0002329	PBAR_16989-RA	ACEP_00002498-RA
OG0002330	PBAR_16980-RA	ACEP_00002504-RA
OG0002331	PBAR_16981-RA	ACEP_00002505-RA
OG0002332	PBAR_19105-RA	ACEP_00002492-RA
OG0002333	PBAR_19094-RA	ACEP_00002490-RA
OG0002334	PBAR_19096-RA	ACEP_00002491-RA
OG0002335	PBAR_19093-RA	ACEP_00002489-RA
OG0002336	PBAR_19091-RA	ACEP_00002487-RA
OG0002337	PBAR_19086-RA	ACEP_00002479-RA, ACEP_00002462-RA
OG0002338	PBAR_10678-RA, PBAR_19085-RA	ACEP_00002476-RA
OG0002339	PBAR_26743-RA	ACEP_00002480-RA
OG0002340	PBAR_19079-RA	ACEP_00002465-RA
OG0002341	PBAR_19073-RA	ACEP_00002459-RA
OG0002342	PBAR_26741-RA	ACEP_00002456-RA
OG0002343	PBAR_19074-RA	ACEP_00002455-RA
OG0002344	PBAR_19075-RA	ACEP_00002458-RA
OG0002345	PBAR_19070-RA	ACEP_00002454-RA
OG0002346	PBAR_19065-RA	ACEP_00002448-RA
OG0002347	PBAR_19068-RA	ACEP_00002451-RA
OG0002348	PBAR_19067-RA	ACEP_00002452-RA
OG0002349	PBAR_19066-RA	ACEP_00002447-RA
OG0002350	PBAR_10913-RA	ACEP_00002444-RA
OG0002351	PBAR_10912-RA	ACEP_00002442-RA
OG0002352	PBAR_10908-RA	ACEP_00002440-RA
OG0002353	PBAR_16287-RA	ACEP_00002429-RA
OG0002354	PBAR_16599-RA	ACEP_00002433-RA
OG0002355	PBAR_16288-RA	ACEP_00002430-RA
OG0002356	PBAR_19303-RA	ACEP_00002425-RA
OG0002357	PBAR_19304-RA	ACEP_00002426-RA
OG0002358	PBAR_16284-RA	ACEP_00002428-RA
OG0002359	PBAR_19310-RA	ACEP_00002416-RA
OG0002360	PBAR_19312-RA	ACEP_00002418-RA
OG0002361	PBAR_26751-RA	ACEP_00002421-RA
OG0002362	PBAR_19311-RA	ACEP_00002414-RA
OG0002363	PBAR_19323-RA	ACEP_00002408-RA
OG0002364	PBAR_19316-RA	ACEP_00002407-RA
OG0002365	PBAR_19324-RA	ACEP_00002410-RA
OG0002366	PBAR_19320-RA	ACEP_00002405-RA
OG0002367	PBAR_19317-RA	ACEP_00002409-RA
OG0002368	PBAR_19322-RA	ACEP_00002406-RA
OG0002370	PBAR_19315-RA	ACEP_00002403-RA
OG0002371	PBAR_19332-RA	ACEP_00002400-RA
OG0002372	PBAR_19321-RA	ACEP_00002402-RA
OG0002373	PBAR_19318-RA	ACEP_00002401-RA
OG0002374	PBAR_ar_CG15531-RA	ACEP_00002386-RA
OG0002375	PBAR_19342-RA	ACEP_00002379-RA
OG0002376	PBAR_19344-RA	ACEP_00002372-RA
OG0002377	PBAR_26754-RA	ACEP_00017120-RA
OG0002378	PBAR_19340-RA	ACEP_00002371-RA
OG0002379	PBAR_19352-RA	ACEP_00002369-RA
OG0002380	PBAR_19337-RA	ACEP_00002373-RA
OG0002381	PBAR_19354-RA	ACEP_00002366-RA
OG0002382	PBAR_19349-RA	ACEP_00002365-RA
OG0002383	PBAR_19358-RA	ACEP_00002367-RA
OG0002384	PBAR_ar_RpL15-1	ACEP_00002374-RA
OG0002385	PBAR_19338-RA	ACEP_00002375-RA
OG0002386	PBAR_19355-RA	ACEP_00002362-RA
OG0002387	PBAR_19360-RA	ACEP_00002358-RA
OG0002388	PBAR_19361-RA	ACEP_00002360-RA
OG0002389	PBAR_19359-RA	ACEP_00002355-RA
OG0002390	PBAR_19353-RA	ACEP_00002361-RA
OG0002391	PBAR_19351-RA	ACEP_00002357-RA
OG0002392	PBAR_19348-RA	ACEP_00002359-RA
OG0002393	PBAR_19357-RA	ACEP_00002363-RA
OG0002394	PBAR_19364-RA	ACEP_00002353-RA
OG0002395	PBAR_19350-RA	ACEP_00002354-RA
OG0002396	PBAR_19366-RA	ACEP_00002347-RA
OG0002397	PBAR_19367-RA	ACEP_00002346-RA
OG0002398	PBAR_19369-RA	ACEP_00002343-RA
OG0002399	PBAR_19370-RA	ACEP_00002342-RA
OG0002400	PBAR_19371-RA	ACEP_00002344-RA
OG0002401	PBAR_19374-RA	ACEP_00002337-RA
OG0002402	PBAR_19379-RA	ACEP_00002331-RA
OG0002403	PBAR_19378-RA	ACEP_00002328-RA
OG0002404	PBAR_ar_SCR-B6-RA	ACEP_00002339-RA
OG0002405	PBAR_19380-RA	ACEP_00002324-RA
OG0002406	PBAR_ar_RpL40-RA	ACEP_04566564-RA
OG0002407	PBAR_19381-RA	ACEP_00002326-RA
OG0002408	PBAR_19387-RA	ACEP_00002319-RA
OG0002409	PBAR_19386-RA	ACEP_00002322-RA
OG0002410	PBAR_19385-RA	ACEP_00002323-RA
OG0002411	PBAR_19390-RA	ACEP_00002313-RA
OG0002412	PBAR_19389-RA	ACEP_00002310-RA
OG0002413	PBAR_19384-RA	ACEP_00002318-RA
OG0002414	PBAR_26757-RA	ACEP_00002302-RA
OG0002415	PBAR_19397-RA	ACEP_00002299-RA
OG0002416	PBAR_19398-RA	ACEP_00002300-RA
OG0002417	PBAR_19415-RA	ACEP_00002292-RA
OG0002418	PBAR_19401-RA	ACEP_00002293-RA
OG0002419	PBAR_19405-RA	ACEP_00002296-RA
OG0002421	PBAR_19424-RA	ACEP_00002287-RA
OG0002422	PBAR_ar_Ndufa8_like-1	ACEP_00002288-RA
OG0002423	PBAR_19413-RA	ACEP_00002290-RA
OG0002424	PBAR_19403-RA	ACEP_00002289-RA
OG0002425	PBAR_19427-RA	ACEP_00002278-RA
OG0002426	PBAR_19420-RA	ACEP_00002277-RA
OG0002427	PBAR_19417-RA	ACEP_00002280-RA
OG0002428	PBAR_19421-RA	ACEP_00002272-RA
OG0002429	PBAR_19419-RA	ACEP_00002273-RA
OG0002430	PBAR_19426-RA	ACEP_00002279-RA
OG0002431	PBAR_19435-RA	ACEP_00002269-RA
OG0002432	PBAR_19423-RA	ACEP_00002281-RA
OG0002433	PBAR_19431-RA	ACEP_00002270-RA
OG0002434	PBAR_19430-RA	ACEP_00002271-RA
OG0002435	PBAR_19434-RA	ACEP_00002264-RA
OG0002436	PBAR_19429-RA	ACEP_00002263-RA
OG0002437	PBAR_19428-RA	ACEP_00002261-RA
OG0002438	PBAR_19432-RA	ACEP_00002262-RA
OG0002439	PBAR_19436-RA	ACEP_00002265-RA
OG0002440	PBAR_19433-RA	ACEP_00002266-RA
OG0002441	PBAR_23957-RA	ACEP_00002253-RA
OG0002442	PBAR_23950-RA	ACEP_00002250-RA
OG0002443	PBAR_23962-RA	ACEP_00002242-RA
OG0002444	PBAR_23966-RA	ACEP_00002243-RA
OG0002446	PBAR_23959-RA	ACEP_00002246-RA
OG0002447	PBAR_24676-RA	ACEP_00002233-RA
OG0002448	PBAR_23967-RA	ACEP_00002238-RA
OG0002449	PBAR_23963-RA	ACEP_00002240-RA
OG0002450	PBAR_23961-RA	ACEP_00002239-RA
OG0002451	PBAR_23960-RA	ACEP_00002241-RA
OG0002452	PBAR_14374-RA	ACEP_00002231-RA
OG0002453	PBAR_14373-RA	ACEP_00002222-RA
OG0002454	PBAR_14369-RA	ACEP_00002223-RA
OG0002455	PBAR_14370-RA	ACEP_00002227-RA
OG0002456	PBAR_14371-RA	ACEP_00002224-RA
OG0002457	PBAR_26476-RA	ACEP_00017136-RA
OG0002458	PBAR_ar_Cox7c_like-1	ACEP_00002229-RA
OG0002459	PBAR_20310-RA	ACEP_00002211-RA
OG0002460	PBAR_14793-RA	ACEP_00002206-RA
OG0002461	PBAR_14791-RA	ACEP_00002207-RA
OG0002462	PBAR_14790-RA	ACEP_00002203-RA
OG0002463	PBAR_14787-RA	ACEP_00002204-RA
OG0002464	PBAR_14792-RA	ACEP_00002208-RA
OG0002465	PBAR_ar_RpL6-1	ACEP_00002200-RA
OG0002466	PBAR_10923-RA	ACEP_00002192-RA
OG0002467	PBAR_10928-RA	ACEP_00002195-RA
OG0002468	PBAR_ar_RpL7-1	ACEP_00002194-RA
OG0002469	PBAR_10927-RA	ACEP_00002197-RA
OG0002470	maker-pbar_scf7180000350188-snap-gene-2.32-mRNA-1	ACEP_00016603-RA
OG0002471	PBAR_12298-RA	ACEP_00010573-RA
OG0002472	PBAR_19170-RA	ACEP_00010571-RA
OG0002473	PBAR_12305-RA	ACEP_00010566-RA
OG0002474	PBAR_12303-RA	ACEP_00010567-RA
OG0002475	PBAR_17678-RA	ACEP_00010559-RA
OG0002476	PBAR_17677-RA	ACEP_00010549-RA
OG0002477	PBAR_16570-RA	ACEP_00010544-RA
OG0002478	PBAR_23727-RA	ACEP_00010534-RA
OG0002479	PBAR_23724-RA	ACEP_00010533-RA
OG0002480	PBAR_ar_exba-1	ACEP_00010535-RA
OG0002481	PBAR_23723-RA	ACEP_00010536-RA
OG0002482	PBAR_21533-RA	ACEP_00010528-RA
OG0002483	PBAR_21120-RA	ACEP_00010529-RA
OG0002484	PBAR_21531-RA	ACEP_00010527-RA
OG0002485	PBAR_23722-RA	ACEP_00010531-RA
OG0002486	PBAR_21554-RA	ACEP_00010512-RB
OG0002487	PBAR_21551-RA	ACEP_00010515-RA
OG0002488	augustus-pbar_scf7180000350332-abinit-gene-0.116-mRNA-1	ACEP_00010526-RA
OG0002490	augustus-pbar_scf7180000350332-abinit-gene-3.271-mRNA-1	ACEP_00010494-RA
OG0002491	augustus_masked-pbar_scf7180000350332-abinit-gene-3.94-mRNA-1	ACEP_00010485-RA
OG0002492	PBAR_14175-RA	ACEP_00015632-RA, ACEP_00010483-RA
OG0002493	augustus_masked-pbar_scf7180000350332-abinit-gene-1.42-mRNA-1	ACEP_00010459-RA
OG0002494	PBAR_21546-RA	ACEP_00010452-RA
OG0002495	PBAR_21552-RA	ACEP_00010440-RA
OG0002496	PBAR_21547-RA	ACEP_00010441-RA
OG0002497	PBAR_21550-RA	ACEP_00010439-RA
OG0002498	PBAR_21545-RA	ACEP_00010437-RA
OG0002500	PBAR_ar_Ndufa10_like-1	ACEP_00010433-RA
OG0002501	PBAR_18166-RA	ACEP_00010428-RA
OG0002502	PBAR_21548-RA	ACEP_00010430-RA
OG0002503	PBAR_18171-RA	ACEP_00010423-RA
OG0002504	PBAR_18173-RA	ACEP_00010421-RA
OG0002505	PBAR_18164-RA	ACEP_00010419-RA
OG0002506	PBAR_23701-RA	ACEP_00016567-RA
OG0002507	PBAR_22740-RA	ACEP_00016468-RA
OG0002508	PBAR_16014-RA	ACEP_00016580-RA
OG0002509	PBAR_16019-RA	ACEP_00016581-RA
OG0002510	PBAR_26103-RA	ACEP_00008253-RA
OG0002511	PBAR_26104-RA	ACEP_00008255-RA
OG0002512	PBAR_26106-RA	ACEP_00008252-RA
OG0002513	PBAR_26108-RA	ACEP_00008254-RA
OG0002514	PBAR_26118-RA	ACEP_00008260-RA
OG0002515	PBAR_26110-RA	ACEP_00008256-RA
OG0002516	PBAR_26105-RA	ACEP_00008257-RA
OG0002517	PBAR_26097-RA	ACEP_00008246-RA
OG0002518	PBAR_26096-RA	ACEP_00008244-RA
OG0002519	PBAR_26101-RA	ACEP_00008245-RA
OG0002520	PBAR_26112-RA	ACEP_00008251-RA
OG0002521	PBAR_26113-RA	ACEP_00017729-RA
OG0002522	PBAR_26092-RA	ACEP_00008239-RA
OG0002523	PBAR_26098-RA	ACEP_00008242-RA
OG0002524	PBAR_26087-RA	ACEP_00008240-RA
OG0002525	PBAR_26100-RA	ACEP_00008241-RA
OG0002526	PBAR_26099-RA	ACEP_00008243-RA
OG0002527	PBAR_26082-RA	ACEP_00008228-RA
OG0002528	PBAR_10249-RA	ACEP_00008230-RA
OG0002529	PBAR_26085-RA	ACEP_00008235-RA
OG0002530	PBAR_26094-RA	ACEP_00008236-RA
OG0002531	PBAR_26073-RA	ACEP_00008221-RA
OG0002532	PBAR_26083-RA	ACEP_00008226-RA
OG0002533	PBAR_26080-RA	ACEP_00008224-RA
OG0002534	PBAR_26076-RA	ACEP_00008225-RA
OG0002535	PBAR_26081-RA	ACEP_00008223-RA
OG0002536	PBAR_26066-RA	ACEP_00008215-RA
OG0002537	PBAR_26067-RA	ACEP_00008213-RA
OG0002538	PBAR_26070-RA	ACEP_00008216-RA
OG0002539	PBAR_26074-RA	ACEP_00008214-RA
OG0002540	PBAR_19747-RA	ACEP_00008212-RA
OG0002541	PBAR_11623-RA	ACEP_00008208-RA
OG0002542	PBAR_25013-RA	ACEP_00008206-RA
OG0002543	PBAR_11621-RA	ACEP_00008209-RA
OG0002544	PBAR_11624-RA	ACEP_00008211-RA
OG0002545	PBAR_25010-RA	ACEP_00008200-RA
OG0002546	PBAR_10243-RA	ACEP_00008199-RA
OG0002547	PBAR_25009-RA	ACEP_00008198-RA
OG0002548	PBAR_25006-RA	ACEP_00008195-RA
OG0002549	PBAR_25015-RA	ACEP_00008196-RA
OG0002550	PBAR_25007-RA	ACEP_00008193-RA
OG0002551	PBAR_25003-RA	ACEP_00008192-RA
OG0002552	PBAR_25005-RA	ACEP_00008189-RA
OG0002553	PBAR_25002-RA	ACEP_00008188-RA
OG0002554	PBAR_19213-RA	ACEP_00008183-RA
OG0002555	PBAR_19214-RA	ACEP_00008181-RA
OG0002556	PBAR_19199-RA	ACEP_00008174-RA
OG0002557	PBAR_19205-RA	ACEP_00008175-RA
OG0002558	PBAR_19204-RA	ACEP_00008177-RA
OG0002559	PBAR_19203-RA	ACEP_00008170-RA
OG0002560	PBAR_19198-RA	ACEP_00008169-RA
OG0002561	PBAR_19191-RA	ACEP_00008166-RA
OG0002562	PBAR_19194-RA	ACEP_00008165-RA
OG0002563	PBAR_19197-RA	ACEP_00008171-RA
OG0002564	PBAR_19195-RA	ACEP_00008164-RA
OG0002565	PBAR_19190-RA	ACEP_00008163-RA
OG0002566	PBAR_15119-RA	ACEP_00008155-RA
OG0002567	PBAR_19187-RA	ACEP_00008159-RA
OG0002568	PBAR_15109-RA	ACEP_00008142-RA
OG0002569	PBAR_15116-RA	ACEP_00008150-RA
