Orthogroup	lhum_annotation	pbar_annotation
OG0002280	LHUM_17877-RA	PBAR_24031-RA
OG0002281	LHUM_17869-RA	PBAR_14221-RA
OG0002282	LHUM_17872-RA	PBAR_14218-RA
OG0002283	LHUM_17870-RA	PBAR_14222-RA
OG0002284	LHUM_17873-RA	PBAR_14220-RA
OG0002285	LHUM_23643-RA	PBAR_23990-RA
OG0002286	LHUM_12553-RA	PBAR_23986-RA
OG0002287	LHUM_23644-RA	PBAR_23989-RA
OG0002288	LHUM_12561-RA	PBAR_23991-RA
OG0002289	LHUM_12552-RA	PBAR_23985-RA
OG0002290	LHUM_23642-RA	PBAR_23988-RA
OG0002291	LHUM_23635-RA	PBAR_23979-RA
OG0002292	LHUM_23639-RA	PBAR_23984-RA
OG0002293	LHUM_17550-RA	PBAR_24644-RA
OG0002294	LHUM_17557-RA	PBAR_24645-RA
OG0002295	LHUM_23628-RA	PBAR_23973-RA
OG0002296	LHUM_23617-RA	PBAR_23971-RA
OG0002297	LHUM_14647-RA	PBAR_23969-RA
OG0002298	LHUM_23619-RA	PBAR_23970-RA
OG0002299	LHUM_23624-RA	PBAR_23972-RA
OG0002300	LHUM_17540-RA	PBAR_24642-RA
OG0002301	LHUM_17541-RA	PBAR_24647-RA
OG0002302	LHUM_17538-RA	PBAR_18022-RA
OG0002303	LHUM_17539-RA	PBAR_18023-RA
OG0002304	LHUM_17533-RA	PBAR_18031-RA
OG0002305	LHUM_17529-RA	PBAR_18024-RA
OG0002306	LHUM_17530-RA	PBAR_18032-RA
OG0002307	LHUM_17531-RA	PBAR_18029-RA
OG0002308	LHUM_17523-RA	PBAR_18033-RA
OG0002309	LHUM_17534-RA	PBAR_26682-RA
OG0002310	LHUM_17519-RA	PBAR_18058-RA
OG0002311	LHUM_17522-RA	PBAR_18059-RA
OG0002312	LHUM_17521-RA	PBAR_ar_capu-1
OG0002313	LHUM_17526-RA	PBAR_18055-RA
OG0002314	LHUM_17520-RA	PBAR_ar_echinoid-like-1
OG0002315	LHUM_17507-RA	PBAR_12527-RA
OG0002316	LHUM_17513-RA	PBAR_12522-RA
OG0002317	LHUM_17514-RA	PBAR_12519-RA
OG0002318	LHUM_17505-RA	PBAR_12524-RA
OG0002319	LHUM_16828-RA	PBAR_ar_FKBP6_like-RC
OG0002320	LHUM_17506-RA	PBAR_13298-RA
OG0002321	LHUM_17500-RA	PBAR_12537-RA
OG0002322	LHUM_17508-RA	PBAR_12529-RA
OG0002323	LHUM_17510-RA	PBAR_12526-RA
OG0002324	LHUM_17499-RA	PBAR_12536-RA
OG0002325	LHUM_17494-RA	PBAR_16974-RA
OG0002326	LHUM_17493-RA	PBAR_16973-RA
OG0002327	LHUM_17492-RA	PBAR_16969-RA
OG0002328	LHUM_23480-RA	PBAR_16991-RA
OG0002329	LHUM_23487-RA	PBAR_16989-RA
OG0002330	LHUM_23479-RA	PBAR_16980-RA
OG0002331	LHUM_23472-RA	PBAR_16981-RA
OG0002332	LHUM_17457-RA	PBAR_19105-RA
OG0002333	LHUM_17455-RA	PBAR_19094-RA
OG0002334	LHUM_17456-RA	PBAR_19096-RA
OG0002335	LHUM_17458-RA	PBAR_19093-RA
OG0002336	LHUM_17452-RA	PBAR_19091-RA
OG0002339	LHUM_10494-RA	PBAR_26743-RA
OG0002340	LHUM_15649-RA	PBAR_19079-RA
OG0002341	LHUM_15642-RA	PBAR_19073-RA
OG0002342	LHUM_15643-RA	PBAR_26741-RA
OG0002343	LHUM_15647-RA	PBAR_19074-RA
OG0002344	LHUM_15644-RA	PBAR_19075-RA
OG0002345	LHUM_15640-RA	PBAR_19070-RA
OG0002346	LHUM_15635-RA	PBAR_19065-RA
OG0002347	LHUM_15637-RA	PBAR_19068-RA
OG0002348	LHUM_15636-RA	PBAR_19067-RA
OG0002349	LHUM_15634-RA	PBAR_19066-RA
OG0002350	LHUM_14604-RA	PBAR_10913-RA
OG0002351	LHUM_14602-RA	PBAR_10912-RA
OG0002352	LHUM_14598-RA	PBAR_10908-RA
OG0002353	LHUM_14597-RA	PBAR_16287-RA
OG0002354	LHUM_14593-RA	PBAR_16599-RA
OG0002355	LHUM_14590-RA	PBAR_16288-RA
OG0002356	LHUM_14600-RA	PBAR_19303-RA
OG0002357	LHUM_14599-RA	PBAR_19304-RA
OG0002358	LHUM_14603-RA	PBAR_16284-RA
OG0002359	LHUM_16798-RA	PBAR_19310-RA
OG0002360	LHUM_16791-RA	PBAR_19312-RA
OG0002361	LHUM_15267-RA	PBAR_26751-RA
OG0002362	LHUM_16782-RA	PBAR_19311-RA
OG0002363	LHUM_16781-RA	PBAR_19323-RA
OG0002364	LHUM_11835-RA	PBAR_19316-RA
OG0002365	LHUM_16780-RA	PBAR_19324-RA
OG0002366	LHUM_11821-RA	PBAR_19320-RA
OG0002367	LHUM_16785-RA	PBAR_19317-RA
OG0002368	LHUM_11815-RA	PBAR_19322-RA
OG0002370	LHUM_11820-RA	PBAR_19315-RA
OG0002371	LHUM_11817-RA	PBAR_19332-RA
OG0002372	LHUM_11814-RA	PBAR_19321-RA
OG0002373	LHUM_11823-RA	PBAR_19318-RA
OG0002374	LHUM_13322-RA	PBAR_ar_CG15531-RA
OG0002375	LHUM_14565-RA	PBAR_19342-RA
OG0002376	LHUM_14643-RA	PBAR_19344-RA
OG0002377	LHUM_25519-RA	PBAR_26754-RA
OG0002378	LHUM_14640-RA	PBAR_19340-RA
OG0002379	LHUM_14637-RA	PBAR_19352-RA
OG0002380	LHUM_14636-RA	PBAR_19337-RA
OG0002381	LHUM_14642-RA	PBAR_19354-RA
OG0002382	LHUM_14635-RA	PBAR_19349-RA
OG0002383	LHUM_14644-RA	PBAR_19358-RA
OG0002384	LHUM_14578-RA	PBAR_ar_RpL15-1
OG0002385	LHUM_14569-RA	PBAR_19338-RA
OG0002386	LHUM_17768-RA	PBAR_19355-RA
OG0002387	LHUM_17770-RA	PBAR_19360-RA
OG0002388	LHUM_17772-RA	PBAR_19361-RA
OG0002389	LHUM_17777-RA	PBAR_19359-RA
OG0002390	LHUM_17765-RA	PBAR_19353-RA
OG0002391	LHUM_17776-RA	PBAR_19351-RA
OG0002392	LHUM_17766-RA	PBAR_19348-RA
OG0002393	LHUM_17771-RA	PBAR_19357-RA
OG0002394	LHUM_17774-RA	PBAR_19364-RA
OG0002395	LHUM_17775-RA	PBAR_19350-RA
OG0002396	LHUM_17780-RA	PBAR_19366-RA
OG0002397	LHUM_17781-RA	PBAR_19367-RA
OG0002398	LHUM_17779-RA	PBAR_19369-RA
OG0002399	LHUM_17788-RA	PBAR_19370-RA
OG0002400	LHUM_17782-RA	PBAR_19371-RA
OG0002401	LHUM_17787-RA	PBAR_19374-RA
OG0002402	LHUM_17790-RA	PBAR_19379-RA
OG0002403	LHUM_17789-RA	PBAR_19378-RA
OG0002404	LHUM_um_SCR-B6-RA	PBAR_ar_SCR-B6-RA
OG0002405	LHUM_17795-RA	PBAR_19380-RA
OG0002406	LHUM_um_RpL40-RA	PBAR_ar_RpL40-RA
OG0002407	LHUM_17797-RA	PBAR_19381-RA
OG0002408	LHUM_17801-RA	PBAR_19387-RA
OG0002409	LHUM_17798-RA	PBAR_19386-RA
OG0002410	LHUM_17796-RA	PBAR_19385-RA
OG0002411	LHUM_17803-RA	PBAR_19390-RA
OG0002412	LHUM_17802-RA	PBAR_19389-RA
OG0002413	LHUM_17800-RA	PBAR_19384-RA
OG0002414	LHUM_25693-RA	PBAR_26757-RA
OG0002415	LHUM_17812-RA	PBAR_19397-RA
OG0002416	LHUM_17813-RA	PBAR_19398-RA
OG0002417	LHUM_17825-RA	PBAR_19415-RA
OG0002418	LHUM_17818-RA	PBAR_19401-RA
OG0002419	LHUM_17811-RA	PBAR_19405-RA
OG0002421	LHUM_14655-RA	PBAR_19424-RA
OG0002422	LHUM_14664-RA	PBAR_ar_Ndufa8_like-1
OG0002423	LHUM_14666-RA	PBAR_19413-RA
OG0002424	LHUM_14667-RA	PBAR_19403-RA
OG0002425	LHUM_17858-RA	PBAR_19427-RA
OG0002426	LHUM_17850-RA	PBAR_19420-RA
OG0002427	LHUM_17845-RA	PBAR_19417-RA
OG0002428	LHUM_14579-RA	PBAR_19421-RA
OG0002429	LHUM_14572-RA	PBAR_19419-RA
OG0002430	LHUM_21059-RA	PBAR_19426-RA
OG0002431	LHUM_14585-RA	PBAR_19435-RA
OG0002432	LHUM_14659-RA	PBAR_19423-RA
OG0002433	LHUM_14574-RA	PBAR_19431-RA
OG0002434	LHUM_14575-RA	PBAR_19430-RA
OG0002435	LHUM_23501-RA	PBAR_19434-RA
OG0002436	LHUM_23491-RA	PBAR_19429-RA
OG0002437	LHUM_23492-RA	PBAR_19428-RA
OG0002438	LHUM_23500-RA	PBAR_19432-RA
OG0002439	LHUM_14584-RA	PBAR_19436-RA
OG0002440	LHUM_14581-RA	PBAR_19433-RA
OG0002441	LHUM_23509-RA	PBAR_23957-RA
OG0002442	LHUM_23504-RA	PBAR_23950-RA
OG0002443	LHUM_23513-RA	PBAR_23962-RA
OG0002444	LHUM_11670-RA	PBAR_23966-RA
OG0002446	LHUM_23512-RA	PBAR_23959-RA
OG0002447	LHUM_17485-RA	PBAR_24676-RA
OG0002448	LHUM_14645-RA	PBAR_23967-RA
OG0002449	LHUM_14634-RA	PBAR_23963-RA
OG0002450	LHUM_14632-RA	PBAR_23961-RA
OG0002451	LHUM_23515-RA	PBAR_23960-RA
OG0002452	LHUM_17484-RA	PBAR_14374-RA
OG0002453	LHUM_17477-RA	PBAR_14373-RA
OG0002454	LHUM_17473-RA	PBAR_14369-RA
OG0002455	LHUM_17475-RA	PBAR_14370-RA
OG0002456	LHUM_17479-RA	PBAR_14371-RA
OG0002457	LHUM_25682-RA	PBAR_26476-RA
OG0002458	LHUM_17476-RA	PBAR_ar_Cox7c_like-1
OG0002459	LHUM_17469-RA	PBAR_20310-RA
OG0002460	LHUM_17468-RA	PBAR_14793-RA
OG0002461	LHUM_17463-RA	PBAR_14791-RA
OG0002462	LHUM_17466-RA	PBAR_14790-RA
OG0002463	LHUM_17464-RA	PBAR_14787-RA
OG0002464	LHUM_17465-RA	PBAR_14792-RA
OG0002465	LHUM_17467-RA	PBAR_ar_RpL6-1
OG0002466	LHUM_23476-RA	PBAR_10923-RA
OG0002467	LHUM_25674-RA	PBAR_10928-RA
OG0002468	LHUM_23474-RA	PBAR_ar_RpL7-1
OG0002469	LHUM_17461-RA	PBAR_10927-RA
OG0002470	LHUM_11688-RA	maker-pbar_scf7180000350188-snap-gene-2.32-mRNA-1
OG0002471	LHUM_20756-RA	PBAR_12298-RA
OG0002472	LHUM_20487-RA	PBAR_19170-RA
OG0002473	LHUM_20758-RA	PBAR_12305-RA
OG0002474	LHUM_20760-RA	PBAR_12303-RA
OG0002475	LHUM_16786-RA	PBAR_17678-RA
OG0002476	LHUM_16784-RA	PBAR_17677-RA
OG0002477	LHUM_12876-RA	PBAR_16570-RA
OG0002478	LHUM_20310-RA	PBAR_23727-RA
OG0002479	LHUM_20292-RA	PBAR_23724-RA
OG0002480	LHUM_20303-RA	PBAR_ar_exba-1
OG0002481	LHUM_20294-RA	PBAR_23723-RA
OG0002482	LHUM_22513-RA	PBAR_21533-RA
OG0002483	LHUM_20286-RA	PBAR_21120-RA
OG0002484	LHUM_22516-RA	PBAR_21531-RA
OG0002485	LHUM_20297-RA	PBAR_23722-RA
OG0002486	LHUM_22499-RA	PBAR_21554-RA
OG0002487	LHUM_22498-RA	PBAR_21551-RA
OG0002488	LHUM_22511-RA	augustus-pbar_scf7180000350332-abinit-gene-0.116-mRNA-1
OG0002490	LHUM_23647-RA	augustus-pbar_scf7180000350332-abinit-gene-3.271-mRNA-1
OG0002491	LHUM_14476-RA	augustus_masked-pbar_scf7180000350332-abinit-gene-3.94-mRNA-1
OG0002493	LHUM_14480-RA	augustus_masked-pbar_scf7180000350332-abinit-gene-1.42-mRNA-1
OG0002494	LHUM_22501-RA	PBAR_21546-RA
OG0002495	LHUM_22494-RA	PBAR_21552-RA
OG0002496	LHUM_22502-RA	PBAR_21547-RA
OG0002497	LHUM_15986-RA	PBAR_21550-RA
OG0002498	LHUM_15981-RA	PBAR_21545-RA
OG0002500	LHUM_15980-RA	PBAR_ar_Ndufa10_like-1
OG0002501	LHUM_15222-RA	PBAR_18166-RA
OG0002502	LHUM_15984-RA	PBAR_21548-RA
OG0002503	LHUM_15226-RA	PBAR_18171-RA
OG0002504	LHUM_15217-RA	PBAR_18173-RA
OG0002505	LHUM_15231-RA	PBAR_18164-RA
OG0002506	LHUM_21765-RA	PBAR_23701-RA
OG0002507	LHUM_23959-RA	PBAR_22740-RA
OG0002508	LHUM_11672-RA	PBAR_16014-RA
OG0002509	LHUM_11666-RA	PBAR_16019-RA
OG0002510	LHUM_15700-RA	PBAR_26103-RA
OG0002511	LHUM_10387-RA	PBAR_26104-RA
OG0002512	LHUM_15702-RA	PBAR_26106-RA
OG0002513	LHUM_15693-RA	PBAR_26108-RA
OG0002514	LHUM_25189-RA	PBAR_26118-RA
OG0002515	LHUM_10395-RA	PBAR_26110-RA
OG0002516	LHUM_25183-RA	PBAR_26105-RA
OG0002517	LHUM_16235-RA	PBAR_26097-RA
OG0002518	LHUM_23885-RA	PBAR_26096-RA
OG0002519	LHUM_23882-RA	PBAR_26101-RA
OG0002520	LHUM_15696-RA	PBAR_26112-RA
OG0002521	LHUM_19900-RA	PBAR_26113-RA
OG0002522	LHUM_18853-RA	PBAR_26092-RA
OG0002523	LHUM_18848-RA	PBAR_26098-RA
OG0002524	LHUM_18847-RA	PBAR_26087-RA
OG0002525	LHUM_18852-RA	PBAR_26100-RA
OG0002526	LHUM_23880-RA	PBAR_26099-RA
OG0002527	LHUM_18842-RA	PBAR_26082-RA
OG0002528	LHUM_18841-RA	PBAR_10249-RA
OG0002529	LHUM_18839-RA	PBAR_26085-RA
OG0002530	LHUM_18850-RA	PBAR_26094-RA
OG0002531	LHUM_22948-RA	PBAR_26073-RA
OG0002532	LHUM_18831-RA	PBAR_26083-RA
OG0002533	LHUM_22959-RA	PBAR_26080-RA
OG0002534	LHUM_18826-RA	PBAR_26076-RA
OG0002535	LHUM_22958-RA	PBAR_26081-RA
OG0002536	LHUM_10399-RA	PBAR_26066-RA
OG0002537	LHUM_10400-RA	PBAR_26067-RA
OG0002538	LHUM_10402-RA	PBAR_26070-RA
OG0002539	LHUM_10406-RA	PBAR_26074-RA
OG0002540	LHUM_10405-RA	PBAR_19747-RA
OG0002541	LHUM_10384-RA	PBAR_11623-RA
OG0002542	LHUM_18725-RA	PBAR_25013-RA
OG0002543	LHUM_10393-RA	PBAR_11621-RA
OG0002544	LHUM_10386-RA	PBAR_11624-RA
OG0002545	LHUM_18741-RA	PBAR_25010-RA
OG0002546	LHUM_18737-RA	PBAR_10243-RA
OG0002547	LHUM_18740-RA	PBAR_25009-RA
OG0002548	LHUM_22926-RA	PBAR_25006-RA
OG0002549	LHUM_22928-RA	PBAR_25015-RA
OG0002550	LHUM_22927-RA	PBAR_25007-RA
OG0002551	LHUM_22925-RA	PBAR_25003-RA
OG0002552	LHUM_22923-RA	PBAR_25005-RA
OG0002553	LHUM_22922-RA	PBAR_25002-RA
OG0002554	LHUM_22920-RA	PBAR_19213-RA
OG0002555	LHUM_22918-RA	PBAR_19214-RA
OG0002556	LHUM_22914-RA	PBAR_19199-RA
OG0002557	LHUM_22915-RA	PBAR_19205-RA
OG0002558	LHUM_22916-RA	PBAR_19204-RA
OG0002559	LHUM_22909-RA	PBAR_19203-RA
OG0002560	LHUM_22905-RA	PBAR_19198-RA
OG0002561	LHUM_22908-RA	PBAR_19191-RA
OG0002562	LHUM_22910-RA	PBAR_19194-RA
OG0002563	LHUM_22906-RA	PBAR_19197-RA
OG0002564	LHUM_22912-RA	PBAR_19195-RA
OG0002565	LHUM_22903-RA	PBAR_19190-RA
OG0002566	LHUM_24269-RA	PBAR_15119-RA
OG0002567	LHUM_24278-RA	PBAR_19187-RA
OG0002568	LHUM_24202-RA	PBAR_15109-RA
OG0002569	LHUM_24267-RA	PBAR_15116-RA
OG0002570	LHUM_24198-RA	PBAR_15121-RA
OG0002571	LHUM_24192-RA	PBAR_15106-RA
OG0002572	LHUM_24193-RA	PBAR_15105-RA
OG0002573	LHUM_24281-RA	PBAR_15122-RA
OG0002574	LHUM_24190-RA	PBAR_15117-RA
OG0002575	LHUM_24201-RA	PBAR_15123-RA
OG0002576	LHUM_24182-RA	PBAR_15111-RA
OG0002577	LHUM_24181-RA	PBAR_15110-RA
OG0002578	LHUM_24164-RA	PBAR_20075-RA
OG0002579	LHUM_24169-RA	PBAR_20073-RA
OG0002580	LHUM_24165-RA	PBAR_20077-RA
OG0002581	LHUM_24174-RA	PBAR_20071-RA
OG0002582	LHUM_24162-RA	PBAR_20078-RA
OG0002583	LHUM_24161-RA	PBAR_20079-RA
OG0002584	LHUM_24159-RA	PBAR_20086-RA
OG0002585	LHUM_24157-RA	PBAR_20091-RA
OG0002586	LHUM_24154-RA	PBAR_20094-RA
OG0002587	LHUM_24153-RA	PBAR_20093-RA
OG0002588	LHUM_24156-RA	PBAR_20090-RA
OG0002589	LHUM_24152-RA	PBAR_20105-RA
OG0002590	LHUM_24149-RA	PBAR_20104-RA
OG0002591	LHUM_24150-RA	PBAR_ar_par-6-1
OG0002592	LHUM_24147-RA	PBAR_20106-RA
OG0002593	LHUM_24144-RA	PBAR_11252-RA
OG0002594	LHUM_24136-RA	PBAR_11255-RA
OG0002595	LHUM_24135-RA	PBAR_26120-RA
OG0002596	LHUM_13825-RA	PBAR_14729-RA
OG0002597	LHUM_13826-RA	PBAR_14730-RA
OG0002598	LHUM_19189-RA	PBAR_18424-RA
OG0002599	LHUM_19254-RA	PBAR_22015-RA
OG0002600	LHUM_12784-RA	PBAR_ar_tub-1
OG0002601	LHUM_13827-RA	PBAR_14757-RA
OG0002602	LHUM_19179-RA	PBAR_18420-RA
OG0002603	LHUM_13822-RA	PBAR_11176-RA
OG0002604	LHUM_19969-RA	PBAR_14309-RA
OG0002605	LHUM_19978-RA	PBAR_14308-RA
OG0002606	LHUM_19981-RA	PBAR_14306-RA
OG0002607	LHUM_25227-RA	PBAR_ar_Atp5l_like-1
OG0002608	LHUM_19276-RA	PBAR_18439-RA
OG0002609	LHUM_19186-RA	PBAR_18433-RA
OG0002610	LHUM_19180-RA	PBAR_18443-RA
OG0002611	LHUM_10612-RA	PBAR_18407-RA
OG0002612	LHUM_10607-RA	PBAR_18416-RA
OG0002613	LHUM_10815-RA	PBAR_ar_Pros45-like-1
OG0002614	LHUM_12873-RA	PBAR_16579-RA
OG0002615	LHUM_18915-RA	PBAR_25609-RA
OG0002616	LHUM_19003-RA	PBAR_10716-RA
OG0002617	LHUM_23122-RA	PBAR_24698-RA
OG0002618	LHUM_17740-RA	PBAR_26196-RA
OG0002619	LHUM_17738-RA	PBAR_26192-RA
OG0002620	LHUM_17739-RA	PBAR_26195-RA
OG0002621	LHUM_17742-RA	PBAR_25228-RA
OG0002622	LHUM_17735-RA	PBAR_26193-RA
OG0002623	LHUM_11021-RA	PBAR_10666-RA
OG0002625	LHUM_13863-RA	PBAR_11936-RA
OG0002626	LHUM_23209-RA	PBAR_21153-RA
OG0002627	LHUM_23211-RA	PBAR_21152-RA
OG0002628	LHUM_23208-RA	PBAR_21144-RA
OG0002629	LHUM_23216-RA	PBAR_ar_drl-2-RA
OG0002630	LHUM_23221-RA	PBAR_21158-RA
OG0002631	LHUM_23228-RA	PBAR_21166-RA
OG0002632	LHUM_23223-RA	PBAR_21163-RA
OG0002633	LHUM_23227-RA	PBAR_21168-RA
OG0002634	LHUM_23225-RA	PBAR_ar_RpL8-1
OG0002635	LHUM_23217-RA	PBAR_ar_RpL8-1duplicate
OG0002636	LHUM_23224-RA	PBAR_21172-RA
OG0002637	LHUM_20531-RA	PBAR_21177-RA
OG0002638	LHUM_20527-RA	PBAR_21175-RA
OG0002639	LHUM_20537-RA	PBAR_21170-RA
OG0002640	LHUM_20541-RA	PBAR_21171-RA
OG0002641	LHUM_24011-RA	PBAR_25088-RA
OG0002642	LHUM_20348-RA	PBAR_15919-RA
OG0002643	LHUM_20351-RA	PBAR_26567-RA
OG0002644	LHUM_20347-RA	PBAR_15924-RA
OG0002645	LHUM_25870-RA	PBAR_15925-RA
OG0002646	LHUM_20344-RA	PBAR_15927-RA
OG0002647	LHUM_20342-RA	PBAR_15929-RA
OG0002648	LHUM_20340-RA	PBAR_15936-RA
OG0002649	LHUM_25842-RA	PBAR_26569-RA
OG0002650	LHUM_20341-RA	PBAR_15937-RA
OG0002651	LHUM_20334-RA	PBAR_15940-RA
OG0002652	LHUM_20338-RA	PBAR_15943-RA
OG0002653	LHUM_20332-RA	PBAR_15944-RA
OG0002654	LHUM_20336-RA	PBAR_15947-RA
OG0002655	LHUM_20335-RA	PBAR_15946-RA
OG0002656	LHUM_20331-RA	PBAR_15949-RA
OG0002657	LHUM_20328-RA	PBAR_15950-RA
OG0002658	LHUM_20330-RA	PBAR_15941-RA
OG0002659	LHUM_20325-RA	PBAR_15951-RA
OG0002660	LHUM_20327-RA	PBAR_15953-RA
OG0002661	LHUM_20323-RA	PBAR_15954-RA
OG0002662	LHUM_11971-RA	PBAR_16418-RA
OG0002663	LHUM_20326-RA	PBAR_15952-RA
OG0002664	LHUM_13994-RA	PBAR_16426-RA
OG0002665	LHUM_13992-RA	PBAR_16424-RA
OG0002666	LHUM_14309-RA	PBAR_16427-RA
OG0002667	LHUM_14317-RA	PBAR_16425-RA
OG0002668	LHUM_11970-RA	PBAR_16417-RA
OG0002669	LHUM_15122-RA	PBAR_16436-RA
OG0002670	LHUM_15123-RA	PBAR_16434-RA
OG0002671	LHUM_11844-RA	PBAR_16443-RA
OG0002672	LHUM_14682-RA	PBAR_16440-RA
OG0002673	LHUM_22984-RA	PBAR_16442-RA
OG0002674	LHUM_22982-RA	PBAR_16439-RA
OG0002675	LHUM_11316-RA	PBAR_16448-RA
OG0002676	LHUM_12090-RA	PBAR_21087-RA
OG0002678	LHUM_24064-RA	PBAR_22565-RA
OG0002679	LHUM_10900-RA	PBAR_22615-RA
OG0002680	LHUM_24086-RA	PBAR_23652-RA
OG0002681	LHUM_25990-RA	PBAR_22622-RA
OG0002682	LHUM_24082-RA	PBAR_22568-RA
OG0002683	LHUM_10889-RA	PBAR_22626-RA
OG0002684	LHUM_22694-RA	PBAR_22623-RA
OG0002685	LHUM_24077-RA	PBAR_22566-RA
OG0002686	LHUM_22691-RA	PBAR_22620-RA
OG0002687	LHUM_24080-RA	PBAR_22567-RA
OG0002688	LHUM_24116-RA	PBAR_22642-RA
OG0002689	LHUM_24121-RA	PBAR_22629-RA
OG0002690	LHUM_24120-RA	PBAR_22645-RA
OG0002691	LHUM_24122-RA	PBAR_22632-RA
OG0002692	LHUM_24117-RA	PBAR_22639-RA
OG0002693	LHUM_24118-RA	PBAR_22643-RA
OG0002694	LHUM_24123-RA	PBAR_22635-RA
OG0002695	LHUM_24126-RA	PBAR_22631-RA
OG0002696	LHUM_24578-RA	PBAR_22652-RA
OG0002697	LHUM_24125-RA	PBAR_22637-RA
OG0002698	LHUM_18386-RA	PBAR_20846-RA
OG0002699	LHUM_11774-RA	PBAR_22630-RA
OG0002700	LHUM_24576-RA	PBAR_20840-RA
OG0002701	LHUM_18387-RA	PBAR_20853-RA
OG0002702	LHUM_11758-RA	PBAR_10134-RA
OG0002703	LHUM_24577-RA	PBAR_22655-RA
OG0002704	LHUM_24572-RA	PBAR_20847-RA
OG0002705	LHUM_24124-RA	PBAR_22633-RA
OG0002706	LHUM_16762-RA	PBAR_20848-RA
OG0002707	LHUM_16766-RA	PBAR_20844-RA
OG0002708	LHUM_24579-RA	PBAR_20842-RA
OG0002709	LHUM_16764-RA	PBAR_20845-RA
OG0002710	LHUM_24569-RA	PBAR_20852-RA
OG0002711	LHUM_21614-RA	PBAR_20782-RA
OG0002712	LHUM_21619-RA	CG_02546888
OG0002713	LHUM_21618-RA	PBAR_20780-RA
OG0002714	LHUM_24083-RA	PBAR_10302-RA
OG0002715	LHUM_24076-RA	PBAR_23647-RA
OG0002716	LHUM_24078-RA	PBAR_22575-RA
OG0002717	LHUM_24079-RA	PBAR_23646-RA
OG0002718	LHUM_24087-RA	PBAR_23655-RA
OG0002719	LHUM_21609-RA	PBAR_20788-RA
OG0002720	LHUM_14538-RA	PBAR_22589-RA
OG0002721	LHUM_24100-RA	PBAR_22588-RA
OG0002722	LHUM_24098-RA	PBAR_ar_blistered-1
OG0002723	LHUM_24104-RA	PBAR_22592-RA
OG0002724	LHUM_12925-RA	PBAR_ar_Pdk-1
OG0002725	LHUM_24102-RA	PBAR_19908-RA
OG0002726	LHUM_24095-RA	PBAR_22583-RA
OG0002727	LHUM_24094-RA	PBAR_22597-RA
OG0002728	LHUM_24093-RA	PBAR_22582-RA
OG0002729	LHUM_24103-RA	PBAR_22590-RA
OG0002730	LHUM_24096-RA	PBAR_22586-RA
OG0002731	LHUM_15752-RA	PBAR_18577-RA
OG0002732	LHUM_24361-RA	PBAR_16535-RA
OG0002733	LHUM_24420-RA	PBAR_16542-RA
OG0002734	LHUM_24409-RA	PBAR_ar_centaurin-1
OG0002735	LHUM_24426-RA	PBAR_16539-RA
OG0002736	LHUM_24360-RA	PBAR_16543-RA
OG0002737	LHUM_20698-RA	PBAR_16509-RA
OG0002738	LHUM_20702-RA	PBAR_16516-RA
OG0002739	LHUM_20701-RA	PBAR_16517-RA
OG0002740	LHUM_20692-RA	PBAR_16521-RA
OG0002741	LHUM_24355-RA	PBAR_16532-RA
OG0002742	LHUM_24356-RA	PBAR_16510-RA
OG0002743	LHUM_20700-RA	PBAR_16511-RA
OG0002744	LHUM_23019-RA	PBAR_16536-RA
OG0002745	LHUM_20699-RA	PBAR_16515-RA
OG0002746	LHUM_20695-RA	PBAR_16522-RA
OG0002747	LHUM_24364-RA	PBAR_16530-RA
OG0002748	LHUM_13479-RA	PBAR_16513-RA
OG0002749	LHUM_24405-RA	PBAR_16514-RA
OG0002750	LHUM_12908-RA	PBAR_16500-RA
OG0002751	LHUM_12910-RA	PBAR_16503-RA
OG0002752	LHUM_24396-RA	PBAR_16520-RA
OG0002753	LHUM_13525-RA	PBAR_13235-RA
OG0002754	LHUM_13531-RA	PBAR_13239-RA
OG0002755	LHUM_13518-RA	PBAR_13227-RA
OG0002756	LHUM_13519-RA	PBAR_13228-RA
OG0002757	LHUM_13536-RA	PBAR_13238-RA
OG0002758	LHUM_13534-RA	PBAR_13237-RA
OG0002759	LHUM_13523-RA	PBAR_13231-RA
OG0002760	LHUM_13520-RA	PBAR_13234-RA
OG0002761	LHUM_13522-RA	PBAR_13233-RA
OG0002762	LHUM_13529-RA	PBAR_13242-RA
OG0002763	LHUM_13532-RA	PBAR_13241-RA
OG0002764	LHUM_13533-RA	PBAR_ar_SdhB_like_B-1
OG0002765	LHUM_13517-RA	PBAR_13246-RA
OG0002766	LHUM_13530-RA	PBAR_13257-RA
OG0002767	LHUM_24423-RA	PBAR_16501-RA
OG0002768	LHUM_13514-RA	PBAR_13244-RA
OG0002769	LHUM_13511-RA	PBAR_13765-RA
OG0002770	LHUM_13513-RA	PBAR_ar_rogdi-like-1
OG0002771	LHUM_13509-RA	PBAR_13768-RA
OG0002772	LHUM_13507-RA	PBAR_13767-RA
OG0002773	LHUM_13506-RA	PBAR_13232-RA
OG0002774	LHUM_13508-RA	PBAR_13229-RA
OG0002775	LHUM_13512-RA	PBAR_13240-RA
OG0002776	LHUM_13516-RA	PBAR_13230-RA
OG0002777	LHUM_13495-RA	PBAR_13776-RA
OG0002778	LHUM_13487-RA	PBAR_13785-RA
OG0002779	LHUM_13497-RA	PBAR_13777-RA
