Orthogroup	lhum_annotation	acep_annotation
OG0001620	LHUM_13955-RA, LHUM_13960-RA	ACEP_00018220-RA
OG0001621	LHUM_22077-RA, LHUM_22073-RA	ACEP_00006625-RA
OG0001622	LHUM_22069-RA	ACEP_00006617-RA
OG0001623	LHUM_21703-RA	ACEP_00006575-RA, ACEP_00006577-RA
OG0001624	LHUM_21713-RA	ACEP_00006567-RA, ACEP_00006566-RA
OG0001625	LHUM_21362-RA, LHUM_21361-RA	ACEP_00006550-RA
OG0001626	LHUM_21349-RA, LHUM_21348-RA	ACEP_00006537-RA
OG0001627	LHUM_21095-RA	ACEP_00006504-RA
OG0001628	LHUM_21198-RA, LHUM_21198-RB	ACEP_00006401-RA
OG0001629	LHUM_20992-RA, LHUM_20991-RA	ACEP_00008477-RA
OG0001630	LHUM_23921-RA	ACEP_00008462-RA
OG0001631	LHUM_23936-RA	ACEP_00008451-RA, ACEP_00008450-RA
OG0001632	LHUM_23934-RA	ACEP_00008455-RA
OG0001633	LHUM_23955-RA, LHUM_18471-RA	ACEP_00008430-RA
OG0001634	LHUM_13876-RA, LHUM_23964-RA	ACEP_00008412-RA
OG0001635	LHUM_14544-RA	ACEP_00008384-RA
OG0001636	LHUM_13902-RA, LHUM_10451-RA	ACEP_00008377-RA
OG0001637	LHUM_13897-RA, LHUM_10449-RA	ACEP_00008376-RA
OG0001638	LHUM_10893-RA	ACEP_00008350-RA, ACEP_00008349-RA
OG0001639	LHUM_16565-RA, LHUM_24570-RA	ACEP_00008327-RA
OG0001640	LHUM_11498-RA, LHUM_19976-RA	ACEP_00015778-RA
OG0001642	LHUM_14851-RA	ACEP_00010177-RA, ACEP_00010176-RA
OG0001643	LHUM_14825-RA	ACEP_00010152-RA
OG0001644	LHUM_14824-RA	ACEP_00010151-RA
OG0001645	LHUM_14823-RA	ACEP_00010150-RA
OG0001646	LHUM_12321-RA, LHUM_10197-RA	ACEP_00010116-RA
OG0001647	LHUM_25379-RA	ACEP_00011259-RA, ACEP_00010114-RA
OG0001648	LHUM_19694-RA	ACEP_00010070-RA
OG0001649	LHUM_13792-RA	ACEP_00005520-RA
OG0001650	LHUM_19160-RA	ACEP_00005485-RA, ACEP_00005486-RA
OG0001651	LHUM_19172-RA	ACEP_00005482-RA
OG0001652	LHUM_11480-RA	ACEP_00005465-RA
OG0001653	LHUM_19279-RA	ACEP_00005467-RA, ACEP_00005335-RA
OG0001654	LHUM_19241-RA	ACEP_00005379-RA
OG0001655	LHUM_20071-RA, LHUM_11452-RA	ACEP_00005324-RA
OG0001656	LHUM_24142-RB, LHUM_24142-RA	ACEP_00013373-RA
OG0001657	LHUM_17621-RA, LHUM_25233-RA	ACEP_00013362-RA
OG0001658	LHUM_15789-RA	ACEP_00015332-RB, ACEP_00015332-RA
OG0001659	LHUM_16278-RA	ACEP_00015326-RA
OG0001660	LHUM_25383-RA	ACEP_00015302-RA, ACEP_00013261-RA
OG0001661	LHUM_18675-RA	ACEP_00011380-RA
OG0001662	LHUM_18667-RA	ACEP_00011379-RA
OG0001663	LHUM_16978-RA, LHUM_16997-RA	ACEP_00011242-RA
OG0001664	LHUM_16777-RA	ACEP_00011239-RA, ACEP_00011241-RA
OG0001665	LHUM_14766-RA, LHUM_25578-RA	ACEP_00006968-RA
OG0001666	LHUM_19861-RA	ACEP_00006886-RA
OG0001667	LHUM_25908-RA, LHUM_20866-RA	ACEP_00006776-RA
OG0001668	LHUM_20857-RA	ACEP_00006768-RA
OG0001669	LHUM_13223-RA, LHUM_12122-RA	ACEP_00006725-RA
OG0001670	LHUM_20636-RA	ACEP_00006706-RA
OG0001671	maker-scf7180001004940-snap-gene-18.51-mRNA-1-duplicate, maker-scf7180001004940-snap-gene-18.51-mRNA-1	ACEP_00015076-RA
OG0001672	LHUM_16757-RA, LHUM_18061-RA	ACEP_00015063-RA
OG0001673	LHUM_18979-RA	ACEP_00015052-RA
OG0001674	LHUM_23132-RA	ACEP_00015045-RA, ACEP_00015044-RA
OG0001675	LHUM_13441-RA, LHUM_13439-RA	ACEP_00004963-RA
OG0001676	LHUM_13428-RA, LHUM_13430-RA	ACEP_00004955-RA
OG0001677	LHUM_11851-RA, LHUM_13422-RA	ACEP_00004939-RA
OG0001678	LHUM_12388-RA	ACEP_00004891-RA
OG0001679	LHUM_12378-RA	ACEP_00004882-RA, ACEP_00004883-RA
OG0001680	LHUM_12804-RA, LHUM_11889-RA	ACEP_00004810-RA
OG0001681	LHUM_23300-RA	ACEP_00004737-RA, ACEP_00004736-RA
OG0001682	LHUM_23286-RA	ACEP_00004726-RA, ACEP_00004727-RA
OG0001683	LHUM_23292-RA, LHUM_23291-RA	ACEP_00004718-RA
OG0001684	LHUM_23265-RA, LHUM_23266-RA	ACEP_00004699-RA
OG0001685	LHUM_15158-RA, LHUM_24872-RA	ACEP_00013011-RA
OG0001686	LHUM_15138-RA, LHUM_22986-RA	ACEP_00012980-RA
OG0001687	LHUM_14920-RA, LHUM_20727-RA	ACEP_00012958-RA
OG0001688	LHUM_14921-RA, LHUM_20726-RA	ACEP_00012957-RA
OG0001689	LHUM_15024-RA	ACEP_00012936-RA
OG0001690	CG_02184151, LHUM_11878-RA	ACEP_00012907-RA
OG0001691	LHUM_20015-RA, LHUM_13123-RA	ACEP_00010685-RA
OG0001692	LHUM_13137-RA, LHUM_13138-RA	ACEP_00010668-RA
OG0001693	LHUM_14706-RA	ACEP_00010641-RA
OG0001694	LHUM_10241-RA, LHUM_12994-RA	ACEP_00010629-RA
OG0001695	LHUM_16400-RA	ACEP_00010614-RA
OG0001695	LHUM_16399-RA	ACEP_00010613-RA
OG0001696	LHUM_16387-RA	ACEP_00010591-RA
OG0001697	LHUM_12954-RA	ACEP_00010576-RA
OG0001698	LHUM_21887-RA	ACEP_00014307-RA
OG0001699	LHUM_21896-RA, LHUM_21886-RA	ACEP_00014303-RA
OG0001700	LHUM_21926-RA	ACEP_00014284-RA
OG0001701	LHUM_14722-RA	ACEP_00003461-RA
OG0001702	LHUM_14720-RA	ACEP_00003459-RA, ACEP_00003457-RA
OG0001703	LHUM_11281-RA	ACEP_00003380-RA, ACEP_00003450-RA
OG0001704	LHUM_11280-RA	ACEP_00003379-RA, ACEP_00003452-RA
OG0001705	LHUM_11275-RA, LHUM_11261-RA	ACEP_00003436-RA
OG0001706	LHUM_11268-RA, LHUM_13048-RA	ACEP_00003435-RA
OG0001707	LHUM_18336-RA	ACEP_00003411-RA
OG0001708	LHUM_21203-RA, LHUM_21206-RA	ACEP_00003417-RA
OG0001709	LHUM_21238-RA	ACEP_00003386-RA
OG0001710	LHUM_21114-RA, LHUM_11561-RA	ACEP_00003381-RA
OG0001711	LHUM_21107-RA	ACEP_00003382-RA
OG0001712	LHUM_21305-RA	ACEP_00003312-RA, ACEP_00003310-RA
OG0001713	LHUM_21370-RA	ACEP_00003293-RA, ACEP_00003294-RA
OG0001714	LHUM_15195-RA, LHUM_15199-RA	ACEP_00013320-RA
OG0001715	LHUM_16295-RA	ACEP_00013272-RA, ACEP_00013274-RA
OG0001716	LHUM_16632-RA	ACEP_00013251-RA
OG0001717	LHUM_15134-RB, LHUM_15134-RA	ACEP_00015762-RA
OG0001718	LHUM_15062-RA, LHUM_15896-RA	ACEP_00015758-RA
OG0001719	LHUM_16629-RA	ACEP_00015747-RA
OG0001720	LHUM_16633-RA	ACEP_00015748-RA
OG0001758	LHUM_21426-RA	ACEP_00015605-RA
OG0001759	LHUM_21428-RA	ACEP_00015606-RA
OG0001760	LHUM_21439-RA	ACEP_00015610-RA
OG0001761	LHUM_21432-RA	ACEP_00015602-RA
OG0001762	LHUM_21431-RA	ACEP_00015603-RA
OG0001763	LHUM_10587-RA	ACEP_00015600-RA
OG0001764	LHUM_21430-RA	ACEP_00015601-RA
OG0001765	LHUM_21429-RA	ACEP_00015604-RA
OG0001766	LHUM_10583-RA	ACEP_00015596-RA
OG0001767	LHUM_10588-RA	ACEP_00015594-RA
OG0001768	LHUM_10585-RA	ACEP_00015597-RA
OG0001769	LHUM_10586-RA	ACEP_00015599-RA
OG0001770	LHUM_10580-RA	ACEP_00015598-RA
OG0001771	LHUM_14444-RA	ACEP_00015591-RA
OG0001772	LHUM_15109-RA	ACEP_00015589-RA
OG0001773	LHUM_15101-RA	ACEP_00015588-RA
OG0001774	LHUM_17043-RA	ACEP_00016692-RA
OG0001775	LHUM_18200-RA	ACEP_00016728-RA
OG0001776	LHUM_23461-RA	ACEP_00016421-RA
OG0001777	LHUM_10890-RA	ACEP_00016332-RA
OG0001778	LHUM_20027-RA	ACEP_00016673-RA
OG0001779	LHUM_19425-RA	ACEP_00016620-RA
OG0001780	LHUM_19398-RA	ACEP_00016414-RA
OG0001781	LHUM_14072-RA	ACEP_00012867-RA
OG0001782	LHUM_14070-RA	ACEP_00012868-RA
OG0001783	LHUM_14063-RA	ACEP_00012865-RA
OG0001784	LHUM_14062-RA	ACEP_00012863-RA
OG0001785	LHUM_14065-RA	ACEP_00012864-RA
OG0001786	LHUM_14059-RA	ACEP_00012861-RA
OG0001787	LHUM_14054-RA	ACEP_00012859-RA
OG0001788	LHUM_14047-RA	ACEP_00012855-RA
OG0001789	LHUM_25484-RA	ACEP_00012848-RA
OG0001790	LHUM_14044-RA	ACEP_00012850-RA
OG0001791	LHUM_14045-RA	ACEP_00012851-RB
OG0001792	LHUM_25487-RA	ACEP_00012851-RA
OG0001793	LHUM_14936-RA	ACEP_00012843-RA
OG0001794	LHUM_14038-RA	ACEP_00012844-RA
OG0001795	LHUM_14040-RA	ACEP_00012845-RA
OG0001796	LHUM_14039-RA	ACEP_00017974-RA
OG0001797	LHUM_um_EIF5b-1	ACEP_00012837-RA
OG0001798	LHUM_14933-RA	ACEP_00012839-RA
OG0001799	LHUM_14929-RA	ACEP_00012842-RA
OG0001800	LHUM_20808-RA	ACEP_00012830-RA
OG0001801	LHUM_15924-RA	ACEP_00012823-RA
OG0001802	LHUM_14021-RA	ACEP_00012826-RA
OG0001803	LHUM_12800-RA	ACEP_00012834-RA
OG0001804	LHUM_15927-RA	ACEP_00012824-RA
OG0001805	LHUM_um_SPH55-RA	ACEP_00012835-RA
OG0001806	LHUM_20804-RA	ACEP_00012831-RA
OG0001807	LHUM_10549-RA	ACEP_00012833-RA
OG0001808	LHUM_15922-RA	ACEP_00012825-RA
OG0001809	LHUM_10548-RA	ACEP_00012832-RA
OG0001810	LHUM_15916-RA	ACEP_00012816-RA
OG0001811	LHUM_15906-RA	ACEP_00012813-RA
OG0001812	LHUM_15905-RA	ACEP_00012815-RA
OG0001813	LHUM_15911-RA	ACEP_00012814-RA
OG0001814	LHUM_15912-RA	ACEP_00012818-RA
OG0001815	LHUM_15908-RA	ACEP_00012817-RA
OG0001816	LHUM_15918-RA	ACEP_00012819-RA
OG0001817	LHUM_14207-RA	ACEP_00012807-RA
OG0001818	LHUM_14201-RA	ACEP_00012802-RA
OG0001819	LHUM_14204-RA	ACEP_00012808-RA
OG0001820	LHUM_14206-RA	ACEP_00012801-RA
OG0001821	LHUM_14199-RA	ACEP_00012811-RA
OG0001822	LHUM_14203-RA	ACEP_00012800-RA
OG0001823	LHUM_14200-RA	ACEP_00012806-RA
OG0001824	LHUM_14208-RA	ACEP_00012810-RA
OG0001825	LHUM_14211-RA	ACEP_00012803-RA
OG0001826	LHUM_14209-RA	ACEP_00012809-RA
OG0001827	LHUM_14210-RA	ACEP_00012812-RA
OG0001828	LHUM_14161-RA	ACEP_00012791-RA
OG0001829	LHUM_14193-RA	ACEP_00012796-RA
OG0001830	LHUM_14156-RA	ACEP_00012792-RA
OG0001831	LHUM_14197-RA	ACEP_00012795-RA
OG0001832	LHUM_14189-RA	ACEP_00012793-RA
OG0001833	LHUM_14188-RA	ACEP_00012794-RA
OG0001834	LHUM_19368-RA	ACEP_00012785-RA
OG0001835	LHUM_19370-RA	ACEP_00012787-RA
OG0001836	LHUM_14172-RA	ACEP_00012788-RA
OG0001837	LHUM_14179-RA	ACEP_00012780-RA
OG0001838	LHUM_14160-RA	ACEP_00012778-RA
OG0001839	LHUM_14159-RA	ACEP_00012779-RA
OG0001840	LHUM_14195-RA	ACEP_00012775-RA
OG0001841	LHUM_14196-RA	ACEP_00012776-RA
OG0001842	LHUM_19350-RA	ACEP_00012782-RA
OG0001843	LHUM_14187-RA	ACEP_00012773-RA
OG0001844	LHUM_14186-RA	ACEP_00012771-RA
OG0001845	LHUM_20622-RA	ACEP_00016886-RA
OG0001846	LHUM_22388-RA	ACEP_00006387-RA
OG0001847	LHUM_22393-RA	ACEP_00006386-RA
OG0001848	LHUM_22398-RA	ACEP_00006384-RA
OG0001849	LHUM_22399-RA	ACEP_00006383-RA
OG0001850	LHUM_22402-RA	ACEP_00006380-RA
OG0001851	LHUM_19884-RA	ACEP_00006375-RA
OG0001852	LHUM_19885-RA	ACEP_00006371-RA
OG0001853	LHUM_19882-RA	ACEP_00006374-RA
OG0001854	LHUM_22416-RA	ACEP_00006376-RA
OG0001855	LHUM_19889-RA	ACEP_00006370-RA
OG0001856	LHUM_19888-RA	ACEP_00006369-RA
OG0001857	LHUM_10110-RA	ACEP_00006373-RA
OG0001858	LHUM_22405-RA	ACEP_00006378-RA
OG0001859	LHUM_19883-RA	ACEP_00006372-RA
OG0001860	LHUM_22408-RA	ACEP_00006379-RA
OG0001861	LHUM_17855-RA	ACEP_00006358-RA
OG0001862	LHUM_19892-RA	ACEP_00006365-RA
OG0001863	LHUM_17849-RA	ACEP_00006359-RA
OG0001864	LHUM_16515-RA	ACEP_00006356-RA
OG0001865	LHUM_19891-RA	ACEP_00006366-RA
OG0001866	LHUM_16512-RA	ACEP_00006357-RA
OG0001867	LHUM_16501-RA	ACEP_00006355-RA
OG0001868	LHUM_17846-RA	ACEP_00006361-RA
OG0001869	LHUM_19886-RA	ACEP_00006367-RA
OG0001870	LHUM_14614-RA	ACEP_00006348-RA
OG0001871	LHUM_16500-RA	ACEP_00006353-RA
OG0001872	LHUM_14607-RA	ACEP_00006350-RA
OG0001873	LHUM_14618-RA	ACEP_00006347-RA
OG0001874	LHUM_14616-RA	ACEP_00006346-RA
OG0001875	LHUM_14609-RA	ACEP_00006349-RA
OG0001876	LHUM_14611-RA	ACEP_00006351-RA
OG0001877	LHUM_14580-RA	ACEP_00006334-RA
OG0001878	LHUM_14570-RA	ACEP_00006337-RA
OG0001879	LHUM_14619-RA	ACEP_00006343-RA
OG0001880	LHUM_14571-RA	ACEP_00006335-RA
OG0001881	LHUM_12798-RA	ACEP_00006340-RA
OG0001882	LHUM_14577-RA	ACEP_00006339-RA
OG0001883	LHUM_14568-RA	ACEP_00006338-RA
OG0001884	LHUM_14573-RA	ACEP_00006336-RA
OG0001885	LHUM_14622-RA	ACEP_00006331-RA
OG0001886	LHUM_14621-RA	ACEP_00006328-RA
OG0001887	LHUM_12799-RA	ACEP_00006319-RA
OG0001888	LHUM_20713-RA	ACEP_00006316-RA
OG0001889	LHUM_12802-RA	ACEP_00006320-RA
OG0001890	LHUM_20709-RA	ACEP_00006317-RA
OG0001891	LHUM_12803-RA	ACEP_00006321-RA
OG0001892	LHUM_23152-RA	ACEP_00006324-RA
OG0001893	LHUM_18759-RA	ACEP_00006322-RA
OG0001894	LHUM_14628-RA	ACEP_00006330-RA
OG0001895	LHUM_11057-RA	ACEP_00006313-RA
OG0001896	LHUM_11058-RA	ACEP_00006309-RA
OG0001897	LHUM_11056-RA	ACEP_00006307-RA
OG0001898	LHUM_20711-RA	ACEP_00006314-RA
OG0001899	LHUM_24284-RA	ACEP_00006295-RA
OG0001900	LHUM_11052-RA	ACEP_00006299-RA
OG0001901	LHUM_11049-RA	ACEP_00006298-RA
OG0001902	LHUM_10794-RA	ACEP_00006293-RA
OG0001903	LHUM_11053-RA	ACEP_00006302-RA
OG0001904	LHUM_11045-RA	ACEP_00006300-RA
OG0001905	LHUM_24285-RA	ACEP_00006296-RA
OG0001906	LHUM_24286-RA	ACEP_00006297-RA
OG0001907	LHUM_11046-RA	ACEP_00006301-RA
OG0001908	LHUM_11048-RA	ACEP_00006306-RA
OG0001909	LHUM_10790-RA	ACEP_00006284-RA
OG0001910	LHUM_22455-RA	ACEP_00006283-RA
OG0001911	LHUM_23727-RA	ACEP_00006280-RA
OG0001912	LHUM_23728-RA	ACEP_00006282-RA
OG0001913	LHUM_10792-RA	ACEP_00006288-RA
OG0001914	LHUM_10782-RA	ACEP_00006285-RA
OG0001915	LHUM_10793-RA	ACEP_00006289-RA
OG0001916	LHUM_10785-RA	ACEP_00006291-RA
OG0001917	LHUM_15431-RA	ACEP_00006268-RA
OG0001918	LHUM_11204-RA	ACEP_00006275-RA
OG0001919	LHUM_11205-RA	ACEP_00006276-RA
OG0001920	LHUM_11202-RA	ACEP_00006278-RA
OG0001921	LHUM_20432-RA	ACEP_00006279-RA
OG0001922	LHUM_15440-RA	ACEP_00006266-RA
OG0001923	LHUM_15439-RA	ACEP_00006267-RA
OG0001924	LHUM_22403-RA	ACEP_00006265-RA
OG0001925	LHUM_22419-RA	ACEP_00006261-RA
OG0001926	LHUM_22420-RA	ACEP_00006263-RA
OG0001927	LHUM_22427-RA	ACEP_00006258-RA
OG0001928	LHUM_22426-RA	ACEP_00006257-RA
OG0001929	LHUM_22439-RA	ACEP_00006252-RA
OG0001930	LHUM_22438-RA	ACEP_00006253-RA
OG0001931	LHUM_22435-RA	ACEP_00006255-RA
OG0001932	LHUM_22434-RA	ACEP_00006256-RA
OG0001933	LHUM_22436-RA	ACEP_00006250-RA
OG0001934	LHUM_22442-RA	ACEP_00006246-RA
OG0001935	LHUM_22445-RA	ACEP_00006247-RA
OG0001936	LHUM_22446-RA	ACEP_00006245-RA
OG0001937	LHUM_22441-RA	ACEP_00006249-RA
OG0001938	LHUM_22459-RA	ACEP_00017248-RA
OG0001939	LHUM_22452-RA	ACEP_00006240-RA
OG0001940	LHUM_22451-RA	ACEP_00006235-RA
OG0001941	LHUM_22447-RA	ACEP_00006238-RA
OG0001942	LHUM_22449-RA	ACEP_00006234-RA
OG0001943	LHUM_22456-RA	ACEP_00006239-RA
OG0001944	LHUM_10791-RA	ACEP_00006229-RA
OG0001945	LHUM_14871-RA	ACEP_00006226-RA
OG0001946	LHUM_23753-RA	ACEP_00006228-RA
OG0001947	LHUM_23760-RA	ACEP_00006227-RA
OG0001948	LHUM_10780-RA	ACEP_00006230-RA
OG0001949	LHUM_22458-RA	ACEP_00006232-RA
OG0001950	LHUM_21684-RA	ACEP_00006216-RA
OG0001951	LHUM_14880-RA	ACEP_00006222-RA
OG0001952	LHUM_14882-RA	ACEP_00006221-RA
OG0001953	LHUM_14885-RA	ACEP_00006219-RA
OG0001954	LHUM_14879-RA	ACEP_00006218-RA
OG0001955	LHUM_11044-RA	ACEP_00006217-RA
OG0001956	LHUM_14883-RA	ACEP_00006224-RA
OG0001957	LHUM_11047-RA	ACEP_00006200-RA
OG0001958	LHUM_21685-RA	ACEP_00006196-RA
OG0001959	LHUM_21683-RA	ACEP_00006211-RA
OG0001960	LHUM_22473-RA	ACEP_00006207-RA
OG0001961	LHUM_21689-RA	ACEP_00006195-RA
OG0001962	LHUM_21690-RA	ACEP_00006212-RA
OG0001963	LHUM_21694-RA	ACEP_00006198-RA
OG0001965	LHUM_21688-RA	ACEP_00006199-RA
OG0001966	LHUM_21693-RA	ACEP_00006208-RA
OG0001967	LHUM_21697-RA	ACEP_00006209-RA
OG0001968	LHUM_21687-RA	ACEP_00006197-RA
OG0001969	LHUM_22480-RA	ACEP_00006206-RA
OG0001970	LHUM_24287-RA	ACEP_00006202-RA
OG0001971	LHUM_21677-RA	ACEP_00006190-RA
OG0001972	LHUM_21680-RA	ACEP_00006192-RA
OG0001973	LHUM_25954-RA	ACEP_00006189-RA
OG0001974	LHUM_21691-RA	ACEP_00006193-RA
OG0001975	LHUM_21681-RA	ACEP_00006191-RA
OG0001976	LHUM_21686-RA	ACEP_00006194-RA
OG0001977	LHUM_21673-RA	ACEP_00006180-RA
OG0001978	LHUM_21675-RA	ACEP_00006184-RA
OG0001979	LHUM_21679-RA	ACEP_00006187-RA
OG0001980	LHUM_21682-RA	ACEP_00006188-RA
OG0001981	LHUM_11080-RA	ACEP_00006176-RA
OG0001982	LHUM_11084-RA	ACEP_00017252-RA
OG0001983	LHUM_11076-RA	ACEP_00006172-RA
OG0001984	LHUM_11074-RA	ACEP_00006168-RA
OG0001985	LHUM_11077-RA	ACEP_00006173-RA
OG0001986	LHUM_11075-RA	ACEP_00006171-RA
OG0001987	LHUM_11081-RA	ACEP_00006174-RA
OG0001988	LHUM_um-Abd-A-like-RA	ACEP_04566935-RA
OG0001989	LHUM_um-Ubx-like-RA	ACEP_04566629-RA
OG0001990	LHUM_11064-RA	ACEP_00006156-RA
OG0001991	LHUM_um-Scr-like-RA	ACEP_00006151-RA
OG0001992	LHUM_19812-RA	ACEP_00006149-RA
OG0001993	LHUM_um-lab-like-RA	ACEP_04566863-RA
OG0001994	LHUM_um-pb-like-RA	ACEP_04566687-RA
OG0001995	LHUM_19805-RA	ACEP_00006140-RA
OG0001996	LHUM_19790-RA	ACEP_00006134-RA
OG0001997	LHUM_16510-RA	ACEP_00006126-RA
OG0001998	LHUM_16514-RA	ACEP_00006127-RA
OG0001999	LHUM_19798-RA	ACEP_00006130-RA
OG0002000	LHUM_19793-RA	ACEP_00006136-RA
OG0002001	LHUM_19797-RA	ACEP_00006135-RA
OG0002002	LHUM_19799-RA	ACEP_00006131-RA
OG0002003	LHUM_23178-RA	ACEP_00006122-RA
OG0002004	LHUM_23179-RA	ACEP_00006123-RA
OG0002005	LHUM_26013-RA	ACEP_00017257-RA
OG0002006	LHUM_23167-RA	ACEP_00006120-RA
OG0002007	LHUM_23171-RA	ACEP_00006114-RA
OG0002008	LHUM_23168-RA	ACEP_00006119-RA
OG0002009	LHUM_23162-RA	ACEP_00006117-RA
OG0002010	LHUM_23166-RA	ACEP_00006113-RA
OG0002011	LHUM_23165-RA	ACEP_00006121-RA
OG0002012	LHUM_22222-RA	ACEP_00006102-RA
OG0002013	LHUM_23155-RA	ACEP_00006109-RA
OG0002014	LHUM_16504-RA	ACEP_00006107-RA
OG0002015	LHUM_16506-RA	ACEP_00006108-RA
OG0002016	LHUM_22211-RA	ACEP_00006105-RA
OG0002017	LHUM_22217-RA	ACEP_00006098-RA
OG0002018	LHUM_22226-RA	ACEP_00006094-RA
OG0002019	LHUM_22218-RA	ACEP_00006104-RA
OG0002020	LHUM_22216-RA	ACEP_00006095-RA
OG0002021	LHUM_22214-RA	ACEP_00006103-RA
OG0002022	LHUM_22201-RA	ACEP_00006101-RA
OG0002023	LHUM_22204-RA	ACEP_00006097-RA
OG0002024	LHUM_22207-RA	ACEP_00006106-RA
OG0002025	LHUM_23169-RA	ACEP_00006111-RA
OG0002026	LHUM_22203-RA	ACEP_00006085-RA
OG0002027	LHUM_22210-RA	ACEP_00006089-RA
OG0002028	LHUM_22220-RA	ACEP_00006090-RA
OG0002029	LHUM_22213-RA	ACEP_00006087-RA
OG0002030	LHUM_22228-RA	ACEP_00006084-RA
OG0002031	LHUM_22206-RA	ACEP_00006088-RA
OG0002032	LHUM_22215-RA	ACEP_00006093-RA
OG0002033	LHUM_22236-RA	ACEP_00006075-RA
OG0002034	LHUM_22232-RA	ACEP_00006077-RA
OG0002035	LHUM_23177-RA	ACEP_00006070-RA
OG0002036	LHUM_23176-RA	ACEP_00006071-RA
OG0002037	LHUM_23180-RA	ACEP_00006069-RA
OG0002038	LHUM_23183-RA	ACEP_00006067-RA
OG0002039	LHUM_16513-RA	ACEP_00006059-RA
OG0002040	LHUM_10579-RA, LHUM_21442-RA	ACEP_00006062-RA
OG0002041	LHUM_17867-RA	ACEP_00006054-RA
OG0002042	LHUM_16505-RA	ACEP_00006060-RA
OG0002043	LHUM_17868-RA	ACEP_00006058-RA
OG0002044	LHUM_10764-RA	ACEP_00006052-RA
OG0002045	LHUM_17864-RA	ACEP_00006056-RA
OG0002046	LHUM_17854-RA	ACEP_00006053-RA
OG0002047	LHUM_17862-RA	ACEP_00006057-RA
OG0002048	LHUM_16522-RA	ACEP_00006061-RA
OG0002049	LHUM_23182-RA	ACEP_00006064-RA
OG0002050	LHUM_16511-RA	ACEP_00006045-RA
OG0002051	LHUM_15615-RA	ACEP_00006047-RA
OG0002052	LHUM_16509-RA	ACEP_00006044-RA
OG0002053	LHUM_11621-RA	ACEP_00006048-RA
OG0002054	LHUM_22245-RA	ACEP_00006030-RA
OG0002055	LHUM_22240-RA	ACEP_00006032-RA
OG0002056	LHUM_16525-RA	ACEP_00006039-RA
OG0002057	LHUM_16523-RA	ACEP_00006041-RA
OG0002058	LHUM_22241-RA	ACEP_00006031-RA
OG0002059	LHUM_22238-RA	ACEP_00006038-RA
OG0002060	LHUM_22242-RA	ACEP_00006035-RA
OG0002061	LHUM_22237-RA	ACEP_00006034-RA
OG0002062	LHUM_23725-RA	ACEP_00006024-RA
OG0002063	LHUM_20429-RA	ACEP_00006018-RA
OG0002064	LHUM_23730-RA	ACEP_00006022-RA
OG0002065	LHUM_11573-RA	ACEP_00006020-RA
OG0002066	LHUM_22261-RA	ACEP_00006016-RA
OG0002067	LHUM_22252-RA	ACEP_00006025-RA
OG0002068	LHUM_23724-RA	ACEP_00006023-RA
OG0002069	LHUM_14561-RA	ACEP_00006021-RA
OG0002070	LHUM_22239-RA	ACEP_00006029-RA
OG0002071	LHUM_22254-RA	ACEP_00006028-RA
OG0002072	LHUM_22262-RA	ACEP_00006013-RA
OG0002073	LHUM_22259-RA	ACEP_00006014-RA
OG0002074	LHUM_22334-RA	ACEP_00006005-RA
OG0002075	LHUM_23761-RA	ACEP_00006011-RA
OG0002076	LHUM_22335-RA	ACEP_00006003-RA
OG0002077	LHUM_22330-RA	ACEP_00006010-RA
OG0002078	LHUM_22348-RA	ACEP_00006000-RA
OG0002079	LHUM_22346-RA	ACEP_00006004-RA
OG0002080	LHUM_22340-RA	ACEP_00006002-RA
OG0002081	LHUM_22342-RA	ACEP_00006009-RA
OG0002082	LHUM_22359-RA	ACEP_00005997-RA
OG0002083	LHUM_15438-RA	ACEP_00005993-RA
OG0002084	LHUM_22360-RA	ACEP_00005995-RA
OG0002085	LHUM_22356-RA	ACEP_00005996-RA
OG0002086	LHUM_20716-RA	ACEP_00005992-RA
OG0002087	LHUM_14540-RA	ACEP_00005988-RA
OG0002088	LHUM_18379-RA	ACEP_00005985-RA
OG0002089	LHUM_20710-RA	ACEP_00005991-RA
OG0002090	LHUM_18384-RA	ACEP_00005984-RA
OG0002091	LHUM_15437-RA	ACEP_00005994-RA
OG0002092	LHUM_23158-RA	ACEP_00005980-RA
OG0002093	LHUM_23161-RA	ACEP_00005978-RA
OG0002094	LHUM_23153-RA	ACEP_00005979-RA
OG0002095	LHUM_23164-RA	ACEP_00005981-RA
OG0002096	LHUM_12786-RA	ACEP_00005982-RA
OG0002097	LHUM_23157-RA	ACEP_00005971-RA
OG0002098	LHUM_23163-RA	ACEP_00005974-RA
OG0002099	LHUM_23151-RA	ACEP_00005967-RA
OG0002100	LHUM_17863-RA	ACEP_00005970-RA
OG0002101	LHUM_20718-RA	ACEP_00005965-RA
OG0002102	LHUM_15891-RA	ACEP_00014036-RA
OG0002103	LHUM_21932-RA	ACEP_00014027-RA
OG0002104	LHUM_21933-RA	ACEP_00014029-RA
OG0002105	LHUM_21940-RA	ACEP_00014030-RA
OG0002106	LHUM_21929-RA	ACEP_00014033-RA
OG0002107	LHUM_21949-RA	ACEP_00014018-RA
OG0002108	LHUM_21941-RA	ACEP_00014024-RA
OG0002109	LHUM_21943-RA	ACEP_00014025-RA
OG0002110	LHUM_21950-RA	ACEP_00014023-RA
